Drug_Query	Drug_Found	Target_Name	Target_Type	Target_UniProt	Target_Species	Database	Reference	Assay_Type	Assay_Relation	Assay_Value	EvidenceLevel_Assigned
Ixazomib Citrate	Ixazomib Citrate	PSMB5	Protein	P28074	Homo sapiens	IUPHAR	20160034	Ki	=	0.930000007	III
NVP-AEW541	NVP-AEW541	IGF1R	Protein	P08069	Homo sapiens	IUPHAR	15050915	IC50	=	0.400000006	III
Procarbazine Hydrochloride	Procarbazine Hydrochloride	MAOA	Protein	P21397	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Procarbazine Hydrochloride	Procarbazine Hydrochloride	MAOA	Protein	P21397	Homo sapiens	DrugBank	12948823	NA	NA	NA	II
Procarbazine Hydrochloride	Procarbazine Hydrochloride	MAOA	Protein	P21397	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Procarbazine Hydrochloride	Procarbazine Hydrochloride	MAOA	Protein	P21397	Homo sapiens	DrugBank	9307842	NA	NA	NA	II
Procarbazine Hydrochloride	Procarbazine Hydrochloride	MAOA	Protein	P21397	Homo sapiens	DrugBank	24038727	NA	NA	NA	II
Procarbazine Hydrochloride	Procarbazine Hydrochloride	MAOA	Protein	P21397	Homo sapiens	DrugBank	1359073	NA	NA	NA	II
Akt Inhibitor MK2206	Akt Inhibitor MK2206	AKT3	Protein	Q9Y243	Homo sapiens	IUPHAR	NA_IUPHAR	IC50	=	65	I
Akt Inhibitor MK2206	Akt Inhibitor MK2206	AKT1	Protein	P31749	Homo sapiens	IUPHAR	NA_IUPHAR	IC50	=	5	I
Akt Inhibitor MK2206	Akt Inhibitor MK2206	AKT2	Protein	P31751	Homo sapiens	IUPHAR	NA_IUPHAR	IC50	=	12	I
Lanreotide Acetate	Lanreotide Acetate	SSTR5	Protein	P35346	Homo sapiens	IUPHAR	10598788	NA	NA	NA	II
Lanreotide Acetate	Lanreotide Acetate	SSTR5	Protein	P35346	Homo sapiens	DrugBank	26416534	NA	NA	NA	II
Lanreotide Acetate	Lanreotide Acetate	SSTR5	Protein	P35346	Homo sapiens	IUPHAR	8769372	NA	NA	NA	II
Lanreotide Acetate	Lanreotide Acetate	SSTR5	Protein	P35346	Homo sapiens	IUPHAR	9650799	NA	NA	NA	II
Lanreotide Acetate	Lanreotide Acetate	SSTR5	Protein	P35346	Homo sapiens	IUPHAR	9652348	NA	NA	NA	II
Lanreotide Acetate	Lanreotide Acetate	SSTR5	Protein	P35346	Homo sapiens	IUPHAR	9600011	NA	NA	NA	II
Lanreotide Acetate	Lanreotide Acetate	SSTR5	Protein	P35346	Homo sapiens	IUPHAR	7988476	NA	NA	NA	II
Lanreotide Acetate	Lanreotide Acetate	Sstr2	Protein	P30680	null	IUPHAR	9600011	NA	NA	NA	II
Lanreotide Acetate	Lanreotide Acetate	SSTR3	Protein	P32745	Homo sapiens	IUPHAR	10598788	NA	NA	NA	II
Lanreotide Acetate	Lanreotide Acetate	SSTR3	Protein	P32745	Homo sapiens	IUPHAR	8769372	NA	NA	NA	II
Lanreotide Acetate	Lanreotide Acetate	SSTR3	Protein	P32745	Homo sapiens	IUPHAR	9650799	NA	NA	NA	II
Lanreotide Acetate	Lanreotide Acetate	SSTR3	Protein	P32745	Homo sapiens	IUPHAR	7988476	NA	NA	NA	II
Lanreotide Acetate	Lanreotide Acetate	SSTR2	Protein	P30874	Homo sapiens	IUPHAR	10598788	NA	NA	NA	II
Lanreotide Acetate	Lanreotide Acetate	SSTR2	Protein	P30874	Homo sapiens	DrugBank	26416534	NA	NA	NA	II
Lanreotide Acetate	Lanreotide Acetate	SSTR2	Protein	P30874	Homo sapiens	IUPHAR	8769372	NA	NA	NA	II
Lanreotide Acetate	Lanreotide Acetate	SSTR2	Protein	P30874	Homo sapiens	IUPHAR	9650799	NA	NA	NA	II
Lanreotide Acetate	Lanreotide Acetate	SSTR2	Protein	P30874	Homo sapiens	IUPHAR	9652348	NA	NA	NA	II
Lanreotide Acetate	Lanreotide Acetate	SSTR2	Protein	P30874	Homo sapiens	IUPHAR	7988476	NA	NA	NA	II
Lanreotide Acetate	Lanreotide Acetate	Sstr2	Protein	P30875	null	IUPHAR	9600011	NA	NA	NA	II
Lanreotide Acetate	Lanreotide Acetate	Sstr3	Protein	P30936	null	IUPHAR	9600011	NA	NA	NA	II
Lanreotide Acetate	Lanreotide Acetate	Sstr3	Protein	P30935	null	IUPHAR	8100350	NA	NA	NA	II
Lanreotide Acetate	Lanreotide Acetate	Sstr5	Protein	P30938	null	IUPHAR	9600011	NA	NA	NA	II
Mesna	Mesna	ABCC2	Protein	Q92887	Homo sapiens	PubChem BioAssay	23956101.0	IC50	=	133.0	III
Mesna	Mesna	ABCC2	Protein	Q92887	Homo sapiens	PubChem BioAssay	23956101.0	IC50	=	133.0	III
Mesna	Mesna	ABCC2	Protein	Q92887	Homo sapiens	PubChem BioAssay	23956101.0	IC50	=	133.0	III
Mesna	Mesna	ABCC2	Protein	Q92887	Homo sapiens	PubChem BioAssay	23956101.0	IC50	=	133.0	III
Mesna	Mesna	ABCB11	Protein	O95342	Homo sapiens	PubChem BioAssay	23956101.0	IC50	=	133.0	III
Mesna	Mesna	ABCB11	Protein	O95342	Homo sapiens	PubChem BioAssay	23956101.0	IC50	=	133.0	III
Mesna	Mesna	ABCC3	Protein	O15438	Homo sapiens	PubChem BioAssay	23956101.0	IC50	=	133.0	III
Mesna	Mesna	ABCC3	Protein	O15438	Homo sapiens	PubChem BioAssay	23956101.0	IC50	=	133.0	III
Mesna	Mesna	ABCC4	Protein	O15439	Homo sapiens	PubChem BioAssay	23956101.0	IC50	=	133.0	III
Mesna	Mesna	ABCC4	Protein	O15439	Homo sapiens	PubChem BioAssay	23956101.0	IC50	=	133.0	III
Toremifene	Toremifene	ESR1	Protein	P03372	Homo sapiens	DrugBank	16515478	NA	NA	NA	II
Toremifene	Toremifene	ESR1	Protein	P03372	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Toremifene	Toremifene	ESR1	Protein	P03372	Homo sapiens	DrugBank	11747628	NA	NA	NA	II
Toremifene	Toremifene	ESR1	Protein	P03372	Homo sapiens	DrugBank	17062721	NA	NA	NA	II
Toremifene	Toremifene	ESR1	Protein	P03372	Homo sapiens	DrugBank	16595024	NA	NA	NA	II
Toremifene	Toremifene	ESR1	Protein	P03372	Homo sapiens	DrugBank	17503894	NA	NA	NA	II
Toremifene	Toremifene	ESR1	Protein	P03372	Homo sapiens	DrugBank	12870885	NA	NA	NA	II
Toremifene	Toremifene	ESR1	Protein	P03372	Homo sapiens	DrugBank	18279543	NA	NA	NA	II
Toremifene	Toremifene	ESR1	Protein	P03372	Homo sapiens	DrugBank	15369444	NA	NA	NA	II
Toremifene	Toremifene	ESR1	Protein	P03372	Homo sapiens	DrugBank	16917142	NA	NA	NA	II
Toremifene	Toremifene	ESR1	Protein	P03372	Homo sapiens	DrugBank	16503765	NA	NA	NA	II
Toremifene	Toremifene	SHBG	Protein	P04278	Homo sapiens	DrugBank	16515478	NA	NA	NA	II
Toremifene	Toremifene	SHBG	Protein	P04278	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Toremifene	Toremifene	SHBG	Protein	P04278	Homo sapiens	DrugBank	11747628	NA	NA	NA	II
Toremifene	Toremifene	SHBG	Protein	P04278	Homo sapiens	DrugBank	25349334	NA	NA	NA	II
Toremifene	Toremifene	SHBG	Protein	P04278	Homo sapiens	DrugBank	17062721	NA	NA	NA	II
Toremifene	Toremifene	SHBG	Protein	P04278	Homo sapiens	DrugBank	16595024	NA	NA	NA	II
Toremifene	Toremifene	SHBG	Protein	P04278	Homo sapiens	DrugBank	17503894	NA	NA	NA	II
Toremifene	Toremifene	SHBG	Protein	P04278	Homo sapiens	DrugBank	12870885	NA	NA	NA	II
Toremifene	Toremifene	SHBG	Protein	P04278	Homo sapiens	DrugBank	18279543	NA	NA	NA	II
Toremifene	Toremifene	SHBG	Protein	P04278	Homo sapiens	DrugBank	15369444	NA	NA	NA	II
Toremifene	Toremifene	SHBG	Protein	P04278	Homo sapiens	DrugBank	16917142	NA	NA	NA	II
Toremifene	Toremifene	SHBG	Protein	P04278	Homo sapiens	DrugBank	16503765	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR1A	Protein	P12314	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR1A	Protein	P12314	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR1A	Protein	P12314	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR1A	Protein	P12314	Homo sapiens	DrugBank	10942240	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR1A	Protein	P12314	Homo sapiens	DrugBank	11342449	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR1A	Protein	P12314	Homo sapiens	DrugBank	11410481	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR1A	Protein	P12314	Homo sapiens	DrugBank	9649182	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR1A	Protein	P12314	Homo sapiens	DrugBank	9815888	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR1A	Protein	P12314	Homo sapiens	DrugBank	11432892	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR1A	Protein	P12314	Homo sapiens	DrugBank	20564405	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR1A	Protein	P12314	Homo sapiens	DrugBank	11249747	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR1A	Protein	P12314	Homo sapiens	DrugBank	7509291	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	CD33	Protein	P20138	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	CD33	Protein	P20138	Homo sapiens	DrugBank	10942240	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	CD33	Protein	P20138	Homo sapiens	DrugBank	11342449	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	CD33	Protein	P20138	Homo sapiens	DrugBank	11410481	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	CD33	Protein	P20138	Homo sapiens	IUPHAR	10720144	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	CD33	Protein	P20138	Homo sapiens	DrugBank	11432892	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	CD33	Protein	P20138	Homo sapiens	DrugBank	20564405	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	CD33	Protein	P20138	Homo sapiens	DrugBank	11249747	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR3B	Protein	O75015	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR3B	Protein	O75015	Homo sapiens	DrugBank	10942240	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR3B	Protein	O75015	Homo sapiens	DrugBank	11342449	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR3B	Protein	O75015	Homo sapiens	DrugBank	11410481	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR3B	Protein	O75015	Homo sapiens	DrugBank	9649182	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR3B	Protein	O75015	Homo sapiens	DrugBank	9815888	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR3B	Protein	O75015	Homo sapiens	DrugBank	11432892	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR3B	Protein	O75015	Homo sapiens	DrugBank	20564405	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR3B	Protein	O75015	Homo sapiens	DrugBank	11249747	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR3B	Protein	O75015	Homo sapiens	DrugBank	7509291	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR3A	Protein	P08637	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR3A	Protein	P08637	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR3A	Protein	P08637	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR3A	Protein	P08637	Homo sapiens	DrugBank	10942240	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR3A	Protein	P08637	Homo sapiens	DrugBank	11342449	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR3A	Protein	P08637	Homo sapiens	DrugBank	11410481	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR3A	Protein	P08637	Homo sapiens	DrugBank	9649182	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR3A	Protein	P08637	Homo sapiens	DrugBank	9815888	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR3A	Protein	P08637	Homo sapiens	DrugBank	11432892	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR3A	Protein	P08637	Homo sapiens	DrugBank	20564405	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR3A	Protein	P08637	Homo sapiens	DrugBank	11249747	NA	NA	NA	II
Gemtuzumab Ozogamicin	Gemtuzumab Ozogamicin	FCGR3A	Protein	P08637	Homo sapiens	DrugBank	7509291	NA	NA	NA	II
Cabazitaxel	Cabazitaxel	TUBB	Protein	P07437	Homo sapiens	IUPHAR	NA_IUPHAR	NA	NA	NA	I
Roscovitine	Roscovitine	CDK1	Protein	P06493	Homo sapiens	DrugBank	17108108	NA	NA	NA	II
Roscovitine	Roscovitine	CDK2	Protein	P24941	Homo sapiens	DrugBank	17108108	NA	NA	NA	II
Roscovitine	Roscovitine	CDK2	Protein	P24941	Homo sapiens	IUPHAR	23252711	Ki	=	250	III
Roscovitine	Roscovitine	CDK2	Protein	P24941	Homo sapiens	IUPHAR	23252711	Ki	=	250	III
Roscovitine	Roscovitine	CDK7	Protein	P50613	Homo sapiens	DrugBank	17108108	NA	NA	NA	II
Roscovitine	Roscovitine	MAPK1	Protein	P28482	Homo sapiens	DrugBank	17108108	NA	NA	NA	II
Roscovitine	Roscovitine	CDK9	Protein	P50750	Homo sapiens	DrugBank	17108108	NA	NA	NA	II
Roscovitine	Roscovitine	CDK9	Protein	P50750	Homo sapiens	IUPHAR	23252711	Ki	=	790	III
Roscovitine	Roscovitine	CDK9	Protein	P50750	Homo sapiens	IUPHAR	23252711	Ki	=	790	III
Roscovitine	Roscovitine	MAPK3	Protein	P27361	Homo sapiens	DrugBank	17108108	NA	NA	NA	II
Roscovitine	Roscovitine	CSNK1E	Protein	P49674	Homo sapiens	DrugBank	17108108	NA	NA	NA	II
Sunitinib	Sunitinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	16425993	NA	NA	NA	II
Sunitinib	Sunitinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Sunitinib	Sunitinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	16533791	NA	NA	NA	II
Sunitinib	Sunitinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	16418310	NA	NA	NA	II
Sunitinib	Sunitinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	12538485	NA	NA	NA	II
Sunitinib	Sunitinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	12873999	NA	NA	NA	II
Sunitinib	Sunitinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	15304385	NA	NA	NA	II
Sunitinib	Sunitinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	17367763	NA	NA	NA	II
Sunitinib	Sunitinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	16685460	NA	NA	NA	II
Sunitinib	Sunitinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	17605814	NA	NA	NA	II
Sunitinib	Sunitinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	12748309	NA	NA	NA	II
Sunitinib	Sunitinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	15688612	NA	NA	NA	II
Sunitinib	Sunitinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	14753710	NA	NA	NA	II
Sunitinib	Sunitinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	14654525	NA	NA	NA	II
Sunitinib	Sunitinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	17545799	NA	NA	NA	II
Sunitinib	Sunitinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	15557593	NA	NA	NA	II
Sunitinib	Sunitinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	15180525	NA	NA	NA	II
Sunitinib	Sunitinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	17296815	NA	NA	NA	II
Sunitinib	Sunitinib	FLT3	Protein	P36888	Homo sapiens	DrugBank	12531805	NA	NA	NA	II
Sunitinib	Sunitinib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	20570526	IC50	=	6.5	III
Sunitinib	Sunitinib	FLT1	Protein	P17948	Homo sapiens	DrugBank	16425993	NA	NA	NA	II
Sunitinib	Sunitinib	FLT1	Protein	P17948	Homo sapiens	DrugBank	12748309	NA	NA	NA	II
Sunitinib	Sunitinib	FLT1	Protein	P17948	Homo sapiens	DrugBank	12538485	NA	NA	NA	II
Sunitinib	Sunitinib	FLT1	Protein	P17948	Homo sapiens	DrugBank	14654525	NA	NA	NA	II
Sunitinib	Sunitinib	FLT1	Protein	P17948	Homo sapiens	DrugBank	14753710	NA	NA	NA	II
Sunitinib	Sunitinib	FLT1	Protein	P17948	Homo sapiens	DrugBank	15557593	NA	NA	NA	II
Sunitinib	Sunitinib	FLT1	Protein	P17948	Homo sapiens	DrugBank	17367763	NA	NA	NA	II
Sunitinib	Sunitinib	KDR	Protein	P35968	Homo sapiens	DrugBank	16425993	NA	NA	NA	II
Sunitinib	Sunitinib	KDR	Protein	P35968	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Sunitinib	Sunitinib	KDR	Protein	P35968	Homo sapiens	DrugBank	12748309	NA	NA	NA	II
Sunitinib	Sunitinib	KDR	Protein	P35968	Homo sapiens	DrugBank	16533791	NA	NA	NA	II
Sunitinib	Sunitinib	KDR	Protein	P35968	Homo sapiens	DrugBank	16418310	NA	NA	NA	II
Sunitinib	Sunitinib	KDR	Protein	P35968	Homo sapiens	DrugBank	12538485	NA	NA	NA	II
Sunitinib	Sunitinib	KDR	Protein	P35968	Homo sapiens	DrugBank	14753710	NA	NA	NA	II
Sunitinib	Sunitinib	KDR	Protein	P35968	Homo sapiens	DrugBank	12873999	NA	NA	NA	II
Sunitinib	Sunitinib	KDR	Protein	P35968	Homo sapiens	DrugBank	17545799	NA	NA	NA	II
Sunitinib	Sunitinib	KDR	Protein	P35968	Homo sapiens	DrugBank	14654525	NA	NA	NA	II
Sunitinib	Sunitinib	KDR	Protein	P35968	Homo sapiens	DrugBank	15557593	NA	NA	NA	II
Sunitinib	Sunitinib	KDR	Protein	P35968	Homo sapiens	DrugBank	17367763	NA	NA	NA	II
Sunitinib	Sunitinib	KDR	Protein	P35968	Homo sapiens	IUPHAR	20570526	IC50	=	22.60000038	III
Sunitinib	Sunitinib	RET	Protein	P07949	Homo sapiens	IUPHAR	23279183	IC50	=	1.700000048	III
Sunitinib	Sunitinib	PDGFRA	Protein	P16234	Homo sapiens	DrugBank	16425993	NA	NA	NA	II
Sunitinib	Sunitinib	PDGFRA	Protein	P16234	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
