Drug	Target_Name	Target_Type	Target_UniProt	Target_Species	Database	Reference	Assay_Type	Assay_Relation	Assay_Value	EvidenceLevel_Assigned
Daunorubicin Hydrochloride	Daunorubicin Hydrochloride	TOP2B	Protein	Q02880	Homo sapiens	DrugBank	1963303	NA	NA	NA	II
Daunorubicin Hydrochloride	Daunorubicin Hydrochloride	TOP2A	Protein	P11388	Homo sapiens	DrugBank	6380596	NA	NA	NA	II
Daunorubicin Hydrochloride	Daunorubicin Hydrochloride	TOP2A	Protein	P11388	Homo sapiens	DrugBank	1963303	NA	NA	NA	II
Daunorubicin Hydrochloride	Daunorubicin Hydrochloride	DNA	DNA	null	Homo sapiens	DrugBank	6380596	NA	NA	NA	II
Daunorubicin Hydrochloride	Daunorubicin Hydrochloride	DNA	DNA	null	Homo sapiens	DrugBank	1963303	NA	NA	NA	II
Olaparib	Olaparib	PARP3	Protein	Q9Y6F1	Homo sapiens	DrugBank	25981132	NA	NA	NA	II
Olaparib	Olaparib	PARP1	Protein	P09874	Homo sapiens	DrugBank	25981132	NA	NA	NA	II
Olaparib	Olaparib	PARP1	Protein	P09874	Homo sapiens	IUPHAR	18800822	IC50	=	5	III
Olaparib	Olaparib	PARP1	Protein	P09874	Homo sapiens	IUPHAR	12857389	IC50	=	5	III
Olaparib	Olaparib	PARP2	Protein	Q9UGN5	Homo sapiens	DrugBank	25981132	NA	NA	NA	II
Olaparib	Olaparib	PARP2	Protein	Q9UGN5	Homo sapiens	IUPHAR	18800822	IC50	=	1	III
Olaparib	Olaparib	PARP2	Protein	Q9UGN5	Homo sapiens	IUPHAR	12857389	IC50	=	1	III
Rolapitant Hydrochloride	Rolapitant Hydrochloride	TACR1	Protein	P25103	Homo sapiens	IUPHAR	22497992	Ki	=	0.66	III
Nilotinib	Nilotinib	ABL1	Protein	P00519	Homo sapiens	DrugBank	17929114	NA	NA	NA	II
Nilotinib	Nilotinib	ABL1	Protein	P00519	Homo sapiens	DrugBank	19822896	NA	NA	NA	II
Nilotinib	Nilotinib	ABL1	Protein	P00519	Homo sapiens	DrugBank	17715389	NA	NA	NA	II
Nilotinib	Nilotinib	ABL1	Protein	P00519	Homo sapiens	DrugBank	16721371	NA	NA	NA	II
Nilotinib	Nilotinib	ABL1	Protein	P00519	Homo sapiens	DrugBank	19920925	NA	NA	NA	II
Nilotinib	Nilotinib	ABL1	Protein	P00519	Homo sapiens	IUPHAR	15930265	IC50	=	15	III
Nilotinib	Nilotinib	KIT	Protein	P10721	Homo sapiens	DrugBank	17699867	NA	NA	NA	II
Tozasertib	Tozasertib	AURKC	Protein	Q9UQB9	Homo sapiens	IUPHAR	14981513	Ki	=	4.599999905	III
Tozasertib	Tozasertib	AURKB	Protein	Q96GD4	Homo sapiens	IUPHAR	14981513	Ki	=	18	III
Tozasertib	Tozasertib	AURKA	Protein	O14965	Homo sapiens	IUPHAR	22037378	Kd	=	3.900000095	III
Tozasertib	Tozasertib	AURKA	Protein	O14965	Homo sapiens	IUPHAR	14981513	Ki	=	0.600000024	III
Momelotinib	Momelotinib	JAK3	Protein	P52333	Homo sapiens	IUPHAR	19295546	IC50	=	155	III
Momelotinib	Momelotinib	JAK2	Protein	O60674	Homo sapiens	IUPHAR	19295546	IC50	=	18	III
Momelotinib	Momelotinib	JAK1	Protein	P23458	Homo sapiens	IUPHAR	19295546	IC50	=	11	III
Cediranib	Cediranib	FLT1	Protein	P17948	Homo sapiens	IUPHAR	15899831	IC50	=	5	III
Cediranib	Cediranib	KDR	Protein	P35968	Homo sapiens	DrugBank	15899831	NA	NA	NA	II
Cediranib	Cediranib	KDR	Protein	P35968	Homo sapiens	IUPHAR	22037378	Kd	=	1.100000024	III
Cediranib	Cediranib	KDR	Protein	P35968	Homo sapiens	IUPHAR	15899831	IC50	<	1	III
Cediranib	Cediranib	PDGFRB	Protein	P09619	Homo sapiens	IUPHAR	15899831	IC50	=	5	III
Cediranib	Cediranib	FLT3	Protein	P36888	Homo sapiens	IUPHAR	15899831	IC50	>	1000	III
Cediranib	Cediranib	CSF1R	Protein	P07333	Homo sapiens	IUPHAR	15899831	IC50	=	110	III
Cediranib	Cediranib	FLT4	Protein	P35916	Homo sapiens	IUPHAR	15899831	IC50	<	3	III
Cediranib	Cediranib	PDGFRA	Protein	P16234	Homo sapiens	IUPHAR	15899831	IC50	=	36	III
Cediranib	Cediranib	KIT	Protein	P10721	Homo sapiens	IUPHAR	15899831	IC50	=	3	III
Midostaurin	Midostaurin	FLT3	Protein	P36888	Homo sapiens	IUPHAR	22037378	Kd	=	11	III
Midostaurin	Midostaurin	FLT3	Protein	P36888	Homo sapiens	IUPHAR	12124173	IC50	=	528	III
CDK Inhibitor R547	CDK Inhibitor R547	CDK2	Protein	P24941	Homo sapiens	IUPHAR	22037378	Kd	=	0.529999971	III
CDK Inhibitor R547	CDK Inhibitor R547	CDK2	Protein	P24941	Homo sapiens	IUPHAR	17121911	Ki	=	3	III
CDK Inhibitor R547	CDK Inhibitor R547	CDK4	Protein	P11802	Homo sapiens	IUPHAR	17121911	Ki	=	1	III
CDK Inhibitor R547	CDK Inhibitor R547	CDK1	Protein	P06493	Homo sapiens	IUPHAR	17121911	Ki	=	2	III
Peginterferon Alfa-2b	Peginterferon Alfa-2b	IFNAR1|IFNAR2	Protein	P17181|P48551	Homo sapiens	IUPHAR	10607680	NA	NA	NA	II
Peginterferon Alfa-2b	Peginterferon Alfa-2b	IFNAR1	Protein	P17181	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Peginterferon Alfa-2b	Peginterferon Alfa-2b	IFNAR1	Protein	P17181	Homo sapiens	DrugBank	19955815	NA	NA	NA	II
Peginterferon Alfa-2b	Peginterferon Alfa-2b	IFNAR1	Protein	P17181	Homo sapiens	DrugBank	16953837	NA	NA	NA	II
Peginterferon Alfa-2b	Peginterferon Alfa-2b	IFNAR1	Protein	P17181	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Peginterferon Alfa-2b	Peginterferon Alfa-2b	IFNAR1	Protein	P17181	Homo sapiens	DrugBank	15898717	NA	NA	NA	II
Peginterferon Alfa-2b	Peginterferon Alfa-2b	IFNAR1	Protein	P17181	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Peginterferon Alfa-2b	Peginterferon Alfa-2b	IFNAR1	Protein	P17181	Homo sapiens	IUPHAR	10607680	NA	NA	NA	II
Peginterferon Alfa-2b	Peginterferon Alfa-2b	IFNAR2	Protein	P48551	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Peginterferon Alfa-2b	Peginterferon Alfa-2b	IFNAR2	Protein	P48551	Homo sapiens	DrugBank	19955815	NA	NA	NA	II
Peginterferon Alfa-2b	Peginterferon Alfa-2b	IFNAR2	Protein	P48551	Homo sapiens	DrugBank	16953837	NA	NA	NA	II
Peginterferon Alfa-2b	Peginterferon Alfa-2b	IFNAR2	Protein	P48551	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Peginterferon Alfa-2b	Peginterferon Alfa-2b	IFNAR2	Protein	P48551	Homo sapiens	DrugBank	15898717	NA	NA	NA	II
Peginterferon Alfa-2b	Peginterferon Alfa-2b	IFNAR2	Protein	P48551	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
VX-745	VX-745	MAPK14	Protein	Q16539	Homo sapiens	IUPHAR	18183025	IC50	=	10	III
VX-745	VX-745	MAPK11	Protein	Q15759	Homo sapiens	IUPHAR	18183025	IC50	=	220	III
Roscovitine	Roscovitine	CDK2	Protein	P24941	Homo sapiens	IUPHAR	23252711	Ki	=	250	III
Roscovitine	Roscovitine	CDK2	Protein	P24941	Homo sapiens	IUPHAR	23252711	Ki	=	250	III
Roscovitine	Roscovitine	CDK9	Protein	P50750	Homo sapiens	IUPHAR	23252711	Ki	=	790	III
Roscovitine	Roscovitine	CDK9	Protein	P50750	Homo sapiens	IUPHAR	23252711	Ki	=	790	III
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR1A	Protein	P08908	Homo sapiens	DrugBank	2164935	NA	NA	NA	II
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR1B	Protein	P28222	Homo sapiens	DrugBank	2164935	NA	NA	NA	II
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR3A	Protein	P46098	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR3A	Protein	P46098	Homo sapiens	DrugBank	17269994	NA	NA	NA	II
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR3A	Protein	P46098	Homo sapiens	DrugBank	10065930	NA	NA	NA	II
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR3A	Protein	P46098	Homo sapiens	DrugBank	15740177	NA	NA	NA	II
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR3A	Protein	P46098	Homo sapiens	DrugBank	11919526	NA	NA	NA	II
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR3A	Protein	P46098	Homo sapiens	DrugBank	8588861	NA	NA	NA	II
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR3A	Protein	P46098	Homo sapiens	DrugBank	10517265	NA	NA	NA	II
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR3A	Protein	P46098	Homo sapiens	DrugBank	9506240	NA	NA	NA	II
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR3A	Protein	P46098	Homo sapiens	DrugBank	19320280	NA	NA	NA	II
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR3A	Protein	P46098	Homo sapiens	DrugBank	12032025	NA	NA	NA	II
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR3A	Protein	P46098	Homo sapiens	DrugBank	11972287	NA	NA	NA	II
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR3A	Protein	P46098	Homo sapiens	DrugBank	20098535	NA	NA	NA	II
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR3A	Protein	P46098	Homo sapiens	DrugBank	11763467	NA	NA	NA	II
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR3A	Protein	P46098	Homo sapiens	IUPHAR	8818349	Ki	~		III
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR3A	Protein	P46098	Homo sapiens	IUPHAR	7565620	Ki	~		III
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR3A	Protein	P46098	Homo sapiens	IUPHAR	11489465	Ki	~		III
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR3B|HTR3A	Protein	P46098|O95264	Homo sapiens	IUPHAR	11489465	NA	NA	NA	II
Ondansetron Hydrochloride	Ondansetron Hydrochloride	OPRM1	Protein	P35372	Homo sapiens	DrugBank	2164935	NA	NA	NA	II
Ondansetron Hydrochloride	Ondansetron Hydrochloride	HTR4	Protein	Q13639	Homo sapiens	DrugBank	2164935	NA	NA	NA	II
Rofecoxib	Rofecoxib	PTGS2	Protein	P35354	Homo sapiens	DrugBank	20724158	NA	NA	NA	II
Rofecoxib	Rofecoxib	PTGS2	Protein	P35354	Homo sapiens	DrugBank	10693877	NA	NA	NA	II
Rofecoxib	Rofecoxib	PTGS2	Protein	P35354	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Rofecoxib	Rofecoxib	PTGS2	Protein	P35354	Homo sapiens	DrugBank	18922570	NA	NA	NA	II
Rofecoxib	Rofecoxib	PTGS2	Protein	P35354	Homo sapiens	DrugBank	11398914	NA	NA	NA	II
Rofecoxib	Rofecoxib	PTGS2	Protein	P35354	Homo sapiens	DrugBank	10566562	NA	NA	NA	II
Rofecoxib	Rofecoxib	PTGS2	Protein	P35354	Homo sapiens	DrugBank	20166930	NA	NA	NA	II
Rofecoxib	Rofecoxib	PTGS2	Protein	P35354	Homo sapiens	IUPHAR	10377455	NA	NA	NA	II
Rofecoxib	Rofecoxib	PTGS2	Protein	P35354	Homo sapiens	DrugBank	10580458	NA	NA	NA	II
Rofecoxib	Rofecoxib	PTGS2	Protein	P35354	Homo sapiens	DrugBank	10555907	NA	NA	NA	II
Rofecoxib	Rofecoxib	PTGS2	Protein	P35354	Homo sapiens	DrugBank	10643177	NA	NA	NA	II
Rofecoxib	Rofecoxib	ELN	Protein	P15502	Homo sapiens	DrugBank	16679386	NA	NA	NA	II
Rofecoxib	Rofecoxib	ELN	Protein	P15502	Homo sapiens	DrugBank	17164475	NA	NA	NA	II
Rofecoxib	Rofecoxib	ELN	Protein	P15502	Homo sapiens	DrugBank	17620346	NA	NA	NA	II
Bexarotene	Bexarotene	PPARG	Protein	P37231	Homo sapiens	IUPHAR	26451138	IC50	~	3000	III
Bexarotene	Bexarotene	RXRB	Protein	P28702	Homo sapiens	IUPHAR	8071941	NA	NA	NA	II
Bexarotene	Bexarotene	RXRB	Protein	P28702	Homo sapiens	IUPHAR	10637371	NA	NA	NA	II
Bexarotene	Bexarotene	RXRB	Protein	P28702	Homo sapiens	DrugBank	15632250	NA	NA	NA	II
Bexarotene	Bexarotene	RXRB	Protein	P28702	Homo sapiens	IUPHAR	10052980	NA	NA	NA	II
Bexarotene	Bexarotene	RXRB	Protein	P28702	Homo sapiens	DrugBank	17139284	NA	NA	NA	II
Bexarotene	Bexarotene	RXRB	Protein	P28702	Homo sapiens	DrugBank	11702369	NA	NA	NA	II
Bexarotene	Bexarotene	RXRB	Protein	P28702	Homo sapiens	DrugBank	15897247	NA	NA	NA	II
Bexarotene	Bexarotene	RXRB	Protein	P28702	Homo sapiens	DrugBank	17016423	NA	NA	NA	II
Bexarotene	Bexarotene	RXRB	Protein	P28702	Homo sapiens	DrugBank	17008586	NA	NA	NA	II
Bexarotene	Bexarotene	RXRB	Protein	P28702	Homo sapiens	DrugBank	16495926	NA	NA	NA	II
Bexarotene	Bexarotene	RXRB	Protein	P28702	Homo sapiens	DrugBank	18765556	NA	NA	NA	II
Bexarotene	Bexarotene	RXRB	Protein	P28702	Homo sapiens	DrugBank	17483357	NA	NA	NA	II
Bexarotene	Bexarotene	RXRB	Protein	P28702	Homo sapiens	DrugBank	15056048	NA	NA	NA	II
Bexarotene	Bexarotene	RXRB	Protein	P28702	Homo sapiens	DrugBank	14700480	NA	NA	NA	II
Bexarotene	Bexarotene	RXRG	Protein	P48443	Homo sapiens	IUPHAR	8071941	NA	NA	NA	II
Bexarotene	Bexarotene	RXRG	Protein	P48443	Homo sapiens	IUPHAR	10637371	NA	NA	NA	II
Bexarotene	Bexarotene	RXRG	Protein	P48443	Homo sapiens	DrugBank	15632250	NA	NA	NA	II
Bexarotene	Bexarotene	RXRG	Protein	P48443	Homo sapiens	DrugBank	17008586	NA	NA	NA	II
Bexarotene	Bexarotene	RXRG	Protein	P48443	Homo sapiens	IUPHAR	10052980	NA	NA	NA	II
Bexarotene	Bexarotene	RXRG	Protein	P48443	Homo sapiens	DrugBank	16495926	NA	NA	NA	II
Bexarotene	Bexarotene	RXRG	Protein	P48443	Homo sapiens	DrugBank	18765556	NA	NA	NA	II
Bexarotene	Bexarotene	RXRG	Protein	P48443	Homo sapiens	DrugBank	11702369	NA	NA	NA	II
Bexarotene	Bexarotene	RXRG	Protein	P48443	Homo sapiens	DrugBank	15897247	NA	NA	NA	II
Bexarotene	Bexarotene	RXRG	Protein	P48443	Homo sapiens	DrugBank	17483357	NA	NA	NA	II
Bexarotene	Bexarotene	RXRG	Protein	P48443	Homo sapiens	DrugBank	15056048	NA	NA	NA	II
Bexarotene	Bexarotene	RXRG	Protein	P48443	Homo sapiens	DrugBank	14700480	NA	NA	NA	II
Bexarotene	Bexarotene	RXRA	Protein	P19793	Homo sapiens	IUPHAR	8071941	NA	NA	NA	II
Bexarotene	Bexarotene	RXRA	Protein	P19793	Homo sapiens	IUPHAR	10637371	NA	NA	NA	II
Bexarotene	Bexarotene	RXRA	Protein	P19793	Homo sapiens	DrugBank	15632250	NA	NA	NA	II
Bexarotene	Bexarotene	RXRA	Protein	P19793	Homo sapiens	DrugBank	17008586	NA	NA	NA	II
Bexarotene	Bexarotene	RXRA	Protein	P19793	Homo sapiens	IUPHAR	10052980	NA	NA	NA	II
Bexarotene	Bexarotene	RXRA	Protein	P19793	Homo sapiens	DrugBank	16495926	NA	NA	NA	II
Bexarotene	Bexarotene	RXRA	Protein	P19793	Homo sapiens	DrugBank	18765556	NA	NA	NA	II
Bexarotene	Bexarotene	RXRA	Protein	P19793	Homo sapiens	DrugBank	11702369	NA	NA	NA	II
Bexarotene	Bexarotene	RXRA	Protein	P19793	Homo sapiens	DrugBank	15897247	NA	NA	NA	II
Bexarotene	Bexarotene	RXRA	Protein	P19793	Homo sapiens	DrugBank	17483357	NA	NA	NA	II
Bexarotene	Bexarotene	RXRA	Protein	P19793	Homo sapiens	DrugBank	15056048	NA	NA	NA	II
Bexarotene	Bexarotene	RXRA	Protein	P19793	Homo sapiens	DrugBank	14700480	NA	NA	NA	II
Nivolumab	Nivolumab	PDCD1	Protein	Q15116	Homo sapiens	DrugBank	23289116	NA	NA	NA	II
Nivolumab	Nivolumab	PDCD1	Protein	Q15116	Homo sapiens	IUPHAR	21154117	Kd	=	0.730000019	III
Nivolumab	Nivolumab	PDCD1	Protein	Q15116	Homo sapiens	IUPHAR	23302904	Kd	=	0.730000019	III
Thiotepa	Thiotepa	DNA	DNA	null	Homo sapiens	DrugBank	21160603	NA	NA	NA	II
Thiotepa	Thiotepa	DNA	DNA	null	Homo sapiens	DrugBank	20454509	NA	NA	NA	II
Thiotepa	Thiotepa	DNA	DNA	null	Homo sapiens	DrugBank	20459744	NA	NA	NA	II
Thiotepa	Thiotepa	DNA	DNA	null	Homo sapiens	DrugBank	10913381	NA	NA	NA	II
Panitumumab	Panitumumab	EGFR	Protein	P00533	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Panitumumab	Panitumumab	EGFR	Protein	P00533	Homo sapiens	DrugBank	18343240	NA	NA	NA	II
Panitumumab	Panitumumab	EGFR	Protein	P00533	Homo sapiens	DrugBank	16012181	NA	NA	NA	II
Panitumumab	Panitumumab	EGFR	Protein	P00533	Homo sapiens	DrugBank	18503402	NA	NA	NA	II
Panitumumab	Panitumumab	EGFR	Protein	P00533	Homo sapiens	DrugBank	11894013	NA	NA	NA	II
Panitumumab	Panitumumab	EGFR	Protein	P00533	Homo sapiens	DrugBank	12620146	NA	NA	NA	II
Panitumumab	Panitumumab	EGFR	Protein	P00533	Homo sapiens	DrugBank	17355997	NA	NA	NA	II
Panitumumab	Panitumumab	EGFR	Protein	P00533	Homo sapiens	DrugBank	20481659	NA	NA	NA	II
Panitumumab	Panitumumab	EGFR	Protein	P00533	Homo sapiens	DrugBank	11255078	NA	NA	NA	II
Panitumumab	Panitumumab	EGFR	Protein	P00533	Homo sapiens	DrugBank	14967460	NA	NA	NA	II
Panitumumab	Panitumumab	EGFR	Protein	P00533	Homo sapiens	DrugBank	20623992	NA	NA	NA	II
Panitumumab	Panitumumab	EGFR	Protein	P00533	Homo sapiens	DrugBank	16857825	NA	NA	NA	II
Panitumumab	Panitumumab	EGFR	Protein	P00533	Homo sapiens	IUPHAR	14967460	Kd	=	0.050000001	III
Vorinostat	Vorinostat	HDAC3	Protein	O15379	Homo sapiens	DrugBank	17694093	NA	NA	NA	II
Vorinostat	Vorinostat	HDAC3	Protein	O15379	Homo sapiens	IUPHAR	20139990	Ki	=	5	III
Vorinostat	Vorinostat	HDAC11	Protein	Q96DB2	Homo sapiens	IUPHAR	20451378	Ki	=	36	III
Vorinostat	Vorinostat	HDAC9	Protein	Q9UKV0	Homo sapiens	IUPHAR	20451378	Ki	=	65	III
Vorinostat	Vorinostat	HDAC1	Protein	Q13547	Homo sapiens	DrugBank	11752352	NA	NA	NA	II
Vorinostat	Vorinostat	HDAC1	Protein	Q13547	Homo sapiens	DrugBank	17694093	NA	NA	NA	II
Vorinostat	Vorinostat	HDAC1	Protein	Q13547	Homo sapiens	IUPHAR	20139990	Ki	=	1.299999952	III
Vorinostat	Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	DrugBank	NA_DrugBank	NA	NA	NA	I
Vorinostat	Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	IUPHAR	20451378	Ki	=		III
Vorinostat	Vorinostat	HDAC8	Protein	Q9BY41	Homo sapiens	IUPHAR	20139990	Ki	=		III
Vorinostat	Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	DrugBank	17694093	NA	NA	NA	II
Vorinostat	Vorinostat	HDAC2	Protein	Q92769	Homo sapiens	IUPHAR	20139990	Ki	=	1.600000024	III
Vorinostat	Vorinostat	Acetoin utilization protein	Protein	O67135	Aquifex aeolicus (strain VF5)	DrugBank	NA_DrugBank	NA	NA	NA	I
Vorinostat	Vorinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	DrugBank	17694093	NA	NA	NA	II
Vorinostat	Vorinostat	HDAC6	Protein	Q9UBN7	Homo sapiens	IUPHAR	20139990	Ki	=	1.600000024	III
Vorinostat	Vorinostat	HDAC10	Protein	Q969S8	Homo sapiens	IUPHAR	20451378	Ki	=	50	III
Vorinostat	Vorinostat	HDAC5	Protein	Q9UQL6	Homo sapiens	IUPHAR	20139990	Ki	=	3600	III
Niraparib	Niraparib	PARP2	Protein	Q9UGN5	Homo sapiens	IUPHAR	19873981	IC50	=	2.099999905	III
Niraparib	Niraparib	PARP1	Protein	P09874	Homo sapiens	IUPHAR	19873981	IC50	=	3.799999952	III
PRT062607	PRT062607	FGR	Protein	P09769	Homo sapiens	IUPHAR	22040680	IC50	=	81	III
PRT062607	PRT062607	SYK	Protein	P43405	Homo sapiens	IUPHAR	22040680	IC50	=	1	III
PRT062607	PRT062607	MAP3K9	Protein	P80192	Homo sapiens	IUPHAR	22040680	IC50	=	88	III
GSK-1838705A	GSK-1838705A	INSR	Protein	P06213	Homo sapiens	IUPHAR	19825801	IC50	=	1.600000024	III
GSK-1838705A	GSK-1838705A	IGF1R	Protein	P08069	Homo sapiens	IUPHAR	19825801	IC50	=	2	III
GSK-1838705A	GSK-1838705A	IGF1R	Protein	P08069	Homo sapiens	IUPHAR	22037378	Kd	=	7	III
GSK-1838705A	GSK-1838705A	RPS6KA1	Protein	Q15418	Homo sapiens	IUPHAR	19825801	IC50	=	1600	III
GSK-1838705A	GSK-1838705A	ALK	Protein	Q9UM73	Homo sapiens	IUPHAR	19825801	IC50	=	0.5	III
Tofacitinib	Tofacitinib	JAK2	Protein	O60674	Homo sapiens	DrugBank	NA_DrugBank	NA	NA	NA	I
Tofacitinib	Tofacitinib	JAK3	Protein	P52333	Homo sapiens	DrugBank	NA_DrugBank	NA	NA	NA	I
Tofacitinib	Tofacitinib	JAK3	Protein	P52333	Homo sapiens	IUPHAR	21105711	IC50	=		III
Tofacitinib	Tofacitinib	JAK3	Protein	P52333	Homo sapiens	IUPHAR	14593182	IC50	=		III
Tofacitinib	Tofacitinib	JAK1	Protein	P23458	Homo sapiens	DrugBank	NA_DrugBank	NA	NA	NA	I
