Drug	Target_Name	UniProt_ID	Target_Org	PubMedIDs
Darbepoetin alfa	Erythropoietin receptor	P19235	Human	17575216|11752352|16505108
Urokinase	Plasminogen	P00747	Human	12658774|12719778|12666133|11752352|12720300|12745435
Urokinase	Urokinase plasminogen activator surface receptor	Q03405	Human	12615913|14720519|14679304|14688365|12817472|17327908
Urokinase	Urokinase-type plasminogen activator	P00749	Human	12824001|12579271|12707394|12556741|12745435
Urokinase	Tissue-type plasminogen activator	P00750	Human	12787697|12893898|14507109|12745435|12826021
Urokinase	Plasminogen activator inhibitor 1	P05121	Human	12709915|12785198|12579271|12642587|12745435
Urokinase	Plasminogen activator inhibitor 2	P05120	Human	15944795|16327990|15277569|15351849|15640330
Urokinase	Plasma serine protease inhibitor	P05154	Human	17253188|14645112|17434507
Urokinase	Low-density lipoprotein receptor-related protein 2	P98164	Human	17016423|1280065|17139284|8241286|7959795
Urokinase	Suppressor of tumorigenicity 14 protein	Q9Y5Y6	Human	12815039|14747469
Urokinase	Nidogen-1	P14543	Human	17016423|1499567|17139284
Goserelin	Lutropin-choriogonadotropic hormone receptor	P22888	Human	17016423|20053189|17139284
Goserelin	Gonadotropin-releasing hormone receptor	P30968	Human	20053189
Reteplase	Plasminogen	P00747	Human	18673235|17963464|19436656|11752352
Reteplase	Fibrinogen alpha chain	P02671	Human	18673235|17963464|19436656
Reteplase	Urokinase plasminogen activator surface receptor	Q03405	Human	17016423|17139284
Reteplase	Plasminogen activator inhibitor 1	P05121	Human	17963464
Erythropoietin	Erythropoietin receptor	P19235	Human	17575216|11752352|16505108
Salmon Calcitonin	Calcitonin receptor	P30988	Human	3004987|9231703|11752352|7610922
Interferon alfa-n3	Interferon alpha/beta receptor 1	P17181	Human	17016423|17139284|15898717|11752352|19955815
Interferon alfa-n3	Interferon alpha/beta receptor 2	P48551	Human	17016423|17139284|15898717|16953837|11752352|19955815
Pegfilgrastim	Granulocyte colony-stimulating factor receptor	Q99062	Human	15949269|15082029|12944913|17001306|17127322|16033816
Pegfilgrastim	Neutrophil elastase	P08246	Human	16245075|17475913|15353486|14657210|12958067
Sargramostim	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	P15509	Human	16638185|16760463|17522711|17090651|11752352
Sargramostim	Interleukin-3 receptor subunit alpha	P26951	Human	17522711|17500228|17562355|16698686
Sargramostim	Cytokine receptor common subunit beta	P32927	Human	1424804|17016423|17139284
Sargramostim	Syndecan-2	P34741	Human	17016423|10734053|17139284
Sargramostim	Bone marrow proteoglycan	P13727	Human	16522458|17383764|17600316
Secretin	Secretin receptor	P47872	Human	17016423|17139284|11752352
Peginterferon alfa-2b	Interferon alpha/beta receptor 1	P17181	Human	17016423|17139284|15898717|16953837|11752352|19955815
Peginterferon alfa-2b	Interferon alpha/beta receptor 2	P48551	Human	17016423|17139284|15898717|16953837|11752352|19955815
Asparaginase	L-asparagine	null	Human	17016423|17264295|17139284|16307417|14523472
Thyrotropin Alfa	Thyrotropin receptor	P16473	Human	15571461|9039330|11752352
Antihemophilic Factor (Recombinant)	Coagulation factor X	P00742	Human	13801371|14285227|11891806|236567|6436416
Antihemophilic Factor (Recombinant)	Coagulation factor IX	P00740	Human	1119107|2994716|6422634|932529|14240634
Antihemophilic Factor (Recombinant)	von Willebrand factor	P04275	Human	10938981|14750934|2942172|2128855|11858481
Antihemophilic Factor (Recombinant)	Phytanoyl-CoA dioxygenase, peroxisomal	O14832	Human	17016423|11574539|17139284
Antihemophilic Factor (Recombinant)	Asialoglycoprotein receptor 2	P07307	Human	17016423|17139284|15946216
Antihemophilic Factor (Recombinant)	78 kDa glucose-regulated protein	P11021	Human	17016423|9607108|17139284
Antihemophilic Factor (Recombinant)	Calreticulin	P27797	Human	9525969|17016423|9607108|17139284|17899080
Antihemophilic Factor (Recombinant)	Calnexin	P27824	Human	9525969|17016423|9607108|15213841|17139284|17899080
Antihemophilic Factor (Recombinant)	Protein ERGIC-53	P49257	Human	14726380|17016423|17139284|14629470
Antihemophilic Factor (Recombinant)	Prolow-density lipoprotein receptor-related protein 1	Q07954	Human	17016423|21391865|17139284
Antihemophilic Factor (Recombinant)	Multiple coagulation factor deficiency protein 2	Q8NI22	Human	17016423|15886209|17139284
Anakinra	Interleukin-1 receptor type 1	P14778	Human	12817089|11752352|12355453|17498496|17352828|17083033|10210771
Immune Globulin Human	High affinity immunoglobulin gamma Fc receptor I	P12314	Human	17351760|20441428|17911465
Immune Globulin Human	High affinity immunoglobulin gamma Fc receptor IB	Q92637	Human	17351760|20441428|17911465
Immune Globulin Human	Low affinity immunoglobulin gamma Fc region receptor II-a	P12318	Human	17351760|20441428|17911465
Immune Globulin Human	Low affinity immunoglobulin gamma Fc region receptor II-b	P31994	Human	17351760|20441428|17911465
Immune Globulin Human	Low affinity immunoglobulin gamma Fc region receptor II-c	P31995	Human	17351760|20441428|17911465
Immune Globulin Human	Low affinity immunoglobulin gamma Fc region receptor III-A	P08637	Human	17351760|20441428|17911465
Immune Globulin Human	Low affinity immunoglobulin gamma Fc region receptor III-B	O75015	Human	17351760|20441428|17911465
Immune Globulin Human	Complement C3	P01024	Human	17351760|20441428|17911465
Immune Globulin Human	Complement C4-A	P0C0L4	Human	17351760|20441428|17911465
Immune Globulin Human	Complement C4-B	P0C0L5	Human	17351760|20441428|17911465
Immune Globulin Human	Complement C5	P01031	Human	17351760|20441428|17911465
Anistreplase	Plasminogen	P00747	Human	18673235|17963464|19436656|11752352
Anistreplase	Fibrinogen alpha chain	P02671	Human	17016423|17139284
Anistreplase	Urokinase plasminogen activator surface receptor	Q03405	Human	17016423|17139284
Anistreplase	Plasminogen activator inhibitor 1	P05121	Human	17963464
Insulin Human	Insulin receptor	P06213	Human	12970169|17722952|20230616|19683471|11752352|12038982
Insulin Human	Insulin-like growth factor 1 receptor	P08069	Human	17016423|17139284
Insulin Human	Retinoblastoma-associated protein	P06400	Human	17016423|17139284
Insulin Human	Cathepsin D	P07339	Human	17016423|17139284
Insulin Human	Insulin-degrading enzyme	P14735	Human	17016423|17139284
Insulin Human	Neuroendocrine convertase 2	P16519	Human	17016423|17139284
Insulin Human	Carboxypeptidase E	P16870	Human	17016423|17139284
Insulin Human	Neuroendocrine convertase 1	P29120	Human	17016423|17139284
Insulin Human	Protein NOV homolog	P48745	Human	17016423|17139284
Insulin Human	Low-density lipoprotein receptor-related protein 2	P98164	Human	17016423|17139284
Insulin Human	Insulin-like growth factor-binding protein 7	Q16270	Human	17016423|17139284
Insulin Human	Synaptotagmin-like protein 4	Q96C24	Human	17016423|17139284
Tenecteplase	Plasminogen	P00747	Human	18673235|17963464|19436656|11752352
Tenecteplase	Fibrinogen alpha chain	P02671	Human	18673235|17963464|19436656
Tenecteplase	Urokinase plasminogen activator surface receptor	Q03405	Human	15231724|11447759|12210068
Tenecteplase	Plasminogen activator inhibitor 1	P05121	Human	14564902|17963464|11163592
Tenecteplase	Plasminogen activator inhibitor 2	P05120	Human	7958159|3091604|17141398
Tenecteplase	Tetranectin	P05452	Human	12694198|17853709|9034981
Tenecteplase	Keratin, type II cytoskeletal 8	P05787	Human	8760360|8810346|9988531
Tenecteplase	Annexin A2	P07355	Human	15194650|10578524|12730231
Tenecteplase	Calreticulin	P27797	Human	9359841
Tenecteplase	Calnexin	P27824	Human	9359841
Tenecteplase	Prolow-density lipoprotein receptor-related protein 1	Q07954	Human	8344937|1378833|16303771
Menotropins	Follicle-stimulating hormone receptor	P23945	Human	17016423|14680547|17139284|11752352|7872378
Menotropins	Lutropin-choriogonadotropic hormone receptor	P22888	Human	17016423|14680547|17139284|7872378
Interferon gamma-1b	Interferon gamma receptor 1	P15260	Human	11752352|17251453|17618444
Interferon gamma-1b	Interferon gamma receptor 2	P38484	Human	11752352|17239631|17618444
Interferon Alfa-2a, Recombinant	Interferon alpha/beta receptor 1	P17181	Human	18230610|15898717
Interferon Alfa-2a, Recombinant	Interferon alpha/beta receptor 2	P48551	Human	18230610|15898717
Desmopressin	Vasopressin V2 receptor	P30518	Human	16333859|18761325|11752352
Desmopressin	Vasopressin V1a receptor	P37288	Human	10594321|10731046|8957254|15613460
Desmopressin	Vasopressin V1b receptor	P47901	Human	18655906|14971638|15613460
Coagulation factor VIIa Recombinant Human	Coagulation factor X	P00742	Human	13713641|13801371|14227143|5969560|13621053
Coagulation factor VIIa Recombinant Human	Serine protease hepsin	P05981	Human	17016423|17139284
Coagulation factor VIIa Recombinant Human	Tissue factor pathway inhibitor	P10646	Human	11772005|8700900|12974870|11238112|7559599
Coagulation factor VIIa Recombinant Human	Vitamin K-dependent gamma-carboxylase	P38435	Human	17016423|17139284|10901669
Coagulation factor VIIa Recombinant Human	Coagulation factor VII	P08709	Human	11735107|10388743|16370916|12525826|15907148
Coagulation factor VIIa Recombinant Human	Tissue factor	P13726	Human	13713641|6658368|1586032
Oprelvekin	Interleukin-11 receptor subunit alpha	Q14626	Human	8637716|11570967|8676079|9310465|11752352|11012177
Palifermin	Fibroblast growth factor receptor 2	P21802	Human	17728847|16854582|10593896|7499435|17456767|16390600|11752352|9056643
Palifermin	Neuropilin-1	O14786	Human	10821861|9094999|9890894
Palifermin	Fibroblast growth factor receptor 1	P11362	Human	10212269|9890894|10950949|11714710|11091737
Palifermin	Fibroblast growth factor receptor 4	P22455	Human	7526860|10950949|9755102|9843417|11149756
Palifermin	Fibroblast growth factor receptor 3	P22607	Human	10821861|7890137|7680555|11422746|11149756
Palifermin	Basement membrane-specific heparan sulfate proteoglycan core protein	P98160	Human	14753849|10593896|9788974|16989989
Glucagon recombinant	Glucagon receptor	P47871	Human	17534934|8144028|17620721|17462598|8020989|11752352|17623014|17479245|12529935
Glucagon recombinant	Glucagon-like peptide 2 receptor	O95838	Human	17016423|15817468|11212269|9990065|17139284|12529935
Glucagon recombinant	Glucagon-like peptide 1 receptor	P43220	Human	17534934|17475961|17498508|12529935
Aldesleukin	Interleukin-2 receptor subunit beta	P14784	Human	16617454|16596189|16477002|16542139|16569767|11752352
Aldesleukin	Interleukin-2 receptor subunit alpha	P01589	Human	10207608|16767920|17530023|17584597|16864089|11752352|17216565
Aldesleukin	Cytokine receptor common subunit gamma	P31785	Human	17635814|16477002|17363735|17598841|17083048
Botulinum Toxin Type B	Vesicle-associated membrane protein 2	P63027	Human	14573702|11752352
Botulinum Toxin Type B	Vesicle-associated membrane protein 1	P23763	Human	17016423|17139284|11752352
Botulinum Toxin Type B	Synaptotagmin-2	Q8N9I0	Human	17016423|19576489|17139284
Omalizumab	High affinity immunoglobulin epsilon receptor subunit alpha	P12319	Human	17368811|15356552
Omalizumab	High affinity immunoglobulin epsilon receptor subunit beta	Q01362	Human	17016423|17073688|17139284
Lutropin alfa	Lutropin-choriogonadotropic hormone receptor	P22888	Human	17016423|20161981|17139284|11752352
OspA lipoprotein	Toll-like receptor 2	O60603	Human	14617145
Insulin Lispro	Insulin receptor	P06213	Human	8964871|11752352|8937933|20424816
Insulin Lispro	Insulin-like growth factor 1 receptor	P08069	Human	20392809
Insulin Glargine	Insulin receptor	P06213	Human	18585815|11752352|17922476|20424816
Insulin Glargine	Insulin-like growth factor 1 receptor	P08069	Human	20392809
Collagenase clostridium histolyticum	Collagen alpha-1(I) chain	P02452	Human	17440987|12535212|15659034|12101112|12855673
Collagenase clostridium histolyticum	Collagen alpha-1(II) chain	P02458	Human	17652426|15299286|14613270|12890681|16507130
Collagenase clostridium histolyticum	Collagen alpha-1(III) chain	P02461	Human	17016423|17139284|2145268
Collagenase clostridium histolyticum	Collagen alpha-2(I) chain	P08123	Human	12101112
Rasburicase	Uric acid	null	Human	16809136|17016423|16689679|20394650|17139284|16545381
Cetrorelix	Gonadotropin-releasing hormone receptor	P30968	Human	11854630|14561652|14605254|16809153|11752352|12606421
Cetrorelix	Lutropin-choriogonadotropic hormone receptor	P22888	Human	17016423|17139284|11943741
Adalimumab	Tumor necrosis factor	P01375	Human	12044041|14532145|15022409|15200343|11752352|15046527
Adalimumab	Low affinity immunoglobulin gamma Fc region receptor III-B	O75015	Human	17016423|17139284
Adalimumab	Complement C1r subcomponent	P00736	Human	17016423|17139284
Adalimumab	Complement C1q subcomponent subunit A	P02745	Human	17016423|17139284
Adalimumab	Complement C1q subcomponent subunit B	P02746	Human	17016423|17139284
Adalimumab	Complement C1q subcomponent subunit C	P02747	Human	17016423|17139284
Adalimumab	Low affinity immunoglobulin gamma Fc region receptor III-A	P08637	Human	17016423|17139284
Adalimumab	Complement C1s subcomponent	P09871	Human	17016423|17139284
Adalimumab	High affinity immunoglobulin gamma Fc receptor I	P12314	Human	17016423|17139284
Adalimumab	Low affinity immunoglobulin gamma Fc region receptor II-a	P12318	Human	17016423|17139284
Adalimumab	Low affinity immunoglobulin gamma Fc region receptor II-b	P31994	Human	17016423|17139284
Adalimumab	Low affinity immunoglobulin gamma Fc region receptor II-c	P31995	Human	17016423|17139284
Somatropin recombinant	Growth hormone receptor	P10912	Human	16965663|17082603|17128263|16917171|11752352|17133434
Somatropin recombinant	Prolactin receptor	P16471	Human	17279774|17317019|17395896|2270485
Imiglucerase	Glucocerebroside	null	Human	20301446
Abciximab	Integrin beta-3	P05106	Human	12165285|17441904|18510478|11588534|11752352|12749745
Abciximab	Integrin alpha-IIb	P08514	Human	18510478|19499855|12749745
Abciximab	Low affinity immunoglobulin gamma Fc region receptor III-B	O75015	Human	17016423|17139284
Abciximab	Complement C1r subcomponent	P00736	Human	17016423|17139284
Abciximab	Complement C1q subcomponent subunit A	P02745	Human	17016423|17139284
Abciximab	Complement C1q subcomponent subunit B	P02746	Human	17016423|17139284
Abciximab	Complement C1q subcomponent subunit C	P02747	Human	17016423|17139284
Abciximab	Low affinity immunoglobulin gamma Fc region receptor III-A	P08637	Human	17016423|17139284
Abciximab	Complement C1s subcomponent	P09871	Human	17016423|17139284
Abciximab	High affinity immunoglobulin gamma Fc receptor I	P12314	Human	17016423|17139284
Abciximab	Low affinity immunoglobulin gamma Fc region receptor II-a	P12318	Human	17016423|17139284
Abciximab	Low affinity immunoglobulin gamma Fc region receptor II-b	P31994	Human	17016423|17139284
Abciximab	Low affinity immunoglobulin gamma Fc region receptor II-c	P31995	Human	17016423|17139284
Abciximab	Vitronectin	P04004	Human	17160551|12749745
Drotrecogin alfa	Coagulation factor VIII	P00451	Human	18954704|9184404|11752352
Drotrecogin alfa	Coagulation factor V	P12259	Human	12030642|11893230|11714212|11236773|11752352|12004250
Drotrecogin alfa	Plasminogen activator inhibitor 1	P05121	Human	14515185|11259926|17566522|12004248
Drotrecogin alfa	Thrombomodulin	P07204	Human	1660324|2836377|11804648|3039877|15252033
Drotrecogin alfa	Vitamin K-dependent protein S	P07225	Human	12062545|3160800|1828915
Drotrecogin alfa	Ceruloplasmin	P00450	Human	17016423|17139284
Drotrecogin alfa	Prothrombin	P00734	Human	12062545|12208873|12070133|10463819|12296618
Drotrecogin alfa	Platelet factor 4	P02776	Human	11259926
Drotrecogin alfa	Plasma serine protease inhibitor	P05154	Human	7769227|10456457|9620917|12671072|8391599
Drotrecogin alfa	Serpin B6	P35237	Human	17016423|17139284
Drotrecogin alfa	Vitamin K-dependent gamma-carboxylase	P38435	Human	17016423|17139284
Drotrecogin alfa	Endothelial protein C receptor	Q9UNN8	Human	12871285|15118520|17566522|9529319|12353077
Gemtuzumab ozogamicin	Myeloid cell surface antigen CD33	P20138	Human	11432892|11249747|11410481|10942240|11752352|20564405|11342449
Gemtuzumab ozogamicin	Low affinity immunoglobulin gamma Fc region receptor III-B	O75015	Human	7509291|9649182|9815888
Gemtuzumab ozogamicin	Complement C1r subcomponent	P00736	Human	17016423|17139284
Gemtuzumab ozogamicin	Complement C1q subcomponent subunit A	P02745	Human	17016423|17139284
Gemtuzumab ozogamicin	Complement C1q subcomponent subunit B	P02746	Human	17016423|17139284
Gemtuzumab ozogamicin	Complement C1q subcomponent subunit C	P02747	Human	17016423|17139284
Gemtuzumab ozogamicin	Low affinity immunoglobulin gamma Fc region receptor III-A	P08637	Human	17016423|7509291|17139284
Gemtuzumab ozogamicin	Complement C1s subcomponent	P09871	Human	17016423|17139284
Gemtuzumab ozogamicin	High affinity immunoglobulin gamma Fc receptor I	P12314	Human	7509291
Gemtuzumab ozogamicin	Low affinity immunoglobulin gamma Fc region receptor II-a	P12318	Human	17016423|17139284
Gemtuzumab ozogamicin	Low affinity immunoglobulin gamma Fc region receptor II-b	P31994	Human	17016423|17139284
Gemtuzumab ozogamicin	Low affinity immunoglobulin gamma Fc region receptor II-c	P31995	Human	17016423|17139284
Satumomab Pendetide	Tumor-associated glycoprotein 72 (TAG-72)	null	Human	17016423|10088160|17139284
Alpha-1-proteinase inhibitor	Neutrophil elastase	P08246	Human	16773239|11752352|20521180
Pegaspargase	L-asparagine	null	Human	17016423|17766659|17264295|17132721|17139284
Interferon beta-1a	Interferon alpha/beta receptor 1	P17181	Human	11747625|10049744|16912135|12034032
Interferon beta-1a	Interferon alpha/beta receptor 2	P48551	Human	11747625|16912135
Pegademase bovine	Adenosine	null	Human	17016423|17601796|17574432|17727332|17139284
Pegademase bovine	Growth factor receptor-bound protein 2	P62993	Human	9299436
Human Serum Albumin	Apolipoprotein E	P02649	Human	12887764|12860569|17553935|16554356|17141733
Human Serum Albumin	Serum amyloid A-1 protein	P0DJI8	Human	17016423|17139284
Human Serum Albumin	Protein AMBP	P02760	Human	15452109
Eptifibatide	Integrin beta-3	P05106	Human	14618072|12360110|10592235|15860200|14617694|11588534|12928738
Serum albumin iodonated	Apolipoprotein E	P02649	Human	17016423|17139284|16441928|17378158
Serum albumin iodonated	Serum amyloid A-1 protein	P0DJI8	Human	17016423|10903648|9200475|17139284|10361047
Serum albumin iodonated	Protein AMBP	P02760	Human	17016423|17139284
Infliximab	Tumor necrosis factor	P01375	Human	12110154|16456024|11752352|16052578|16622728|15691299|15804598|15481318|15691217|17642244|15674127
Follitropin beta	Follicle-stimulating hormone receptor	P23945	Human	11299519|2108722|8319832|8070368|11752352|18020563|7755615
Vasopressin	Vasopressin V2 receptor	P30518	Human	16563128|17287200|16333859|17020465|11752352
Vasopressin	Vasopressin V1a receptor	P37288	Human	17303660|16011575|17275806|16511036|16532916
Vasopressin	Vasopressin V1b receptor	P47901	Human	17027167|16114100|16720725|17284170|15993108
Interferon beta-1b	Interferon alpha/beta receptor 1	P17181	Human	10049744|11752352
Interferon beta-1b	Interferon alpha/beta receptor 2	P48551	Human	10049744|11752352
Interferon alfacon-1	Interferon alpha/beta receptor 1	P17181	Human	17016423|17139284|12528473|11752352
Interferon alfacon-1	Interferon alpha/beta receptor 2	P48551	Human	12528473|11752352|8836913
Hyaluronidase	Hyaluronan	null	Human	
Hyaluronidase	Transforming growth factor beta-1	P01137	Human	11327694|7648625|9850732|9435505
Insulin Pork	Insulin receptor	P06213	Human	12970169|11752352|12038982
Insulin Pork	Insulin-like growth factor 1 receptor	P08069	Human	9846170|17016423|9582514|17139284|7476290
Insulin Pork	Insulin-degrading enzyme	P14735	Human	17016423|13560210|9643444|17139284|8504733
Insulin Pork	HLA class II histocompatibility antigen, DQ alpha 2 chain	P01906	Human	17016423|17139284|11006709|8200980|9458118
Insulin Pork	HLA class II histocompatibility antigen, DQ beta 1 chain	P01920	Human	1728861|17016423|10592235|17139284|1612232
Insulin Pork	Retinoblastoma-associated protein	P06400	Human	17016423|17139284|1701386
Insulin Pork	Cathepsin D	P07339	Human	17016423|9130467|11779865|17139284|10229502
Insulin Pork	Carboxypeptidase E	P16870	Human	17016423|2481446|17139284|9452465|12588113
Insulin Pork	Neuroendocrine convertase 2	P16519	Human	17016423|17139284|8666140|17221210|9662053
Insulin Pork	Neuroendocrine convertase 1	P29120	Human	17016423|1435788|17139284|12136131|17097861
Insulin Pork	Protein NOV homolog	P48745	Human	10084601|17016423|8622864|12149257|17139284
Insulin Pork	Low-density lipoprotein receptor-related protein 2	P98164	Human	9773776|17016423|17018843|9051350|17139284
Insulin Pork	Insulin-like growth factor-binding protein 7	Q16270	Human	17475416|17016423|10383131|17139284|11089538
Insulin Pork	Synaptotagmin-like protein 4	Q96C24	Human	16216924|17016423|17139284|16831872|15028737
Trastuzumab	Receptor tyrosine-protein kinase erbB-2	P04626	Human	18690878|17660958|11098307|11752352
Trastuzumab	Epidermal growth factor receptor	P00533	Human	11752352
Trastuzumab	Complement C1r subcomponent	P00736	Human	17016423|17139284
Trastuzumab	Complement C1q subcomponent subunit A	P02745	Human	17016423|17139284
Trastuzumab	Complement C1q subcomponent subunit B	P02746	Human	17016423|17139284
Trastuzumab	Complement C1q subcomponent subunit C	P02747	Human	17016423|17139284
Trastuzumab	Complement C1s subcomponent	P09871	Human	17016423|17139284
Trastuzumab	High affinity immunoglobulin gamma Fc receptor I	P12314	Human	17016423|17139284|9435876
Trastuzumab	Low affinity immunoglobulin gamma Fc region receptor II-a	P12318	Human	17016423|17139284|17704420
Trastuzumab	Low affinity immunoglobulin gamma Fc region receptor II-b	P31994	Human	17016423|17139284
Trastuzumab	Low affinity immunoglobulin gamma Fc region receptor II-c	P31995	Human	17016423|17139284
Trastuzumab	Low affinity immunoglobulin gamma Fc region receptor III-B	O75015	Human	15868915|15680154|14666732|16109421|15471859
Trastuzumab	Low affinity immunoglobulin gamma Fc region receptor III-A	P08637	Human	17363544
Rituximab	B-lymphocyte antigen CD20	P11836	Human	20350667|11752352|20350663
Rituximab	Low affinity immunoglobulin gamma Fc region receptor III-B	O75015	Human	15659493|16109421|16825493|17475906
Rituximab	Complement C1r subcomponent	P00736	Human	17016423|17139284
Rituximab	Complement C1q subcomponent subunit A	P02745	Human	17016423|12874252|17139284
Rituximab	Complement C1q subcomponent subunit B	P02746	Human	17016423|17139284
Rituximab	Complement C1q subcomponent subunit C	P02747	Human	17016423|17139284
Rituximab	Low affinity immunoglobulin gamma Fc region receptor III-A	P08637	Human	17324336|15448014|16609067
Rituximab	Complement C1s subcomponent	P09871	Human	17016423|17139284
Rituximab	High affinity immunoglobulin gamma Fc receptor I	P12314	Human	17016423|17139284
Rituximab	Low affinity immunoglobulin gamma Fc region receptor II-a	P12318	Human	17324336|16609067
Rituximab	Low affinity immunoglobulin gamma Fc region receptor II-b	P31994	Human	17016423|17139284
Rituximab	Low affinity immunoglobulin gamma Fc region receptor II-c	P31995	Human	17016423|17139284
Basiliximab	Interleukin-2 receptor subunit alpha	P01589	Human	16908318|12591363|9695721|10512062|10567956|11752352
Basiliximab	Interleukin-2 receptor subunit beta	P14784	Human	10188761|11840795|12667677|12826150|11752352|10708100
Basiliximab	High affinity immunoglobulin gamma Fc receptor I	P12314	Human	17016423|17139284
Basiliximab	Low affinity immunoglobulin gamma Fc region receptor III-A	P08637	Human	17016423|17139284
Basiliximab	Low affinity immunoglobulin gamma Fc region receptor II-a	P12318	Human	17016423|17139284
Basiliximab	Low affinity immunoglobulin gamma Fc region receptor II-b	P31994	Human	17016423|17139284
Basiliximab	Low affinity immunoglobulin gamma Fc region receptor II-c	P31995	Human	17016423|17139284
Basiliximab	Low affinity immunoglobulin gamma Fc region receptor III-B	O75015	Human	17016423|17139284
Basiliximab	Complement C1s subcomponent	P09871	Human	17016423|17139284
Basiliximab	Complement C1r subcomponent	P00736	Human	17016423|17139284
Basiliximab	Complement C1q subcomponent subunit A	P02745	Human	17016423|17139284
Basiliximab	Complement C1q subcomponent subunit B	P02746	Human	17016423|17139284
Basiliximab	Complement C1q subcomponent subunit C	P02747	Human	17016423|17139284
Muromonab	T-cell surface glycoprotein CD3 delta chain	P04234	Human	2503348|8861551
Muromonab	T-cell surface glycoprotein CD3 epsilon chain	P07766	Human	17016423|17139284|11752352
Muromonab	T-cell surface glycoprotein CD3 gamma chain	P09693	Human	2503348|8861551
Muromonab	T-cell surface glycoprotein CD3 zeta chain	P20963	Human	2503348|8861551
Muromonab	Low affinity immunoglobulin gamma Fc region receptor III-B	O75015	Human	10851527|10851498
Muromonab	Complement C1r subcomponent	P00736	Human	17016423|17139284
Muromonab	Complement C1q subcomponent subunit A	P02745	Human	17016423|17139284
