Drug	Synonym	
Bendamustine Hydrochloride	Bendamustine_Hydrochloride	
Bendamustine Hydrochloride	Levact	
Bendamustine Hydrochloride	bendamustine hydrochloride	
Bendamustine Hydrochloride	Cytostasan Hydrochloride	
Bendamustine Hydrochloride	SDX-105	
Bendamustine Hydrochloride	2-Benzimidazolinebutryric acid, 1-methyl-5-bis(2-chloroethyl)amino-, hydrochloride	
Bendamustine Hydrochloride	Bendamustine	
Bendamustine Hydrochloride	Bendamustine Hydrochloride	
Bendamustine Hydrochloride	SyB L-0501	
Bendamustine Hydrochloride	Bendamustin Hydrochloride	
Bendamustine Hydrochloride	Ribomustin	
Bendamustine Hydrochloride	bendamustine	
Bosutinib	4-Anilino-3-quinolinecarbonitrile	
Bosutinib	BOSUTINIB	
Bosutinib	4-[(2,4-dichloro-5-methoxyphenyl)amino]-6-methoxy-7-[3-(4-methylpiperazin-1-yl)propoxy]quinoline-3-carbonitrile	
Bosutinib	SKI 606	
Bosutinib	Bosulif	
Bosutinib	SKI-606	
Bosutinib	4-Anilinobenzo(g)quinoline-3-carbonitrile	
Bosutinib	Bosutinib	
Bicalutamide	ICI 176334	
Bicalutamide	(+/-)-N-[4-Cyano-3-(trifluoromethyl)phenyl]-3-[(4-fluorophenyl)sulfonyl]-2-hydroxy-2-methylpropanamide	
Bicalutamide	ICI 176,334	
Bicalutamide	Bicalutamide	
Bicalutamide	4'-Cyano-alpha,alpha,alpha-trifuloro-3-[(p-fluorophenyl)sulfonyl]-2-methyl-m-lactotoluidide	
Bicalutamide	4-Cyano-3-trifluoromethyl-N-(3-p-fluorophenylsulfonyl-2-hydroxy-2-methylpropionyl)aniline	
Bicalutamide	Casodex	
Bicalutamide	N-[4-Cyano-3-(trifluoromethyl)phenyl]3-3[(4-fluorophenyl)sulfonyl]-2-hydroxy-2-methyl-propanamide	
Bicalutamide	BICALUTAMIDE	
Bicalutamide	Cosudex	
Bicalutamide	bicalutamide	
Mitoxantrone Hydrochloride	1,3-Dihydroxy-5,8-bis[[2-[(2-hydroxyethyl)amino]ethyl]amino]-9, 10-anthracenedione Dihydrochloride	
Mitoxantrone Hydrochloride	Mitozantrone Hydrochloride	
Mitoxantrone Hydrochloride	mitoxantrone	
Mitoxantrone Hydrochloride	Mitroxone	
Mitoxantrone Hydrochloride	MITOXANTRONE	
Mitoxantrone Hydrochloride	Neotalem	
Mitoxantrone Hydrochloride	MITOXANTRONE HYDROCHLORIDE	
Mitoxantrone Hydrochloride	Novantrone	
Mitoxantrone Hydrochloride	Mitoxantroni Hydrochloridum	
Mitoxantrone Hydrochloride	1,3-Dihydroxy-5,8-bis[[2-[(2-hydroxyethyl)amino]ethyl]amino]-9, 10-anthracenedione	
Mitoxantrone Hydrochloride	DHAQ	
Mitoxantrone Hydrochloride	Mitozantrone	
Mitoxantrone Hydrochloride	Mitoxantrone_Base	
Mitoxantrone Hydrochloride	1,4-Dihydroxy-5,8-bis[[2-[(2-hydroxyethyl)amino]ethyl]amino]-9, 10-anthroquinone Dihydrochloride	
Mitoxantrone Hydrochloride	Dihydroxyanthracenedione	
Mitoxantrone Hydrochloride	Mitoxantrone Hydrochloride	
Mitoxantrone Hydrochloride	DHAD	
Mitoxantrone Hydrochloride	Onkotrone	
Mitoxantrone Hydrochloride	Dihydroxyanthracenedione Dihydrochloride	
Mitoxantrone Hydrochloride	Pralifan	
Mitoxantrone Hydrochloride	Mitoxantrone	
Mitoxantrone Hydrochloride	Mitoxantrone Dihydrochloride	
Mitoxantrone Hydrochloride	CL 232315	
Mitoxantrone Hydrochloride	1,4-Dihydroxy-5,8-bis[[2-[(2-hydroxyethyl)amino]ethyl]amino]-9, 10-anthroquinone	
Fulvestrant	ICI 182,780	
Fulvestrant	ICI 182780	
Fulvestrant	FULVESTRANT	
Fulvestrant	Faslodex(ICI 182,780)	
Fulvestrant	ZD9238	
Fulvestrant	fulvestrant	
Fulvestrant	7a-[9-[(4,4,5,5,5,-Pentafluoropentyl)sulphinyl]nonyl]-estra-1,3,5(10)-triene-3,17b-diol	
Fulvestrant	Faslodex	
Fulvestrant	Fulvestrant	
Thioguanine	2-Amino-6-purinethiol	
Thioguanine	2-Mercapto-6-aminopurine	
Thioguanine	Tioguanine	
Thioguanine	Thioguanine	
Thioguanine	BW 5071	
Thioguanine	2-Aminopurine-6(1H)-thione	
Thioguanine	2-Amino-6-mercaptopurine	
Thioguanine	6-Amino-2-mercaptopurine	
Thioguanine	6-Thioguanine	
Thioguanine	6 Mercaptoguanine	
Thioguanine	6-Mercaptoguanine	
Thioguanine	2-Amino 6MP	
Thioguanine	6-Mercapto-2-aminopurine	
Thioguanine	2-Aminopurin-6-thiol	
Thioguanine	X 27	
Thioguanine	Wellcome U3B	
Thioguanine	6-TG	
Thioguanine	WR-1141	
Thioguanine	thioguanine	
Thioguanine	2-Aminopurine-6-thiol	
Thioguanine	THIOGUANINE	
Thioguanine	Tabloid	
Thioguanine	2-Amino-1,7-dihydro-6H-purine-6-thione	
Thioguanine	6H-Purine-6-thione, 2-amino-1,7-dihydro- (9CI)	
Thioguanine	Lanvis	
Thioguanine	6 Thioguanine	
Thioguanine	Tioguanin	
Abiraterone Acetate	CB 7598	
Abiraterone Acetate	17-(3-Pyridyl)-5,16-androstadien-3beta-acetate	
Abiraterone Acetate	Abiraterone_Acetate	
Abiraterone Acetate	Abiraterone	
Abiraterone Acetate	Androsta-5,16-dien-3-ol, 17-(3-pyridinyl)-, acetate (ester), (3beta)-	
Abiraterone Acetate	ABIRATERONE ACETATE	
Abiraterone Acetate	abiraterone acetate	
Abiraterone Acetate	CB7630	
Abiraterone Acetate	Zytiga	
Abiraterone Acetate	17-(3-Pyridyl)androsta-5,16-dien-3beta-ol	
Abiraterone Acetate	Abiraterone Acetate	
Abiraterone Acetate	ABIRATERONE	
Omacetaxine Mepesuccinate	Omacetaxine Mepesuccinate	
Omacetaxine Mepesuccinate	Ceflatonin	
Omacetaxine Mepesuccinate	Cephalotaxine, 4-methyl 2-hydroxy-2-(4-hydroxy-4-methylpentyl)butanedioate (ester), [3(R)]- (9CI)	
Omacetaxine Mepesuccinate	Homoharringtonine	
Omacetaxine Mepesuccinate	HHT	
Omacetaxine Mepesuccinate	Cephalotaxine, 4-Methyl 2-hydroxy-2-(4-hydroxy-4-methylpentyl)butanedioate (Ester), [3(R)]- (9CI)	
Omacetaxine Mepesuccinate	CGX-635	
Omacetaxine Mepesuccinate	homoharringtonine	
Omacetaxine Mepesuccinate	OMACETAXINE MEPESUCCINATE	
Omacetaxine Mepesuccinate	Cephalotaxine, 4-Methyl 2-hydroxy-2-(4-hydroxy-4-methylpentyl)butanedioate (Ester)	
Belinostat	Beleodaq	
Belinostat	PXD 101	
Belinostat	belinostat	
Belinostat	Belinostat	
Belinostat	PXD101	
Belinostat	BELINOSTAT	
Temozolomide	M & B 39831	
Temozolomide	temozolomide	
Temozolomide	M and B 39831	
Temozolomide	Imidazo[5,1-d]-1,2,3,5-tetrazine-8-carboxamide, 3, 4-dihydro-3-methyl-4-oxo-	
Temozolomide	Temodal	
Temozolomide	8-carbamoyl-3-methylimidazo[5,1-d]-1,2,3,5-tetrazin-4(3H)-one	
Temozolomide	RP-46161	
Temozolomide	imidazo[5,1-d]-1,2,3,5-tetrazine-8-carboxamide, 3, 4-dihydro-3-methyl-4-oxo-	
Temozolomide	TEMOZOLOMIDE	
Temozolomide	Temomedac	
Temozolomide	SCH 52365	
Temozolomide	CCRG-81045	
Temozolomide	Methazolastone	
Temozolomide	Temcad	
Temozolomide	Temodar	
Temozolomide	Temozolomide	
Temozolomide	3,4-dihydro-3-methyl-4-oxoimidazo[5,1-d]-1,2,3,5-tetrazine-8-carboxamide	
Cetuximab	CETUXIMAB	
Cetuximab	IMC-C225	
Cetuximab	Chimeric Anti-EGFR Monoclonal Antibody	
Cetuximab	cetuximab	
Cetuximab	Chimeric Monoclonal Antibody C225	
Cetuximab	Cetuximab	
Cetuximab	Chimeric MoAb C225	
Cetuximab	Erbitux	
Nilotinib	Nilotinib	
Nilotinib	Tasigna	
Nilotinib	nilotinib	
Nilotinib	AMN107	
Nilotinib	4-Methyl-3-((4-(3-pyridinyl)-2-pyrimidinyl)amino)-N-(5-(4-methyl-1H-imidazol-1-yl)-3-(trifluoromethyl)phenyl)benzamide	
Nilotinib	AMN 107	
Nilotinib	NILOTINIB	
Panobinostat	Panobinostat	
Panobinostat	Farydak	
Panobinostat	LBH589	
Panobinostat	(2E)-N-hydroxy-3-(4-(((2-(2-methyl-1h-indol-3-yl)ethyl)amino)methyl)phenyl)prop-2-enamide	
Panobinostat	PANOBINOSTAT	
Panobinostat	Faridak	
Panobinostat	panobinostat	
Denileukin Diftitox	Interleukin-2 Fusion Protein	
Denileukin Diftitox	Denileukin_Diftitox	
Denileukin Diftitox	DENILEUKIN DIFTITOX	
Denileukin Diftitox	DAB389 Interleukin-2	
Denileukin Diftitox	DAB(389)IL-2	
Denileukin Diftitox	DAB389 Interleukin-2 Immunotoxin	
Denileukin Diftitox	denileukin diftitox	
Denileukin Diftitox	Denileukin Diftitox	
Denileukin Diftitox	DAB389IL2	
Denileukin Diftitox	Ontak	
Denileukin Diftitox	DAB389IL-2	
Denileukin Diftitox	Interleukin-2 Fusion Toxin	
Denileukin Diftitox	LY335348	
Denileukin Diftitox	DAB(389)-Interleukin-2	
Panitumumab	ABX-EGF, Clone E7.6.3	
Panitumumab	PANITUMUMAB	
Panitumumab	Monoclonal_Antibody_ABX-EGF	
Panitumumab	Panitumumab	
Panitumumab	Vectibix	
Panitumumab	MoAb ABX-EGF	
Panitumumab	ABX-EGF	
Panitumumab	ABX-EGF Monoclonal Antibody	
Panitumumab	Monoclonal Antibody ABX-EGF	
Panitumumab	panitumumab	
Gemcitabine Hydrochloride	Difluorodeoxycytidine	
Gemcitabine Hydrochloride	GEMCITABINE HYDROCHLORIDE	
Gemcitabine Hydrochloride	LY-188011	
Gemcitabine Hydrochloride	dFdCyd	
Gemcitabine Hydrochloride	Gemcitabine	
Gemcitabine Hydrochloride	Gemcitabine Hydrochloride	
Gemcitabine Hydrochloride	2'Deoxy-2',2'-Difluorocytidine, Hydrochloride	
Gemcitabine Hydrochloride	Difluorodeoxycytidine Hydrochloride	
Gemcitabine Hydrochloride	GEMCITABINE	
Gemcitabine Hydrochloride	dFdC	
Gemcitabine Hydrochloride	gemcitabine hydrochloride	
Gemcitabine Hydrochloride	Gemcitabine_Base	
Gemcitabine Hydrochloride	1-(2-Oxo-4-amino-1,2-dihydropyrimidin-1-yl)-2-deoxy-2,2-difluororibose	
Gemcitabine Hydrochloride	1-(2-Oxo-4-amino-1,2-dihydropyrimidin-1-yl)-2-deoxy-2,2-difluororibose, hydrochloride	
Gemcitabine Hydrochloride	Gemzar	
Gemcitabine Hydrochloride	gemcitabine	
Gemcitabine Hydrochloride	2'Deoxy-2',2'-Difluorocytidine	
Carboplatin	platinum, diammine(1,1-cyclobutanedicarboxylato(2-))-, (SP-4-2)	
Carboplatin	Paraplat	
Carboplatin	CARBOPLATIN	
Carboplatin	Novoplatinum	
Carboplatin	Ribocarbo	
Carboplatin	cis-diammine(cyclobutanedicarboxylato)platinum II	
Carboplatin	JM-8	
Carboplatin	1,1-cyclobutanedicarboxylic acid platinum complex	
Carboplatin	Nealorin	
Carboplatin	(SP-4-2)-diammine[1,1-cyclobutanedicarboxylato(2--)-O,O']platinum	
Carboplatin	cis-diammine(1,1-cyclobutanedicarboxylato) platinum(II)	
Carboplatin	Carboplatin Hexal	
Carboplatin	Carbosol	
Carboplatin	Ercar	
Carboplatin	Cis-Diammine(cyclobutane-1,1-dicarboxylato)platinum	
Carboplatin	Blastocarb	
Carboplatin	CBDCA	
Carboplatin	Paraplatin	
Carboplatin	carboplatin	
Carboplatin	Carboplatin	
Carboplatin	Paraplatine	
Carboplatin	Paraplatin AQ	
Carboplatin	Carboplatino	
Carboplatin	Carbosin	
Carboplatin	Displata	
Carboplatin	Carboplat	
Carboplatin	Carbotec	
Carboplatin	Platinwas	
Mercaptopurine	Leupurin	
Mercaptopurine	NCI-C04886	
Mercaptopurine	3H-Purine-6-thiol	
Mercaptopurine	6-MP	
Mercaptopurine	6H-Purine-6-thione, 1,7-dihydro- (9CI)	
Mercaptopurine	Mercaptopurinum	
Mercaptopurine	Purine-6-thiol, Monohydrate	
Mercaptopurine	Purine-6-thiol, monohydrate	
Mercaptopurine	WR-2785	
Mercaptopurine	Mercaptina	
Mercaptopurine	Puri-Nethol	
Mercaptopurine	Purinethol	
Mercaptopurine	1,7-Dihydro-6H-purine-6-thione Monohydrate	
Mercaptopurine	Bw 57-323H	
Mercaptopurine	Mern	
Mercaptopurine	6-Mercaptopurine	
Mercaptopurine	Mercaleukin	
Mercaptopurine	6 MP	
Mercaptopurine	Mercaleukim	
Mercaptopurine	Purine, 6-mercapto-	
Mercaptopurine	Mercapurin	
Mercaptopurine	1,7-Dihydro-6H-purine-6-thione	
Mercaptopurine	6-Purinethiol	
Mercaptopurine	Mercapto-6-purine	
Mercaptopurine	Mercaptopurine	
Mercaptopurine	U-4748	
Mercaptopurine	6-Thiopurine	
Mercaptopurine	Azathiopurine	
Mercaptopurine	Leukerin	
Mercaptopurine	Purinethiol	
Mercaptopurine	7-Mercapto-1,3,4,6-tetrazaindene	
Mercaptopurine	6-Thioxopurine	
Mercaptopurine	Flocofil	
Mercaptopurine	Purine-6-thiol Monohydrate	
Mercaptopurine	MERCAPTOPURINE	
Mercaptopurine	Purimethol	
Mercaptopurine	Ismipur	
Mercaptopurine	mercaptopurine	
Mercaptopurine	Purine-6-thiol (8CI)	
Mercaptopurine	Alti-Mercaptopurine	
Mercaptopurine	6 Thiohypoxanthine	
Mercaptopurine	BW 57-323H	
Mercaptopurine	6-Mercaptopurine Monohydrate	
Mercaptopurine	6 Thiopurine	
Afatinib Dimaleate	BIBW 2992	
Afatinib Dimaleate	Afatinib_Dimaleate	
Afatinib Dimaleate	Afatinib Dimaleate	
Afatinib Dimaleate	BIBW 2992MA2	
Afatinib Dimaleate	(2E)-N-(4-((3-Chloro-4-fluorophenyl)amino)-7-(((3S)-tetrahydrofuran-3-yl)oxy)quinazolin- 6-yl)-4-(dimethylamino)but-2-enamide bis(hydrogen (2Z)-but-2-enedioate)	
Afatinib Dimaleate	AFATINIB DIMALEATE	
Afatinib Dimaleate	Afatinib	
Afatinib Dimaleate	AFATINIB	
Afatinib Dimaleate	BIBW2992 MA2	
Afatinib Dimaleate	(2e)-N-(4-(3-Chloro-4-Fluoroanilino)-7-(((3s)-Oxolan-3-yl)Oxy)Quinoxazolin-6-yl)-4-(Dimethylamino)But-2-Enamide	
Afatinib Dimaleate	BIBW_2992	
Afatinib Dimaleate	2-Butenamide, N-[4-[(3-chloro-4-fluorophenyl)amino]7-[[(3S)-tetrahydro-3-furanyl]oxy]-6-quinazolinyl]-4-(dimethylamino)-,(2E)-, (2Z)-2-Butenedioate (1:2)	
Afatinib Dimaleate	Gilotrif	
Lapatinib Ditosylate	LAPATINIB	
Lapatinib Ditosylate	GW572016	
Lapatinib Ditosylate	lapatinib ditosylate	
Lapatinib Ditosylate	lapatinib	
Lapatinib Ditosylate	LAPATINIB DITOSYLATE	
Lapatinib Ditosylate	GW 2016	
Lapatinib Ditosylate	GW2016	
Lapatinib Ditosylate	Lapatinib	
Lapatinib Ditosylate	GSK572016	
Lapatinib Ditosylate	Lapatinib_Ditosylate	
Lapatinib Ditosylate	Lapatinib Ditosylate	
Lapatinib Ditosylate	Tykerb	
Filgrastim	r-metHuG-CSF	
Filgrastim	Neupogen	
Filgrastim	FILGRASTIM	
Filgrastim	Filgrastim XM02	
Filgrastim	Recombinant Methionyl Human Granulocyte Colony Stimulating Factor	
Filgrastim	Tevagrastim	
Filgrastim	filgrastim	
Filgrastim	rG-CSF	
Filgrastim	G-CSF	
Filgrastim	Tbo-filgrastim	
Filgrastim	Filgrastim	
Irinotecan Hydrochloride	Camptothecin 11	
Irinotecan Hydrochloride	IRINOTECAN HYDROCHLORIDE	
Irinotecan Hydrochloride	Irinomedac	
Irinotecan Hydrochloride	Campto	
Irinotecan Hydrochloride	7-ethyl-10-[4-(1-piperidino)-1-piperidino]carbonyloxycamptothecin	
Irinotecan Hydrochloride	irinotecan	
Irinotecan Hydrochloride	CPT-11	
Irinotecan Hydrochloride	Irinotecan_Base	
Irinotecan Hydrochloride	Irinotecan Hydrochloride	
Irinotecan Hydrochloride	Irinotecan	
Irinotecan Hydrochloride	[1,4'-bipiperidine]-1'-carboxylic acid (S)-4,11-diethyl-3,4,12,14-tetrahydro-4-hydroxy-3,14-dioxo-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinolin-9-yl ester	
Irinotecan Hydrochloride	(+)-7-ethyl-10-hydroxycamptothecine 10-[1,4'-bipiperidine]-1'-carboxylate	
Irinotecan Hydrochloride	(+)-(4S)-4,11-diethyl-4-hydroxy-9-[(4-piperidino-piperidino)carbonyloxy]-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinol-3,14,(4H,12H)-dione	
Irinotecan Hydrochloride	Camptothecin-11	
Irinotecan Hydrochloride	IRINOTECAN	
Irinotecan Hydrochloride	CPT 11	
Irinotecan Hydrochloride	U-101440E	
Irinotecan Hydrochloride	irinotecan hydrochloride	
Irinotecan Hydrochloride	Camptosar	
Anastrozole	Arimidex	
Anastrozole	Anastrozole	
Anastrozole	Alpha,alpha,alpha', alpha'-tetramethyl-5-(1H-1,2,4-triazol-1-ylmethyl)-1,3-benzenediacetonitrile	
Anastrozole	ZD-1033	
Anastrozole	2,2'-[5-(1H-1,2,4-Triazol-1-ylmethyl)-1,3-phenylene]di(2-methylpropionitrile)	
Anastrozole	ICI D1033	
Anastrozole	anastrozole	
Anastrozole	ICI-D1033	
Anastrozole	ANASTROZOLE	
Etoposide	VP-16-213	
Etoposide	Vepesid	
Etoposide	Etoposide Phosphate	
Etoposide	ETOPOSIDE PHOSPHATE	
Etoposide	etoposide phosphate	
Etoposide	Etopophos	
Etoposide	Etoposide	
Etoposide	Demethyl Epipodophyllotoxin Ethylidine Glucoside	
Etoposide	9-[(4,6-O-Ethylidene-beta-D-glucopyranosyl]oxy)-5,8,8a,9-tetrahydro-5-(4-hydroxy-3,5-dimethoxyphenyl)furo[3',4':6,7]naphtho[2,3-d]-1,3-dioxol-6(5aH)-one	
Etoposide	EPEG	
Etoposide	4'-Demethylepipodophyllotoxin 9-[4,6-O-ethylidene-beta-D-glucopyranoside]	
Etoposide	ETOPOSIDE	
Etoposide	Lastet	
Etoposide	VP-16	
Etoposide	Toposar	
Etoposide	etoposide	
Etoposide	VP 16-213	
Etoposide	Etoposide_Phosphate	
Chlorambucil	Chlorbutin	
Chlorambucil	Linfolysin	
Chlorambucil	CHL	
Chlorambucil	4-[Bis(2-chloroethyl)amino]benzenebutanoic acid	
Chlorambucil	Chlorambucilum	
Chlorambucil	.gamma.-[p-bis(2-chloroethyl)aminophenyl]butyric acid	
Chlorambucil	Chlorobutine	
Chlorambucil	chlorbutinum	
Chlorambucil	Butyric acid, 4-(p-bis(2-chloroethyl)aminophenyl)-	
Chlorambucil	p-(N, N-di-2-chloroethyl)aminophenyl butyric acid	
Chlorambucil	Ecloril	
Chlorambucil	benzenebutanoic acid, 4-[bis(2-chloroethyl)amino]- (9CI)	
Chlorambucil	Chloraminophene	
Chlorambucil	Linfolizin	
Chlorambucil	Butyric acid, 4-(p-[bis(2-chloroethyl)amino]phenyl)-	
Chlorambucil	CB-1348	
Chlorambucil	N,N-Di-2-chloroethyl-.gamma.-p-aminophenylbutyric acid	
Chlorambucil	butyric acid, 4-(p-bis(2-chloroethyl)aminophenyl)	
Chlorambucil	Lympholysin	
Chlorambucil	Phenylbutyric acid nitrogen mustard	
Chlorambucil	WR-139013	
Chlorambucil	Chloraminophen	
Chlorambucil	p-N, N-di-(beta-chloroethyl)aminophenyl butyric acid	
Chlorambucil	4-[p-[Bis(2-chloroethyl)amino]phenyl]butyric acid	
Chlorambucil	gamma-(p-bis(2-chloroethyl)aminophenyl)butyric acid	
Chlorambucil	Leukersan	
Chlorambucil	gamma-[p-di(2-chloroethyl)aminophenyl]butyric acid	
Chlorambucil	.gamma.-(p-bis(2-chloroethyl)aminophenyl)butyric acid	
Chlorambucil	N,N-di-2-chloroethyl-gamma-p-aminophenylbutyric acid	
Chlorambucil	.gamma.-[p-Di(2-chloroethyl)aminophenyl]butyric acid	
Chlorambucil	chlorambucil	
Chlorambucil	Chlorobutin	
Chlorambucil	Aminochlorambucil	
Chlorambucil	Elcoril	
Chlorambucil	p-N, N-Di-(.beta.-chloroethyl)aminophenyl butyric acid	
Chlorambucil	Chlorambucil	
Chlorambucil	Leukoran	
Chlorambucil	CHLORAMBUCIL	
Chlorambucil	Leukeran	
Chlorambucil	4-[p-[bis(2-chloroethyl)amino]phenyl]butyric acid	
Chlorambucil	phenylbutyric acid nitrogen mustard	
Chlorambucil	Ambochlorin	
Chlorambucil	Benzenebutanoic acid, 4-[bis(2-chloroethyl)amino]- (9CI)	
Chlorambucil	p-(N, N-Di-2-chloroethyl)aminophenyl butyric acid	
Chlorambucil	aminochlorambucil	
Chlorambucil	Amboclorin	
Chlorambucil	Alti-chlorambucil	
Chlorambucil	Chlorbutine	
Chlorambucil	4-[bis(2-chloroethyl)amino]benzenebutanoic acid	
Chlorambucil	CB 1348	
Chlorambucil	chloroambucil	
Chlorambucil	Chloroambucil	
Epirubicin Hydrochloride	Epidoxorubicin	
Epirubicin Hydrochloride	3-Glycoloyl-1,2,3,4,6,11-hexahydro-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1-naphthacenyl-3-amino-2,3,6-trideoxy-alpha-L-arabino-hexopyranoside	
Epirubicin Hydrochloride	Pidorubicin	
