Drug	IUPHAR	DrugBank	Sorger_KinaseResourcee	BindingDB	TTD	Synonym_Deck_Size + 	Synonyms 
Saracatinib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	6	AZD0530|SARACATINIB|N-(5-Chloro-1,3-Benzodioxol-4-Yl)-7-(2-(4-Methylpiperazin-1-yl)Ethoxy)-5-((Oxan-4-yl)Oxy)Quinazolin-4-Amine|4-Quinazolinamine, N-(5-chloro-1,3-benzodioxol-4-yl)-7-[2-(4-methyl-1-piperazinyl)ethoxy]-5-[(tetrahydro-2H-pyran-4-yl)oxy]-|SRC Kinase Inhibitor AZD0530|Saracatinib|
NVP-AEW541	IUPHAR_Yes	No	No	BindingDB_Yes	No	1	AEW541|
Trastuzumab	IUPHAR_Yes	DrugBank_Yes	No	BindingDB_Yes	TTD_Yes	42	Anti-erbB2 Monoclonal Antibody|Anti-p185-HER2|SB3|Trastuzumab Biosimilar ABP 980|Trastuzumab Biosimilar PF-05280014|Anti-ERB-2|Herceptin|Trastuzumab-dkst|PF-05280014|MoAb HER2|c-erb-2 Monoclonal Antibody|Trazimera|Anti-c-erbB2 Monoclonal Antibody|Trastuzumab Biosimilar ALT02|Herzuma|trastuzumab biosimilar EG12014|Anti-erbB-2|Trastuzumab-pkrb|Trastuzumab-anns|Ontruzant|Trastuzumab-qyyp|TRASTUZUMAB|Trastuzumab Biosimilar HLX02|Anti-HER2/c-erbB2 Monoclonal Antibody|Trastuzumab Biosimilar GB221|RO0452317|Trastuzumab-dttb|ABP 980|Monoclonal Antibody HER2|Monoclonal Antibody c-erb-2|Immunoglobulin G 1 (Human-Mouse Monoclonal RhuMab HER2gamma1-Chain Antihuman p185(Sup c-erbB2) Receptor), Disulfide with Human-Mouse Monoclonal RhuMab HER2 Light Chain, Dimer|rhuMAb HER2|trastuzumab|HER2 Monoclonal Antibody|Anti-c-ERB-2|Ogivri|Herceptin Biosimilar PF-05280014|Herceptin Trastuzumab Biosimilar PF-05280014|ALT02|Kanjinti|Trastuzumab Biosimilar SB3|Trastuzumab|
Arsenic Trioxide	No	DrugBank_Yes	No	No	TTD_Yes	17	Arsenous Acid Anhydride|Trisenox|White Arsenic|Arsenic Trioxide|Arsenous Acid|Arsenic|arsenic trioxide|Arsenic (III) Oxide|arsenic|Dietary_Arsenic|Arsenous Oxide|ARSENIC TRIOXIDE|ARSENIC|As|Arsenic Sesquioxide|Dietary Arsenic|Arsenic_Trioxide|
Letrozole	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	6	letrozole|CGS 20267|Femara|LETROZOLE|4,4'-(1H-1,2,4triazol-1-ylmethylene)dibenzonitrile|Letrozole|
Ethinyl Estradiol	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	13	Ethinylestradiol|Estinyl|(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol|Orestralyn|Eticylol|Diogyn-E|Ethinyl Estradiol|Feminone|Inestra|ETHINYL ESTRADIOL|Lynoral|Diogyn E|Ethinoral|
Dexamethasone	IUPHAR_Yes	DrugBank_Yes	No	BindingDB_Yes	TTD_Yes	69	Alba-Dex|Dexapos|Auxiloson|DEXAMETHASONE|Aacidexam|Dexamecortin|Anemul mono|Loverine|Adexone|Dexacortin|Baycuten N|Fluoro-9alpha Methyl-16alpha Prednisolone|Fluorodelta|Lokalison-F|Dexa-sine|16Alpha-methyl-9alpha-fluoro-1,4-pregnadiene-11beta,17alpha,21-triol-3,20-dione|Aknichthol Dexa|Amplidermis|Hexadecadrol|Auricularum|Dexafarma|Dexameth|Dekacort|Dexa-Rhinosan|1-Dehydro-16alpha-methyl-9alpha-fluorohydrocortisone|Cortidexason|Alin|Dexacortal|Decadrol|Millicorten|Dexa-Scheroson|Decadron|9Alpha-fluoro-11beta,17alpha,21-trihydroxy-16alpha-methylpregna-1,4-diene-3,20-dione|9Alpha-fluoro-16alpha-methylprednisolone|Dexafluorene|Deltafluorene|Dinormon|Hexadrol|Deronil|Desameton|Spersadex|Mymethasone|Cortisumman|Decasone R.p.|Visumetazone|(11Beta,16alpha)-9-fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione|Dexamethasonum|Decameth|Fortecortin|16Alpha-methyl-9alpha-fluoro-delta1-hydrocortisone|Orgadrone|Alin Oftalmico|Desamethasone|Gammacorten|Decalix|Dectancyl|Dexamonozon|Dexone|Baycuten|dexamethasone|Dexamethasone|Dexa-Mamallet|9alpha-Fluoro-16alpha- methylprednisolone|Alin Depot|Dexinoral|Methylfluorprednisolone|Decacort|16Alpha-methyl-9alpha-fluoroprednisolone|Dexalocal|
Enzalutamide	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	7	ASP9785|MDV3100|Xtandi|Selective_Androgen_Receptor_Modulator_MDV3100|Benzamide, 4-(3-(4-cyano-3-(trifluoromethyl)phenyl)-5,5-dimethyl-4-oxo-2-thioxo-1-imidazolidinyl)-2-fluoro-N-methyl-|Enzalutamide|ENZALUTAMIDE|
Dubermatinib	IUPHAR_Yes	DrugBank_Yes	No	No	No	6	TP-0903|TP 0903|Dubermatinib|2-((5-Chloro-2-((4-((4-methylpiperazin-1-yl)methyl)phenyl)amino)pyrimidin-4-yl)amino)-N,N-dimethylbenzenesulfonamide|DUBERMATINIB|TP0903|
Etoposide	IUPHAR_Yes	DrugBank_Yes	No	BindingDB_Yes	TTD_Yes	18	VP-16-213|Vepesid|Etoposide Phosphate|ETOPOSIDE PHOSPHATE|etoposide phosphate|Etopophos|Etoposide|Demethyl Epipodophyllotoxin Ethylidine Glucoside|9-[(4,6-O-Ethylidene-beta-D-glucopyranosyl]oxy)-5,8,8a,9-tetrahydro-5-(4-hydroxy-3,5-dimethoxyphenyl)furo[3',4':6,7]naphtho[2,3-d]-1,3-dioxol-6(5aH)-one|EPEG|4'-Demethylepipodophyllotoxin 9-[4,6-O-ethylidene-beta-D-glucopyranoside]|ETOPOSIDE|Lastet|VP-16|Toposar|etoposide|VP 16-213|Etoposide_Phosphate|
Staurosporine	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	No	9	(9alpha,10beta,11beta,13alpha)-(+)-2,3,10,11,12,13-Hexahydro-10-methoxy-9-methyl-11-(methylamino)-9,13-epoxy-1H-9H-diindolo[1,2,3-gh:3',2',1'-lm]pyrrolo[3,4-j][1,7]benzodiazonin-1-one|AM-2282|staurosporine|CGP-39360|STAUROSPORINE|Staurosporine|8,12-Epoxy-1H,8H-2,7b,12a-triazadibenzo(a,g)cyclonona(cde)trinden-1-one, 2,3,9,10,11,12-hexahydro-9-methoxy-8-methyl-10-(methylamino)-, (8alpha,9beta,10beta,12alpha)-(+)-|Antibiotic AM 2282|Antibiotic 230|
Vemurafenib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	11	Vemurafenib|BRAF(V600E) Kinase Inhibitor RO5185426|RO 5185426|PLX4032|PLX-4032|1-propanesulfonamide, n-(3-((5-(4-chlorophenyl)-1h-pyrrolo(2,3-b)pyridin-3-yl)carbonyl)-2,4-difluorophenyl)-|RG 7204|Zelboraf|BRAF (V600E) kinase inhibitor RO5185426|RG7204|VEMURAFENIB|
SU11274	IUPHAR_Yes	No	No	No	No	1	PKI-SU1127|
BH3 Mimetic ABT-737	IUPHAR_Yes	No	KinaseResource_Yes	BindingDB_Yes	No	3	ABT-737|Benzamide, 4-(4-((4'-Chloro(1,1'-biphenyl)-2-yl)methyl)-1-piperazinyl)-n-((4-(((1r)-3-(dimethylamino)-1-((phenylthio)methyl)propyl)amino)-3-nitrophenyl)sulfonyl)-|BH3 Mimetic ABT-737|
SR9011	IUPHAR_Yes	DrugBank_Yes	No	No	No	2	SR-9011|"|
Paclitaxel	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	11	paclitaxel|5Beta,20-epoxy-1,2alpha,4,7beta,10beta,13alpha-hexahydroxytax-11-en-9-one, 4,10-Diacetate 2-Benzoate 13-Ester with (2R,3S)-N-Benzoyl-3-phenylisoserine|Taxol Konzentrat|Taxol|Paclitaxel|[2aR-[2a Alpha,4beta,4a beta,6beta,9alpha(alphaR*,betaS*),-11alpha,12alpha,12a alpha,12b alpha]]-beta-(benzoylamino)-alpha-hydroxybenzene-propanoic acid 6,12b-bis(acetyloxy)-12-(benzoyloxy)-1a,33,4,-41,5,6,9,10,11,12,12a,12b-dodecahydro-4,11-dihydroxy-41,8,-12,13-tetramethyl-5-oxo-7,11-methano-1H-cyclodeca[3,4]benz[1,2-b]oxet-9-yl Ester|Anzatax|Bristaxol|Praxel|Asotax|PACLITAXEL|
DBZ	No	No	No	No	No	2	YO-01027|Dibenzazepine|
Dasatinib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	8	Dasatinib|dasatinib|Sprycel|Dasatinib Monohydrate|BMS-354825|DASATINIB|5-Thiazolecarboxamide, N-(2-chloro-6-methylphenyl)-2-((6-(4-(2-hydroxyethyl)-1-piperazinyl)-2-methyl-4-pyrimidinyl)amino)-, Monohydrate|Dasatinib Hydrate|
JAK2 Inhibitor AZD1480	IUPHAR_Yes	No	KinaseResource_Yes	No	TTD_Yes	2	JAK2 Inhibitor AZD1480|AZD1480|
Asparaginase Erwinia chrysanthemi	No	DrugBank_Yes	No	No	No	31	ASPARAGINASE ERWINIA CHRYSANTHEMI|ASPARAGINASE|Kidrolase|Asparaginase II|Asparaginase-E.Coli|L-Asparagine Amidohydrolase|Serasa|MK-965|Leucogen|Asparaginase-Erwinia|Leunase|L-ASP|Laspar|Asparaginase Erwinia chrysanthemi|L-asparginase (Erwinia )|L-Asparagine amidohydrolase|asparaginase|L-asparaginase|Erwinase|Crisantaspasum|Colaspase|Elspar|Re-82-TAD-15|Cristantaspase|ASP-1|Paronal|L-Asnase|Lcf-ASP|L-Asparaginase|Asparaginase|Erwinaze|
PHT-427	IUPHAR_Yes	No	No	No	No	2	"4-dodecyl-N-(1,3,4-thiadiazol-2-yl)benzenesulfonamide"|PHT427|
Dactolisib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	No	TTD_Yes	5	DACTOLISIB|NVPBEZ235|BEZ235|Dactolisib|Benzeneacetonitrile, 4-(2,3-Dihydro-3-methyl-2-oxo-8-(3-quinolinyl)-1H-imidazo(4,5-c)quinolin-1-yl)-alpha,alpha-dimethyl-|
Dihydrolenperone	No	No	No	No	No	6	Dihydro-lenperone|1-Butanone, 1-(4-fluorophenyl)-4-[4-[(4-fluorophenyl)hydroxymethyl]-1-piperidinyl]-|Dihydrolenperone|DIHYDROLENPERONE|RMI 11974|1-Butanone, 1-(4-fluorophenyl)-4-[4-[(4-fluorophenyl)hydroxymethyl]-1-piperidi nyl]-|
MEK 1/2 Inhibitor FCN-159	No	No	No	No	No	5	FCN-159|MEK Inhibitor FCN-159|FCN159|FCN 159|MEK 1/2 Inhibitor FCN-159|
Ranolazine	No	DrugBank_Yes	No	No	TTD_Yes	4	RANOLAZINE|Ranexa|1-Piperazineacetamide, N-(2,6-dimethylphenyl)-4-(2-hydroxy- 3-(2-methoxyphenoxy)propyl)-|Ranolazine|
Linoleyl Carbonate-Paclitaxel	No	No	No	No	No	4	Linoleyl Carbonate-Paclitaxel|2-Linoleyl Carbonate-paclitaxel|LOC-paclitaxel|Linoleyl Carbonate-paclitaxel|
Mercaptopurine	No	DrugBank_Yes	No	BindingDB_Yes	TTD_Yes	44	Leupurin|NCI-C04886|3H-Purine-6-thiol|6-MP|6H-Purine-6-thione, 1,7-dihydro- (9CI)|Mercaptopurinum|Purine-6-thiol, Monohydrate|Purine-6-thiol, monohydrate|WR-2785|Mercaptina|Puri-Nethol|Purinethol|1,7-Dihydro-6H-purine-6-thione Monohydrate|Bw 57-323H|Mern|6-Mercaptopurine|Mercaleukin|6 MP|Mercaleukim|Purine, 6-mercapto-|Mercapurin|1,7-Dihydro-6H-purine-6-thione|6-Purinethiol|Mercapto-6-purine|Mercaptopurine|U-4748|6-Thiopurine|Azathiopurine|Leukerin|Purinethiol|7-Mercapto-1,3,4,6-tetrazaindene|6-Thioxopurine|Flocofil|Purine-6-thiol Monohydrate|MERCAPTOPURINE|Purimethol|Ismipur|mercaptopurine|Purine-6-thiol (8CI)|Alti-Mercaptopurine|6 Thiohypoxanthine|BW 57-323H|6-Mercaptopurine Monohydrate|6 Thiopurine|
Crenigacestat	No	No	No	No	No	1	LY3039478|
Vatalanib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	9	PTK787/ZK 222584|VATALANIB|N-(4-Chlorophenyl)-4-(4-pyridinylmethyl)-1-phthalazinamine|CGP-79787|PTK787|CGP 79787|Vatalanib|ZK-232934|vatalanib|
Pazopanib Hydrochloride	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	11	GW786034B|PAZOPANIB|GW786034|Pazopanib Hydrochloride|PAZOPANIB HYDROCHLORIDE|Votrient|pazopanib hydrochloride|Pazopanib_Base|5-((4-((2,3-Dimethyl-2h-Indazol-6-Yl)Methylamino)Pyrimidin-2-yl)Amino)-2-Methylbenzenesulfonamide Monohydrochloride|Pazopanib|Benzenesulfonamide, 5-((4-((2,3-dimethyl-2H-indazol-6-yl)methylamino)-2-pyrimidinyl)amino)-2-methyl-|
Nab-paclitaxel	No	No	No	No	No	13	nanoparticle paclitaxel|paclitaxel albumin-stabilized nanoparticle formulation|Albumin-Stabilized Nanoparticle Paclitaxel|Albumin-bound Paclitaxel|Nab-paclitaxel|Nanoparticle Paclitaxel|Abraxane|Paclitaxel Albumin|ABI 007|Protein-bound Paclitaxel|protein-bound paclitaxel|ABI-007|Nanoparticle Albumin-bound Paclitaxel|
Ropidoxuridine	No	DrugBank_Yes	No	No	No	6	Ropidoxuridine|5-Iodo-2-pyrimidinone 2' deoxyribonucleoside|2(1H)-Pyrimidinone, 1-(2-deoxy-beta-D-erythro-pentofuranosyl)-5-iodo-|IPdR|5-Iodo-2-pyrimidinone-2'-deoxyribose|ROPIDOXURIDINE|
AT-101	IUPHAR_Yes	DrugBank_Yes	No	BindingDB_Yes	TTD_Yes	5	AT101|gossypol|gossypol enantiomer|(R)-(-)-Gossypol;R-(-)-gossypol acetic acid|AT 101|
Palifermin	IUPHAR_Yes	DrugBank_Yes	No	No	TTD_Yes	10	palifermin|rhKGF|rhu Keratinocyte Growth Factor|Kepivance|PALIFERMIN|Recombinant_Human_Keratinocyte_Growth_Factor|Growth Factor, Recombinant Human Keratinocyte|Palifermin|Recombinant Human Keratinocyte Growth Factor|Keratinocyte Growth Factor, Recombinant Human|
R406	No	No	KinaseResource_Yes	No	No	3	"N_-(2,2-Dimethyl-3-oxo-4H-pyrid[1,4]oxazin-6-yl)-5-fluoro-N_-(3,4,5-trimethoxyphenyl)-2,4-pyrimidinediamine"|Syk Inhibitor VI|"6-(5-Fluoro-2-(3,4,5-trimethoxyphenylamino)pyrimidin-4-ylamino)-2,2-dimethyl-2H-pyrido[3,2-b][1,4]oxazin-3(4H)-one"|
Olaparib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	No	TTD_Yes	11	OLAPARIB|AZD-2281|olaparib|PARP_Inhibitor_AZD2281|Olaparib|AZD2281|KU-0059436|PARP Inhibitor AZD2281|Lynparza|PARP inhibitor AZD2281|AZD 2281|
Serabelisib	No	DrugBank_Yes	No	No	TTD_Yes	8	Serabelisib|TAK 117|INK1117|TAK-117|MLN1117|(6-(2-Amino-5-benzoxazolyl)imidazo(1,2-a)pyridin-3-yl)-4-morpholinylmethanone|MLN-1117|SERABELISIB|
Tandutinib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	7	tandutinib|MLN 518|Tandutinib|MLN518|CT53518|1-Piperazinecarboxamide, 4-(6-Methoxy-7-(3-(1-piperidinyl)propoxy)-4-quinazolinyl)-N-(4-(1-methylethoxy)phenyl)-|TANDUTINIB|
Chaparrinone	No	No	No	No	No	2	Chaparrinone|Picras-3-ene-2,16-dione, 11,20-epoxy-1,11,12-trihydroxy-, (1beta,11beta,12alpha)-|
Doramapimod	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	1	BIRB 796|
Vinorelbine Tartrate	No	DrugBank_Yes	No	No	TTD_Yes	19	Dihydroxydeoxynorvinkaleukoblastine|Biovelbin|VINORELBINE|VINORELBINE TARTRATE|Navelbine|Navelbine ditartrate|vinorelbine|Vinorelbine Ditartrate|Vinorelbine Tartrate|vinorelbine tartrate|KW-2307|5'-Nor-Anhydrovinblastine|3',4'-Didehydro-4'-deoxy-C'-norvincaleukoblastine|Vinorelbine_Ditartrate|NVB|nor-5'-Anhydrovinblastine|Vinorelbine|Eunades|Navelbine Ditartrate|
Onalespib	No	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	6	(2,4-Dihydroxy-5-isopropylphenyl)-(5-(4-methylpiperazin-1-ylmethyl)-1,3-dihydroisoindol-2-yl)methanone|ONALESPIB|AT-13387|AT13387|Onalespib|AT 13387|
Alvocidib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	7	ALVOCIDIB|Flavopiridol|Alvocidib Freebase|(-)-cis-5,7-Dihydroxy-2-(2-chlorophenyl)-8-(4-(3-hydroxy-1-methyl)piperidinyl)-4H-1-benzopyran-4-one|alvocidib|flavopiridol|Alvocidib|
Glesatinib	No	DrugBank_Yes	No	No	TTD_Yes	6	MG90265|MGCD265|GLESATINIB|TKI MGCD265|MG90265X|Glesatinib|
Trioxifene	No	No	No	No	No	3	Trioxifene|TRIOXIFENE|(3,4-Dihydro-2-(4-methoxyphenyl)-1-naphthalenyl)(4-(2-(1-pyrrolidinyl)ethoxy)phenyl) Methanone|
MTF-1 Inhibitor APTO-253 HCl	No	No	No	No	No	5	LT-253 HCl|LOR-253 HCl|APTO-253 HCl|MTF-1 Inhibitor APTO-253 HCl|2-(6-Fluoro-2-methyl-1H-indol-3-yl)-1H-imidazo[4,5-f][1,10]phenanthroline Hydrochloride|
Raloxifene Hydrochloride	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	18	Raloxifene HCl|RALOXIFENE|(6-Hydroxy-2-(4-hydroxyphenyl)benzo(b)thien-3-yl)(4-(2-(1-piperidinyl)ethoxy)phenyl)methanone Hydrochloride|Evista|Optruma|Raloxifene Hydrochloride|raloxifene|Raloxifene hydrochloride|Raloxifene.HCl|LY 139481|Keoxifene|Raloxifene_Hydrochloride|Keoxifene Hydrochloride|RALOXIFENE HYDROCHLORIDE|Raloxifene|LY-156758|[6-Hydroxy-2-(4-hydroxyphenyl)-benzo[b]thien-3-yl][4-[2-(1-piperidinyl)ethoxy]phenyl]methanone|raloxifene hydrochloride|
Durvalumab	IUPHAR_Yes	DrugBank_Yes	No	No	TTD_Yes	6	Imfinzi|MEDI-4736|Durvalumab|MEDI4736|DURVALUMAB|Immunoglobulin G1, Anti-(Human Protein B7-H1) (Human Monoclonal MEDI4736 Heavy Chain), Disulfide with Human Monoclonal MEDI4736 Kappa-chain, Dimer|
Degarelix	IUPHAR_Yes	DrugBank_Yes	No	BindingDB_Yes	No	6	FE200486|degarelix|DEGARELIX|Firmagon|Degarelix|N-acetyl-3-(naphtalen-2-yl)-D-alanyl-4-chloro-D-phenylalanyl-3-(pyridin-3-yl)-D-alanyl-L-seryl-4-((((4S)-2,6-dioxohexahydropyrimidin-4-yl)carbonyl)amino)-L-phenylalanyl-4-(carbamoylamino)-D-phenylalanyl-L-leucyl-N6-(1-methylethyl)-L-lysyl-L-prolyl-D-alaninamide|
Palbociclib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	10	PD-332991|6-Acetyl-8-cyclopentyl-5-methyl-2-((5-(piperazin-1-yl)pyridin-2-yl)amino)-8h-pyrido(2,3-d)pyrimidin-7-one|PALBOCICLIB|PD 991|Palbociclib|PD-0332991|Pyrido(2,3-d)pyrimidin-7(8H)-one, 6-Acetyl-8-cyclopentyl-5-methyl-2-((5-(1-piperazinyl)-2-pyridinyl)amino)-|PD 332991|PD 0332991|Ibrance|
Gemtuzumab Ozogamicin	IUPHAR_Yes	DrugBank_Yes	No	No	TTD_Yes	11	CMA-676|GEMTUZUMAB OZOGAMICIN|CDP-771|Gemtuzumab_Ozogamicin|gemtuzumab|Mylotarg|hP67.6-Calicheamicin|Gemtuzumab Ozogamicin|Calicheamicin-Conjugated Humanized Anti-CD33 Monoclonal Antibody|WAY-CMA-676|gemtuzumab ozogamicin|
Leuprolide Acetate	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	BindingDB_Yes	TTD_Yes	39	Enantone|leuprolide acetate|Leuplin|Lucrin Depot|A-43818|Trenantone|Lupron Depot|Lupron Depot-3 Month|Leuprolide_Base|Abbott-43818|6-D-Leucine-9-(N-ethyl-L-prolinamide)-10-deglycinamide Luteinizing Hormone-Releasing Factor (Pig) Monoacetate|Enanton|Prostap|TAP-144|Ginecrin|6-D-Leucine-9-(N-ethyl-L-prolinamide)-1-9-luteinizing Hormone-releasing Factor (Pig)|Leuprolide Acetate|Eligard|Lupron|Enantone-Gyn|Procren|Leuprorelin|Procrin|Viadur|Leuprolide|6-D-Leucine-9-(N-ethyl-L-prolinamide)-1-9-luteinizing Hormone-releasing Factor (Pig) Monoacetate|LEUPROLIDE ACETATE|Carcinil|LEUPROLIDE|Lupron Depot-Ped|Lucrin|Abbott 43818|Leuprorelin Acetate|Lupron Depot-4 Month|Uno-Enantone|LEUP|leuprolide|6-D-Leucine-9-(N-ethyl-L-prolinamide)-10-deglycinamide Luteinizing Hormone-Releasing Factor (Pig)|Depo-Eligard|
Cold Contaminant-free Iobenguane I-131	No	No	No	No	No	6	Cold Contaminant-free I 131-MIBG|Ultratrace MIBG|Azedra|Cold Contaminant-free Iobenguane I 131|Ultratrace Iodine I 131 Metaiodobenzylguanidine|Cold Contaminant-free Iobenguane I-131|
Menatetrenone	No	DrugBank_Yes	No	BindingDB_Yes	No	7	Menaquinone-4|2-Methyl-3-trans-tetraprenyl-1,4-naphthoquinone|Menaquinone K4|E0167|Vitamin MK 4|Menatetrenone|MENATETRENONE|
Ifosfamide	No	DrugBank_Yes	No	No	TTD_Yes	33	Ifosfamidum|Tronoxal|Asta Z-4942|Iso-Endoxan|MJF 9325|Holoxane|IFO-Cell|Asta Z 4942|Ifex|ifosfamide|IFO|3-(2-chloroethyl)-2-[(2-chloroethyl)amino]tetrahydro-2H-1,3,2-oxazaphosphorin-2-oxide|IFX|Iphosphamide|Cyfos|Iphosphamid|Ifolem|Ifosfamide|Seromida|Z 4942|Holoxan|Ifomide|IFOSFAMIDE|MJF-9325|Ifomida|N,3-bis(2-chloroethyl)tetrahydro-2H-1,3,2-oxazaphosphorin-2-amine 2-oxide|Ifoxan|Z-4942|Isophosphamide|2-oxo-N,3-bis-(2-chloroethyl) tetrahydro-2H-1,3,2-oxazaphosphorin- 2-amine|Mitoxana|Isoendoxan|Naxamide|
Pan-AKT Kinase Inhibitor GSK690693	IUPHAR_Yes	No	KinaseResource_Yes	BindingDB_Yes	No	2	Pan-AKT Kinase Inhibitor GSK690693|GSK690693|
GW-2580	IUPHAR_Yes	No	KinaseResource_Yes	BindingDB_Yes	No	2	GW 2580|GW2580|
Entospletinib	IUPHAR_Yes	DrugBank_Yes	KinaseResource_Yes	No	TTD_Yes	7	ENTO|ENTOSPLETINIB|Entospletinib|6-(1H-Indazol-6-yl)-N-(4-(morpholin-4-yl)phenyl)imidazo(1,2-a)pyrazin-8-amine|GS 9973|Imidazo(1,2-a)pyrazin-8-amine, 6-(1H-indazol-6-yl)-N-(4-(4-morpholinyl)phenyl)-|GS-9973|
Dactinomycin	No	DrugBank_Yes	No	BindingDB_Yes	TTD_Yes	18	Actinomycin D|Lyovac cosmegen|dactinomycin|2-bis[Cyclo(N-methyl-L-valyl-sarcosyl-L-prolyl-D-valyl-L-threonyl)]-1,9 dimethyl-4,6 3H-phenoxazinone-3|Dactinomycin|Lyovac Cosmegen|ACTINOMYCIN D|Actinomycin-[thr-val-pro-sar-meval]|DACT|Dactinomycine|Actinomycin C1|Meractinomycin|Actinomycin X 1|Actinomycin IV|Actinomycin I1|Actinomycin A IV|Cosmegen|DACTINOMYCIN|
Radium 223 Dichloride	No	DrugBank_Yes	No	No	No	11	Radium Ra 223 Dichloride|Xofigo|Alpharadin|BAY88-8223|RADIUM CHLORIDE RA-223|Radium-223|Radium-223 Dichloride|Radium 223 Dichloride|BAY 88-8223|Radium|Ra|
Tyrosine Kinase Inhibitor SU5402	No	DrugBank_Yes	No	No	No	3	SU 5402|Tyrosine Kinase Inhibitor SU5402|3-[(3-(2-carboxyethyl)-4-methylpyrrol-2-yl)methylene]-2-indolinone|
Torkinib	IUPHAR_Yes	No	KinaseResource_Yes	BindingDB_Yes	No	75	"2-[4-Amino-1-(1-methylethyl)-1H-pyrazolo-[3,4-d]pyrimidin-3-yl]-1H-indol-5-ol"|SCHEMBL21381567|MFCD12196869|NCGC00387863-04|BCP02319|GTPL5704|QCR-154|ZINC36056301|Tox21_113072_1|Q27088430|AC-28392|AKOS026750472|BRD-K87112191-001-02-9|NCGC00188346-02|Torkinib (PP242)|W-5524|SCHEMBL298922|BDBM36409|CAS-1092351-67-1|DSSTox_GSID_48685|AS-16317|CHEBI:95099|"1H-Indol-5-ol, 2-(4-amino-1-(1-methylethyl)-1H-pyrazolo(3,4-d)pyrimidin-3-yl)-"|"2-[4-Amino-1-(Propan-2-Yl)-1h-Pyrazolo[3,4-D]pyrimidin-3-Yl]-1h-Indol-5-Ol"|ZINC139045302|UNII-H5669VNZ7V|HY-10474|SYN1181|X7434|DSSTox_RID_82881|SW220211-1|SMR004702953|DTXSID5048685|"(2Z)-2-(4-amino-1-propan-2-yl-2H-pyrazolo[3,4-d]pyrimidin-3-ylidene)indol-5-ol"|AK546456|CID24905147|EX-7207|H5669VNZ7V|s2218|PP242 /PP-242|CS-0247|Q27166867|P2X|"2-(4-amino-1-isopropyl-1H-pyrazolo[3,4-d]pyrimidin-3-yl)-1H-indol-5-ol, PP242"|PP242|CHEMBL3988893|"2-(4-amino-1-propan-2-yl-2H-pyrazolo[3,4-d]pyrimidin-3-ylidene)indol-5-ol"|FT-0696781|"(2E)-2-(4-amino-1-propan-2-yl-2H-pyrazolo[3,4-d]pyrimidin-3-ylidene)indol-5-ol"|1092351-67-1|DSSTox_CID_28611|MLS006011184|AKOS024458060|AOB6296|PubChem22482|"2-[4-Amino-1-(1-methylethyl)-1H-pyrazolo[3,4-d]pyrimidin-3-yl]-1H-indol-5-ol"|HMS3655B12|Tox21_113072|ZINC110786306|EX-A034|"2-(4-Amino-1-isopropyl-1H-pyrazolo(3,4-d)pyrimidin-3-yl)-1H-indol-5-ol"|TORKinib|ABP000904|PP-242|J-507663|"2-(4-amino-1-propan-2-yl-2H-pyrazolo[3,4-d]pyrimidin-3-ylidene)-5-indolol"|A25462|PP 242|"2-(4-amino-1-isopropyl-1H-pyrazolo[3,4-d]pyrimidin-3-yl)-1H-indol-5-ol"|CHEMBL1241674|cc-25|"2-(4-amino-1-isopropyl-1H-pyrazolo[3,4-d]pyrimidin-3-yl)-1H-indole-5-ol"|AB0033726|CHEBI:90679|CCG-267563|
