Drug	Synonyms
Gemcitabine Hydrochloride	GEMCITABINE HYDROCHLORIDE|Gemcitabine HCI|LY-188011|dFdCyd|2'Deoxy-2',2'-Difluorocytidine, Hydrochloride|Gemcitabine Hydrochloride|Difluorodeoxycytidine Hydrochloride|FF10832|gemcitabine hydrochloride|FF 10832|FF-10832|1-(2-Oxo-4-amino-1,2-dihydropyrimidin-1-yl)-2-deoxy-2,2-difluororibose, hydrochloride|Gemzar|LY188011|
Sustained-release Lipid Inhaled Cisplatin	Sustained-release Lipid Inhalation Targeting Cisplatin|Sustained-release Lipid Inhaled Cisplatin|SLIT Cisplatin|SR Inhaled Lipid Cisplatin|
Ponatinib Hydrochloride	Iclusig|Benzamide, 3-(2-Imidazo(1,2-B)Pyridazin-3-Ylethynyl)-4-Methyl-N-(4-((4-Methyl-1- Piperazinyl)Methyl)-3-(Trifluoromethyl)Phenyl)-, Hydrochloride (1:1)|AP24534 HCl|Ponatinib Hydrochloride|PONATINIB HYDROCHLORIDE|
Trametinib	Mekinist|TRAMETINIB|JTP-74057|MEK Inhibitor GSK1120212|N-(3-{3-cyclopropyl-5-[(2-fluoro-4-iodophenyl)amino]-6,8-dimethyl-2,4,7-trioxo-3,4,6,7-tetrahydropyrido[4,3-d]pyrimidin-1(2H)-yl}phenyl)acetamide|GSK1120212|Trametinib|
Vemurafenib	Vemurafenib|BRAF(V600E) Kinase Inhibitor RO5185426|RO 5185426|PLX4032|PLX-4032|1-propanesulfonamide, n-(3-((5-(4-chlorophenyl)-1h-pyrrolo(2,3-b)pyridin-3-yl)carbonyl)-2,4-difluorophenyl)-|RG 7204|Zelboraf|BRAF (V600E) kinase inhibitor RO5185426|RG7204|VEMURAFENIB|
Irinotecan/P-glycoprotein Inhibitor HM30181AK Combination Tablet	Irinotecan/P-glycoprotein Inhibitor HM30181AK Combination Tablet|Oratecan|
Liposomal NDDP	Liposomal-Cisplatin Analogue|Liposomal NDDP|Liposomal-Entrapped Cis-Bis-Neodecanoate-trans-R,R-1,2-Diaminocyclohexane Platinum (II)|Liposomal Neodecanoic Acid Platinum Complex|Aroplatin|L-NDDP|
Cabozantinib	CABOZANTINIB|Cabozantinib|1,1-Cyclopropanedicarboxamide, N'-[4-[(6,7-dimethoxy-4-quinolinyl)oxy]phenyl]-N-(4- fluorophenyl)-|N-{4-[(6,7-dimethoxyquinolin-4-yl)oxy]phenyl}-N'-(4-fluorophenyl)cyclopropane-1,1- dicarboxamide|
Afatinib	BIBW 2992|Afatinib|BIBW2992|AFATINIB|(2e)-N-(4-(3-Chloro-4-Fluoroanilino)-7-(((3s)-Oxolan-3-yl)Oxy)Quinoxazolin-6-yl)-4-(Dimethylamino)But-2-Enamide|
Nivolumab	NIVO|Nivolumab|ONO-4538|Opdivo|BMS-936558|NIVOLUMAB|MDX-1106|
Autologous HNSCC DNA-transfected Semi-allogeneic Fibroblasts MRC-5 Vaccine	Autologous HNSCC DNA-transfected Semi-allogeneic Fibroblasts MRC-5 Vaccine|
Alpelisib	Piqray|BYL719|ALPELISIB|Alpelisib|Phosphoinositide 3-kinase Inhibitor BYL719|
Autologous Bladder Cell Carcinoma RNAs/CD40L RNA Electroporated Autologous Matured Dendritic Cells	Bladder Cell Carcinoma RNAs/CD40L RNA-transfected Autologous Dendritic Cells|Autologous Bladder Cell Carcinoma RNAs/CD40L RNA Electroporated Autologous Matured Dendritic Cells|AGS-003-BLD|Autologous DCs Electroporated with Autologous Tumor-derived IVT RNAs/CD40L IVT RNA|Autologous DCs Electroporated with Autologous Tumor-derived RNAs/CD40L RNA|
Vismodegib	GDC-0449|2-chloro-N-[4-chloro-3-(pyridin-2-yl)phenyl]-4-(methylsulfonyl)benzamide|VISMODEGIB|Erivedge|Hedgehog Antagonist GDC-0449|Vismodegib|
Daniquidone	DANIQUIDONE|8-Aminoisoindolo(1,2-b)quinazolin-12(10H)-one|Batracylin|Bay H 2049|Daniquidone|batracylin|
Autologous Anti-BCMA-CAR-mRNA-transfected CD8+ T-lymphocytes	Autologous Anti-BCMA-CAR-mRNA-transfected CD8-positive T-cells|Autologous Anti-BCMA-CAR-mRNA-transfected CD8+ T-cells|Descartes-08|Autologous Anti-BCMA-CAR-mRNA-transfected CD8+ T-lymphocytes|Anti-BCMA-CAR-mRNA-transfected Autologous CD8+ T-cells|
Autologous NSCLC DNA-Transfected Semi-Allogeneic Fibroblasts MRC-5 Vaccine	Autologous NSCLC DNA-Transfected Semi-Allogeneic Fibroblasts MRC-5 Vaccine|
Sacituzumab Govitecan	Sacituzumab Govitecan-hziy|Sacituzumab Govitecan|IMMU-132|RS7-SN38|hRS7-SN38 Antibody Drug Conjugate|SACITUZUMAB GOVITECAN|Trodelvy|
Copanlisib	BAY 80-6946|Copanlisib|PI3K Inhibitor BAY 80-6946|COPANLISIB|
Capecitabine	CAPECITABINE|Xeloda|capecitabine|Capecitabine|5'-Deoxy-5-fluoro-N-[(pentyloxy)carbonyl]-cytidine|Ro 09-1978/000|
Nanoparticle-based Paclitaxel Suspension	Nanoparticle-based Paclitaxel Suspension|Nanotax|
Trastuzumab-TLR 7/8 Agonist BDC-1001	BDC-1001|Trastuzumab-TLR 7/8 Agonist BDC-1001|ISAC BDC-1001|Immune Stimulating Antibody Conjugate BDC-1001|BDC1001|BDC 1001|
Gemcitabine-Releasing Intravesical System	TAR-200|GemRIS|Gemcitabine-Releasing Intravesical System|TAR 200|
Paclitaxel Vitamin E-Based Emulsion	Tocosol|S-8184|Paclitaxel Vitamin E-Based Emulsion|Paclitaxel Injectable Emulsion|PIE|
Enzalutamide	ASP9785|MDV3100|Xtandi|Benzamide, 4-(3-(4-cyano-3-(trifluoromethyl)phenyl)-5,5-dimethyl-4-oxo-2-thioxo-1-imidazolidinyl)-2-fluoro-N-methyl-|Enzalutamide|ENZALUTAMIDE|
Nab-paclitaxel/Rituximab-coated Nanoparticle AR160	Abraxane coated with Rituximab|AR160|Abraxane/Rituxan 160 Complex|Nab-paclitaxel/Rituximab-coated Nanoparticle AR160|Abraxane Coated with Rituximab 160nm Nanoparticle|
Paclitaxel-Loaded Polymeric Micelle	Genexol PM|Cynviloq TM|IG-001|Paclitaxel-Loaded Polymeric Micelle|paclitaxel-loaded polymeric micelle|
Cabazitaxel	Jevtana|1-hydroxy-7beta,10beta-dimethoxy-9-oxo-5beta,20-epoxytax-11-ene-2alpha,4,13alpha-triyl 4-acetate 2-benzoate 13-[(2R,3S)-3-{[(tertbutoxy)carbonyl]amino}-2-hydroxy-3-phenylpropanoate]|taxoid XRP6258|CABAZITAXEL|Taxoid XRP6258|cabazitaxel|XRP-6258|RPR-116258A|Cabazitaxel|
Alectinib	AF802|Alectinib|5H-benzo(b)carbazole-3-carbonitrile, 9-Ethyl-6,11-dihydro-6,6-dimethyl-8-(4-(4-morpholinyl)-1-piperidinyl)-11-oxo-|ALECTINIB|AF-802|Alecensa|CH5424802|RG7853|RO5424802|
Ruxolitinib	Ruxolitinib|Oral JAK Inhibitor INCB18424|INCB18424|(3R)-3-cyclopentyl-3-(4-(7h-pyrrolo(2,3-d)pyrimidin-4-yl)pyrazol-1-yl)propanenitrile|INCB-18424|Jakafi|RUXOLITINIB|
PEOX-based Polymer Encapsulated Paclitaxel FID-007	FID007|Nanoencapsulated Paclitaxel FID-007|FID-007|PEOX-based Polymer Encapsulated Paclitaxel FID-007|FID 007|Paclitaxel in Polyethyloxazoline Polymer|
Paclitaxel	paclitaxel|5Beta,20-epoxy-1,2alpha,4,7beta,10beta,13alpha-hexahydroxytax-11-en-9-one, 4,10-Diacetate 2-Benzoate 13-Ester with (2R,3S)-N-Benzoyl-3-phenylisoserine|Taxol Konzentrat|Taxol|Paclitaxel|[2aR-[2a Alpha,4beta,4a beta,6beta,9alpha(alphaR*,betaS*),-11alpha,12alpha,12a alpha,12b alpha]]-beta-(benzoylamino)-alpha-hydroxybenzene-propanoic acid 6,12b-bis(acetyloxy)-12-(benzoyloxy)-1a,33,4,-41,5,6,9,10,11,12,12a,12b-dodecahydro-4,11-dihydroxy-41,8,-12,13-tetramethyl-5-oxo-7,11-methano-1H-cyclodeca[3,4]benz[1,2-b]oxet-9-yl Ester|Anzatax|Bristaxol|Praxel|Asotax|PACLITAXEL|
Pegylated Paclitaxel	Pegylated Paclitaxel|PEG Paclitaxel|
hTERT/Survivin/Melanoma Tumor Cell-Derived mRNA-Transfected Dendritic Cell Vaccine	hTERT/Survivin/Melanoma Tumor Cell-Derived mRNA-Transfected Dendritic Cell Vaccine|
Ruxolitinib Phosphate	1H-Pyrazole-1-propanenitrile, beta-cyclopentyl-4-(7H-pyrrolo(2,3-d)pyrimidin-4-yl)-,(betaR)-, phosphate (1:1)|RUXOLITINIB PHOSPHATE|Ruxolitinib Phosphate|(3R)-3-cyclopentyl-3-(4-(7h-pyrrolo(2,3-d)pyrimidin-4-yl)pyrazol-1-yl)propanenitrile Phosphate (1:1)|INCB-18424 Phosphate|Jakafi|
Paclitaxel PPE Microspheres	Paclitaxel Biopolymer Formulation|Paclimer Microspheres|Paclimer Microspheres (Polilactofate/Paclitaxel)|Paclitaxel PPE Microspheres|
Idelalisib	Zydelig|CAL-101|GS 1101|IDELALISIB|Phosphoinositide-3 Kinase Delta Inhibitor CAL-101|Idelalisib|5-Fluoro-3-phenyl-2-((S)-1-(9H-purin-6-ylamino)-propyl)-3H- quinazolin-4-one|GS-1101|
Aerosol Gemcitabine	Aerosol Gemcitabine|Aerosolized GCB|Aerosolized Gemcitabine|
GITRL RNA-transfected Autologous Dendritic Cell Vaccine	GITRL RNA-transfected Autologous Dendritic Cell Vaccine|GITRL RNA-transfected Autologous DC|GITRL RNA DC|
MALT1 Inhibitor JNJ-67856633	JNJ-67856633|MALT1 Inhibitor JNJ-67856633|JNJ 67856633|JNJ67856633|Mucosa-associated Lymphoid Tissue Lymphoma Translocation Protein 1 Inhibitor JNJ-67856633|
Navitoclax	BcI-2 Family Protein Inhibitor ABT-263|navitoclax|Navitoclax|A-855071.0|ABT-263|NAVITOCLAX|
Trastuzumab Emtansine	ADO-TRASTUZUMAB EMTANSINE|Trastuzumab Emtansine|Immunoglobulin G1, Anti-(Human p185neu Receptor) (Human-Mouse Monoclonal RhuMab HER2 Gamma1-Chain), Disulfide with Human-Mouse Monoclonal RhuMab HER2 Light Chain, Dimer, Tetraamide with N2'-(3-((1-((4-carboxycyclohexyl)methyl)-2,5-dioxo-3-pyrrolidinyl)thio)-1-oxopropyl)-N2'-deacetylMaytansine|Trastuzumab-DM1|ADO-Trastuzumab Emtansine|Kadcyla|Trastuzumab-MCC-DM1 Immunoconjugate|Ado Trastuzumab Emtansine|Trastuzumab-MCC-DM1 Antibody-Drug Conjugate|RO5304020|T-DM1|PRO132365|Trastuzumab-MCC-DM1|
Anastrozole	Anastrazole|Arimidex|Anastrozole|Alpha,alpha,alpha', alpha'-tetramethyl-5-(1H-1,2,4-triazol-1-ylmethyl)-1,3-benzenediacetonitrile|ZD-1033|2,2'-[5-(1H-1,2,4-Triazol-1-ylmethyl)-1,3-phenylene]di(2-methylpropionitrile)|ICI D1033|anastrozole|ICI-D1033|ANASTROZOLE|
Dabrafenib	DABRAFENIB|GSK-2118436|GSK-2118436A|BRAF Inhibitor GSK2118436|Dabrafenib|GSK2118436|Benzenesulfonamide, N-(3-(5-(2-amino-4-pyrimidinyl)-2-(1,1-dimethylethyl)-4-thiazolyl)-2-fluorophenyl)-2,6-difluoro-|
NCIt Preferred Name	Synonyms|
Abemaciclib Mesylate	LY-2835219 methanesulfonate|ABEMACICLIB MESYLATE|LY-2835219 Methanesulfonate|Abemaciclib Mesylate|
Cisplatin	Cisplatyl|Cis-platinum|Cisplatina|Platosin|Plastistil|Platiblastin|Platinol|Cis-diammine-dichloroplatinum|Cis-diamminedichloro Platinum (II)|Citoplatino|Placis|Cismaplat|Platiblastin-S|Platinum, Diaminedichloro-, cis- (8CI)|Platistin|Neoplatin|Platinol-AQ VHA Plus|DDP|Peyrone's Salt|Platinum Diamminodichloride|CISPLATIN|Platinum|Lederplatin|Briplatin|Platinol- AQ|Abiplatin|cisplatin|Platamine|(SP-4-2)-Diamminedichloroplatinum|Metaplatin|Blastolem|Cysplatyna|Platinoxan|Cis-platinum II Diamine Dichloride|Cisplatin|Cisplatinum|Cis-diamminedichloridoplatinum|CDDP|Citosin|Cis-platinum II|Cis-platinous Diamine Dichloride|Platinol-AQ|Peyrone's Chloride|Cis-dichloroammine Platinum (II)|Platiran|Cis-diamminedichloroplatinum|Platinex|
Nab-paclitaxel	nanoparticle paclitaxel|paclitaxel albumin-stabilized nanoparticle formulation|Albumin-Stabilized Nanoparticle Paclitaxel|Albumin-bound Paclitaxel|Nab-paclitaxel|Nanoparticle Paclitaxel|Abraxane|Paclitaxel Albumin|ABI 007|Protein-bound Paclitaxel|protein-bound paclitaxel|ABI-007|Nanoparticle Albumin-bound Paclitaxel|
Gemcitabine Elaidate	Gemcitabine 5'-Elaidic Acid Ester|GEMCITABINE ELAIDATE|CP-4126|Gemcitabine Elaidate|
Racemetyrosine/Methoxsalen/Phenytoin/Sirolimus SM-88	SM-88 Used with Methoxsalen/Phenytoin/Sirolimus|SM-88 Used with MPS|SM-88|SM-88/Methoxsalen/Phenytoin/Sirolimus|Racemetyrosine/Methoxsalen/Phenytoin/Sirolimus Combination SM88|Tyrosine Isomers/Phenytoin/Methoxsalen/Sirolimus|Racemetyrosine/Methoxsalen/Phenytoin/Sirolimus SM-88|
Autologous CCR4-CD30CAR-CD28-CD3zeta-expressing T-Lymphocytes	Anti-CD30-CAR/CD28z-CCR4 Retroviral Vector-transduced Autologous T-Cells|SFG.CCR4-CAR.CD30 Autologous T-lymphocytes|Autologous CCR4-CD30CAR-CD28-CD3zeta-expressing T-Lymphocytes|ATLs Co-expressing CD30-CARCD28zeta and CCR4|ATLCAR.CD30.CCR4 Cells|Autologous CCR4-CAR-CD19-CD28-zeta-transduced T-lymphocytes|CCR4-CAR-CD30-28zeta-specific Autologous T-cells|ATLCAR.CD30-CD28zeta-CCR4 Cells|
Vorinostat	SAHA|N-Hydroxy-N'-phenyloctanediamide|Suberanilohydroxamic Acid|vorinostat|L-001079038|Vorinostat|suberoylanilide hydroxamic acid|MSK-390|Suberoylanilide Hydroxamic Acid|Zolinza|VORINOSTAT|
PGLA/PEG Copolymer-Based Paclitaxel	PGLA/PEG Copolymer-Based Paclitaxel|OncoGel|
Irinotecan Sucrosofate	MM-398|Irinotecan Sucrosofate|Nanoliposomal Irinotecan|Nanoparticle Liposome Formulation of Irinotecan|nal-IRI|PEP02|Irinotecan Liposome|Onivyde|IRINOTECAN SUCROSOFATE|
Sunitinib Malate	Sutent|sunitinib|Sunitinib Malate|SUNITINIB MALATE|sunitinib malate|SU011248|SU11248|Butanedioic acid, hydroxy-, (2S)-, compd. with N-(2-(diethylamino)ethyl)-5-((Z)-(5-fluoro-1,2-dihydro-2-oxo-3H-indol-3-ylidene)methyl)-2,4-dimethyl-1H-pyrrole-3-carboxamide (1:1)|
Entrectinib	ENTRECTINIB|RXDX-101|N-(5-(3,5-Difluorobenzyl)-1H-indazol-3-yl)-4-(4-methylpiperazin-1yl)-2-(tetrahydro-2H-pyran-4-ylamino)benzamide|RXDX101|Entrectinib|RXDX 101|Rozlytrek|
Paclitaxel Polymeric Micelle Formulation NANT-008	Genexol-PM|Nant-paclitaxel|Cynviloq|Micellar Nanoparticle-encapsulated NANT-008|NANT 008|Paclitaxel-loaded Polymeric Micelle NANT-008|Paclitaxel Polymeric Micelle Formulation NANT-008|NANT-008|NANT008|IG-001|Paclitaxel-loaded Micellar Diblock Copolymer NANT-008|
Bicalutamide	ICI 176334|(+/-)-N-[4-Cyano-3-(trifluoromethyl)phenyl]-3-[(4-fluorophenyl)sulfonyl]-2-hydroxy-2-methylpropanamide|ICI 176,334|Bicalutamide|4'-Cyano-alpha,alpha,alpha-trifuloro-3-[(p-fluorophenyl)sulfonyl]-2-methyl-m-lactotoluidide|4-Cyano-3-trifluoromethyl-N-(3-p-fluorophenylsulfonyl-2-hydroxy-2-methylpropionyl)aniline|Casodex|N-[4-Cyano-3-(trifluoromethyl)phenyl]3-3[(4-fluorophenyl)sulfonyl]-2-hydroxy-2-methyl-propanamide|BICALUTAMIDE|Cosudex|bicalutamide|
Lyso-Thermosensitive Liposome Doxorubicin	Heat-Activated Liposomal Doxorubicin Hydrochloride|Lyso-Thermosensitive Liposome Doxorubicin|ThermoDox|Temperature Sensitive Liposome Encapsulated Doxorubicin|
Carbon C 14 Eribulin Acetate	14C-Eribulin Acetate|Carbon C 14 Eribulin Acetate|
Glutathione Pegylated Liposomal Doxorubicin Hydrochloride Formulation 2B3-101	2B3-101|Glutathione Pegylated Liposomal Doxorubicin Hydrochloride Formulation 2B3-101|
Autologous CD30CAR-CD28-CD3zeta-expressing T-Lymphocytes	ATLCAR.CD30-CD28zeta Cells|CAR-CD30-28zeta-specific Autologous T-cells|Anti-CD30-CAR/CD28z Retroviral Vector-transduced Autologous T-Cells|Autologous CAR-CD19-CD28-zeta-transduced T-lymphocytes|ATLCAR.CD30 Cells|Autologous CD30CAR-CD28-CD3zeta-expressing T-Lymphocytes|SFG.CAR.CD30 Autologous T-lymphocytes|ATL-expressing CD30-CAR-CD28zeta|
Dabrafenib Mesylate	GSK2118436B|DABRAFENIB MESYLATE|Tafinlar|GSK2118436 Methane Sulfonate Salt|Dabrafenib Methanesulfonate|Dabrafenib Mesylate|
Darolutamide	Darolutamide|DAROLUTAMIDE|BAY1841788|ODM-201|Antiandrogen ODM-201|ODM 201|BAY 1841788|BAY-1841788|
Albumin-binding Cisplatin Prodrug BTP-114	Albumin-binding Cisplatin Prodrug BTP-114|Prodrug BTP 114|Albumin-conjugating Platinum-prodrug BTP-114|Cisplatin/Maleimide-based Complex BTP-114|BTP 114|BTP-114|Platinum-Prodrug BTP-114|Cisplatin Prodrug BTP-114|
Trastuzumab Duocarmazine	SYD985|Trastuzumab Duocarmazine|Antibody-drug Conjugate SYD985|vic-Trastuzumab Duocarmazine|ADC SYD985|TRASTUZUMAB DUOCARMAZINE|Trastuzumab-drug Conjugate SYD985|Trastuzumab VC-seco-DUBA|
Durvalumab	Imfinzi|MEDI-4736|Durvalumab|MEDI4736|DURVALUMAB|Immunoglobulin G1, Anti-(Human Protein B7-H1) (Human Monoclonal MEDI4736 Heavy Chain), Disulfide with Human Monoclonal MEDI4736 Kappa-chain, Dimer|
Paclitaxel Ceribate	PACLITAXEL CERIBATE|Paclitaxel Ceribate|7beta-((2RS)-2,3-dihydroxypropoxycarbonyloxy)-1-hydroxy-9-oxo-5beta,20-epoxytax-11-ene-2alpha,4,10beta,13alpha-tetrayl 4,10-diacetate 2-benzoate 13-((2R,3S)-3-benzamido-2-hydroxy-3-phenylpropanoate)|
Temsirolimus	CCI-779 Rapamycin Analog|temsirolimus|42-(3-Hydroxy-2-(hydroxymethyl)-2-methylpropanoate)rapamycin|CCI-779|TEMSIROLIMUS|Torisel|Rapamycin Analog CCI-779|Rapamycin Analog|Temsirolimus|Cell Cycle Inhibitor 779|
Olaparib	OLAPARIB|AZD-2281|olaparib|AZD2281|Olaparib|KU-0059436|PARP Inhibitor AZD2281|AZD 2281|Lynparza|PARP inhibitor AZD2281|
Eribulin Mesylate	Halichondrin B Analog|B1939 Mesylate|E7389|Halaven|eribulin mesylate|ER-086526|2-(3-Amino-2-hydroxypropyl)hexacosahydro-3-methoxy-26-methyl-20,27-bis(methylene)11,15-18,21-24,28-triepoxy-7,9-ethano-12,15-methano-9H,15H-furo(3,2-i)furo(2',3'-5,6)pyrano(4,3-b)(1,4)dioxacyclopentacosin-5-(4H)-one|ERIBULIN MESYLATE|Eribulin Mesylate|
Cisplatin-E Therapeutic Implant	CDDP-e therapeutic implant|Cisplatin/Epinephrine Gel|CDDP/epi|CEG|Cisplatin-Epinephrine|MP 5010 TI|MP 5010 Therapeutic Implant|Cisplatin-E Therapeutic Implant|Intradose|Intradose MPI-5010|MPI 5010|CDDP/epi gel|
Fulvestrant	ICI 182,780|ICI 182780|FULVESTRANT|Faslodex(ICI 182,780)|ZD9238|fulvestrant|7a-[9-[(4,4,5,5,5,-Pentafluoropentyl)sulphinyl]nonyl]-estra-1,3,5(10)-triene-3,17b-diol|Faslodex|Fulvestrant|
Bevacizumab	Bevacizumab Biosimilar HD204|Anti-VEGF rhuMAb|rhuMab-VEGF|Anti-VEGF Humanized Monoclonal Antibody|Bevacizumab Biosimilar FKB238|Bevacizumab Biosimilar SCT501|SCT501|Bevacizumab|Bevacizumab Biosimilar LY01008|bevacizumab|Bevacizumab awwb|Bevacizumab Biosimilar BEVZ92|Bevacizumab Biosimilar HLX04|Bevacizumab Biosimilar CT-P16|Bevacizumab Biosimilar QL 1101|BP102|Bevacizumab Biosimilar BI 695502|BEVACIZUMAB|Bevacizumab Biosimilar IBI305|Bevacizumab Biosimilar RPH-001|Bevacizumab Biosimilar MIL60|HD204|Avastin|Immunoglobulin G1 (Human-Mouse Monoclonal rhuMab-VEGF Gamma-Chain Anti-Human Vascular Endothelial Growth Factor), Disulfide With Human-Mouse Monoclonal rhuMab-VEGF Light Chain, Dimer|Bevacizumab Biosimilar CBT 124|Bevacizumab Biosimilar GB-222|BP102 Biosimilar|Anti-VEGF|Recombinant Humanized Anti-VEGF Monoclonal Antibody|
siRNA-transfected Peripheral Blood Mononuclear Cells APN401	APN401|siRNA-transfected Peripheral Blood Mononuclear Cells APN401|siRNA-transfected PBMC APN401|
Cisplatin/Vinblastine/Cell Penetration Enhancer Formulation INT230-6	Cisplatin/Vinblastine/Cell Penetration Enhancer Formulation INT230-6|INT230-6|Cisplatin/Vinblastine Formulation with Cell Penetration Enhancer INT230-6|INT 230-6|
Liposomal Vinorelbine	Liposomal Vinorelbine|
Cobimetinib	Cotellic|Cobimetinib|XL518|COBIMETINIB|GDC-0973|MEK Inhibitor GDC-0973|
Pertuzumab	Monoclonal Antibody 2C4|Perjeta|2C4|Pertuzumab|RO4368451|2C4 Antibody|rhuMAb2C4|Immunoglobulin G1, Anti-(Human V (Receptor)) (Human-Mouse Monoclonal 2C4 Heavy Chain), Disulfide with Human-Mouse Monoclonal 2C4 Kappa-Chain, Dimer|pertuzumab|MoAb 2C4|Omnitarg|PERTUZUMAB|
Trastuzumab/Tesirine Antibody-drug Conjugate ADCT-502	ADC ADCT-502|ADCT-502|Trastuzumab/Tesirine Antibody-drug Conjugate ADCT-502|ADCT502|ADCT 502|Anti-HER2/PBD ADC ADCT 502|
Oraxol	Paclitaxel/HM30181A|Oraxol|Paclitaxel-HM30181 Methanesulfonate Monohydrate|
Lapatinib	LAPATINIB|GW572016|lapatinib|GW 2016|GW2016|GSK572016|Lapatinib|
Nanoparticle Paclitaxel Ointment SOR007	SOR007|SOR007 Ointment|Topical Nanoparticle Paclitaxel Ointment|NanoPac Ointment|Nanopartcle Paclitaxel SOR007|Nanoparticle Paclitaxel Ointment SOR007|Uncoated Nanoparticle Paclitaxel Ointment|
Topical Celecoxib	DFD-07|Celecoxib Topical|DFD07|Celecoxib Cream|Topical Celecoxib|
Everolimus	RAD 001|everolimus|EVEROLIMUS|(1R,9S,12S,15R,16E,18R,19R,21R,23S,24E,26E,28E,30S,32S,35R)-1,18-Dihydroxy-12-((1R)-2-((1S,3R,4R)-4-(2-hydroxyethoxy)-3-methoxycyclohexyl)-1-methylethyl)-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo(30.3.1.04,9)hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentaone|42-O-(2-Hydroxy)ethyl Rapamycin|Zortress|Certican|Votubia|Afinitor|RAD001|Everolimus|
Fosgemcitabine Palabenamide	Gemictabine ProTide|Acelarin|FOSGEMCITABINE PALABENAMIDE|NUC 1031|Fosgemcitabine Palabenamide|NUC-1031|
Tegavivint	9,10-Anthracenedione, 2,7-bis(((3R,5S)-3,5-dimethyl-1-piperidinyl)sulfonyl)-, 9,10-dioxime, rel-|BC2059|TEGAVIVINT|BC 2059|Tegatrabetan|Tegavivint|BC-2059|
