Drug	Synonyms
Lenvatinib Mesylate	E7080|Lenvatinib Mesylate|4-[3-Chloro-4-(N'-cyclopropylureido)phenoxy]7-methoxyquinoline-6-carboxamide Mesylate|Lenvima|Multi-Kinase Inhibitor E7080|6-Quinolinecarboxamide, 4-[3-chloro-4-[[(cyclopropylamino)carbonyl]amino]phenoxy]- 7-methoxy-, methanesulfonate (1:1)|LENVATINIB MESYLATE|
Eribulin	Eribulin|ERIBULIN|ER-086526|2-(3-Amino-2-hydroxypropyl)hexacosahydro-3-methoxy-26-methyl-20,27-bis(methylene)11,15-18,21-24,28-triepoxy-7,9-ethano-12,15-methano-9H,15H-furo(3,2-i)furo(2',3'-5,6)pyrano(4,3-b)(1,4)dioxacyclopentacosin-5-(4H)-one|
Bortezomib	PS341|LDP 341|Bortezomib|[(1R)-3-Methyl-1-[[(2S)-1-oxo-3-phenyl-2-[(pyrazinylcarbonyl)amino]propyl]amino]butyl]boronic Acid|velcade|MLN341|BORTEZOMIB|PS-341|bortezomib|Velcade|
Abiraterone	CB 7598|Abiraterone|17-(3-Pyridyl)androsta-5,16-dien-3beta-ol|ABIRATERONE|
Gemcitabine Hydrochloride	GEMCITABINE HYDROCHLORIDE|Gemcitabine HCI|LY-188011|dFdCyd|2'Deoxy-2',2'-Difluorocytidine, Hydrochloride|Gemcitabine Hydrochloride|Difluorodeoxycytidine Hydrochloride|FF10832|gemcitabine hydrochloride|FF 10832|FF-10832|1-(2-Oxo-4-amino-1,2-dihydropyrimidin-1-yl)-2-deoxy-2,2-difluororibose, hydrochloride|Gemzar|LY188011|
Sustained-release Lipid Inhaled Cisplatin	Sustained-release Lipid Inhalation Targeting Cisplatin|Sustained-release Lipid Inhaled Cisplatin|SLIT Cisplatin|SR Inhaled Lipid Cisplatin|
Cationic Liposome-Encapsulated Paclitaxel	EndoTAG-1|LipoPac|Cationic Liposome-Encapsulated Paclitaxel|MBT-0206|
Erdafitinib	1,2-Ethanediamine, N1-(3,5-dimethoxyphenyl)-N2-(1-methylethyl)-N1-(3-(1-methyl-1H-pyrazol-4-yl)-6-quinoxalinyl)-|JNJ-42756493|Balversa|Erdafitinib|ERDAFITINIB|
Palbociclib	6-Acetyl-8-cyclopentyl-5-methyl-2-((5-(piperazin-1-yl)pyridin-2-yl)amino)-8h-pyrido(2,3-d)pyrimidin-7-one|PALBOCICLIB|PD 991|Palbociclib|PD-0332991|Pyrido(2,3-d)pyrimidin-7(8H)-one, 6-Acetyl-8-cyclopentyl-5-methyl-2-((5-(1-piperazinyl)-2-pyridinyl)amino)-|PD 332991|PD 0332991|Ibrance|
Submicron Particle Paclitaxel Sterile Suspension	NanoPac|Sterile Nanoparticle-based Paclitaxel Suspension|Submicron Particle Paclitaxel Formulation|Submicron Particle Paclitaxel Sterile Suspension|Submicron Particle Paclitaxel|Sterile Nanoparticulate Paclitaxel|
Exemestane	exemestane|EXEMESTANE|6-Methyleneandrosta-1,4-diene-3,17-dione|FCE-24304|Aromasin|Exemestane|
Lapatinib Ditosylate	lapatinib ditosylate|4-Quinazolinamine, N-(3-chloro-4-((3-fluorophenyl)methoxy)phenyl)-6-(5-(((2-(methylsulfonyl)ethyl)amino)methyl)-2-furanyl), bis(4-methylbenzenesulfonate), Monohydrate|LAPATINIB DITOSYLATE|Lapatinib Ditosylate|Tykerb|
Vector-peptide Conjugated Paclitaxel	Taxol-Angiopep Conjugate|Vector-peptide Conjugated Paclitaxel|
Trametinib	Mekinist|TRAMETINIB|JTP-74057|MEK Inhibitor GSK1120212|N-(3-{3-cyclopropyl-5-[(2-fluoro-4-iodophenyl)amino]-6,8-dimethyl-2,4,7-trioxo-3,4,6,7-tetrahydropyrido[4,3-d]pyrimidin-1(2H)-yl}phenyl)acetamide|GSK1120212|Trametinib|
Trastuzumab Deruxtecan	Enhertu|DS-8201a|Fam-trastuzumab Deruxtecan-nxki|TRASTUZUMAB DERUXTECAN|DS-8201|Trastuzumab Deruxtecan|WHO 10516|
Liposomal NDDP	Liposomal-Cisplatin Analogue|Liposomal NDDP|Liposomal-Entrapped Cis-Bis-Neodecanoate-trans-R,R-1,2-Diaminocyclohexane Platinum (II)|Liposomal Neodecanoic Acid Platinum Complex|Aroplatin|L-NDDP|
Afatinib	BIBW 2992|Afatinib|BIBW2992|AFATINIB|(2e)-N-(4-(3-Chloro-4-Fluoroanilino)-7-(((3s)-Oxolan-3-yl)Oxy)Quinoxazolin-6-yl)-4-(Dimethylamino)But-2-Enamide|
Trastuzumab Monomethyl Auristatin F	FS-1502|Antibody-drug Conjugate FS-1502|Trastuzumab MMAF|Trastuzumab Monomethyl Auristatin F|FS1502|FS 1502|Anti-HER2 ADC FS-1502|ADC FS-1502|
Dinaciclib	2-Piperidineethanol, 1-[3-ethyl-7-[[(1-oxido-3-pyridinyl)methyl]amino]pyrazolo[1,5- a]pyrimidin-5-yl]-, (2S)-|dinaciclib|Dinaciclib|CDK inhibitor SCH 727965|CDK Inhibitor SCH 727965|SCH 727965|DINACICLIB|MK-7965|
Carboplatin	platinum, diammine(1,1-cyclobutanedicarboxylato(2-))-, (SP-4-2)|Paraplat|CARBOPLATIN|Novoplatinum|Ribocarbo|cis-diammine(cyclobutanedicarboxylato)platinum II|JM-8|1,1-cyclobutanedicarboxylic acid platinum complex|Carboplatinum|Nealorin|(SP-4-2)-diammine[1,1-cyclobutanedicarboxylato(2--)-O,O']platinum|cis-diammine(1,1-cyclobutanedicarboxylato) platinum(II)|Carboplatin Hexal|Carbosol|Ercar|Cis-Diammine(cyclobutane-1,1-dicarboxylato)platinum|Blastocarb|CBDCA|Paraplatin|carboplatin|Carboplatin|Paraplatine|Paraplatin AQ|Carboplatino|Carbosin|Displata|Carboplat|Carbotec|Platinwas|
Anti-FRA/Eribulin Antibody-drug Conjugate MORAb-202	MORAb 202|MORAb202|Anti-FRA/Eribulin Antibody-drug Conjugate MORAb-202|Anti-FRA ADC MORAb-202|ADC MORAb-202|Anti-FRA/Eribulin ADC MORAb-202|MORAb-202|
Alpelisib	Piqray|BYL719|ALPELISIB|Alpelisib|Phosphoinositide 3-kinase Inhibitor BYL719|
Paclitaxel Injection Concentrate for Nanodispersion	PICN|Paclitaxel Injection Concentrate for Nanodispersion|
Neratinib	HKI-272|HKI 272|(2E)-N-(4-((3-chloro-4-((pyridin-2-yl)methoxy)phenyl)amino)-3-cyano-7-ethoxyquinolin-6-yl)-4-(dimethylamino)but-2-enamide|PB-272|NERATINIB|PB 272|Neratinib|2-Butenamide, N-(4-((3-chloro-4-(2-pyridinylmethoxy)phenyl)amino)-3-cyano-7-ethoxy-6-quinolinyl)-4-(dimethylamino)-, (2E)-|
Trastuzumab	Anti-erbB2 Monoclonal Antibody|Anti-p185-HER2|SB3|Trastuzumab Biosimilar ABP 980|Trastuzumab Biosimilar PF-05280014|Anti-ERB-2|Herceptin|Trastuzumab-dkst|PF-05280014|MoAb HER2|c-erb-2 Monoclonal Antibody|Trazimera|Anti-c-erbB2 Monoclonal Antibody|Trastuzumab Biosimilar ALT02|Herzuma|trastuzumab biosimilar EG12014|Anti-erbB-2|Trastuzumab-pkrb|Trastuzumab-anns|Ontruzant|Trastuzumab-qyyp|TRASTUZUMAB|Trastuzumab Biosimilar HLX02|Anti-HER2/c-erbB2 Monoclonal Antibody|Trastuzumab Biosimilar GB221|RO0452317|Trastuzumab-dttb|ABP 980|Monoclonal Antibody HER2|Monoclonal Antibody c-erb-2|Immunoglobulin G 1 (Human-Mouse Monoclonal RhuMab HER2gamma1-Chain Antihuman p185(Sup c-erbB2) Receptor), Disulfide with Human-Mouse Monoclonal RhuMab HER2 Light Chain, Dimer|rhuMAb HER2|trastuzumab|HER2 Monoclonal Antibody|Anti-c-ERB-2|Ogivri|Herceptin Biosimilar PF-05280014|Herceptin Trastuzumab Biosimilar PF-05280014|ALT02|Kanjinti|Trastuzumab Biosimilar SB3|Trastuzumab|
DTRMWXHS-12/Everolimus/Pomalidomide Combination Agent DTRM-555	DTRMWXHS-12-Everolimus-Pomalidomide|DTRMWXHS-12/Everolimus/Pomalidomide Combination Agent DTRM-555|DTRM 555|DTRM-555|DTRMWXHS-12/Everolimus/Pomalidomide|DTRM555|
Sacituzumab Govitecan	Sacituzumab Govitecan-hziy|Sacituzumab Govitecan|IMMU-132|RS7-SN38|hRS7-SN38 Antibody Drug Conjugate|SACITUZUMAB GOVITECAN|Trodelvy|
Gemcitabine	Difluorodeoxycytidine|dFdCyd|1-(2-Oxo-4-amino-1,2-dihydropyrimidin-1-yl)-2-deoxy-2,2-difluororibose|Gemcitabine|gemcitabine|2'Deoxy-2',2'-Difluorocytidine|GEMCITABINE|dFdC|
Capecitabine	CAPECITABINE|Xeloda|capecitabine|Capecitabine|5'-Deoxy-5-fluoro-N-[(pentyloxy)carbonyl]-cytidine|Ro 09-1978/000|
Nanoparticle-based Paclitaxel Suspension	Nanoparticle-based Paclitaxel Suspension|Nanotax|
Palbociclib Isethionate	PD 0332991-0054|PALBOCICLIB ISETHIONATE|Palbociclib Isethionate|PF-00080665-73|6-Acetyl-8-cyclopentyl-5-methyl-2-((5-(piperazin-1-yl)pyridin-2-yl)amino(pyrido(2,3-d)pyrimidin-7(8h)-one mono(2-hydroxyethanesulfonate)|
Trastuzumab-TLR 7/8 Agonist BDC-1001	BDC-1001|Trastuzumab-TLR 7/8 Agonist BDC-1001|ISAC BDC-1001|Immune Stimulating Antibody Conjugate BDC-1001|BDC1001|BDC 1001|
Gemcitabine-Releasing Intravesical System	TAR-200|GemRIS|Gemcitabine-Releasing Intravesical System|TAR 200|
Paclitaxel Vitamin E-Based Emulsion	Tocosol|S-8184|Paclitaxel Vitamin E-Based Emulsion|Paclitaxel Injectable Emulsion|PIE|
Enzalutamide	ASP9785|MDV3100|Xtandi|Benzamide, 4-(3-(4-cyano-3-(trifluoromethyl)phenyl)-5,5-dimethyl-4-oxo-2-thioxo-1-imidazolidinyl)-2-fluoro-N-methyl-|Enzalutamide|ENZALUTAMIDE|
Everolimus Tablets for Oral Suspension	Everolimus Tablets for Oral Suspension|Afinitor Disperz|
Afatinib Dimaleate	Afatinib Dimaleate|BIBW 2992MA2|BIBW2992 MA2|(2E)-N-(4-((3-Chloro-4-fluorophenyl)amino)-7-(((3S)-tetrahydrofuran-3-yl)oxy)quinazolin- 6-yl)-4-(dimethylamino)but-2-enamide bis(hydrogen (2Z)-but-2-enedioate)|2-Butenamide, N-[4-[(3-chloro-4-fluorophenyl)amino]7-[[(3S)-tetrahydro-3-furanyl]oxy]-6-quinazolinyl]-4-(dimethylamino)-,(2E)-, (2Z)-2-Butenedioate (1:2)|AFATINIB DIMALEATE|Gilotrif|
Nab-paclitaxel/Rituximab-coated Nanoparticle AR160	Abraxane coated with Rituximab|AR160|Abraxane/Rituxan 160 Complex|Nab-paclitaxel/Rituximab-coated Nanoparticle AR160|Abraxane Coated with Rituximab 160nm Nanoparticle|
Paclitaxel-Loaded Polymeric Micelle	Genexol PM|Cynviloq TM|IG-001|Paclitaxel-Loaded Polymeric Micelle|paclitaxel-loaded polymeric micelle|
Glycooptimized Trastuzumab-GEX	TrasGEX|Ant-HER2 Monoclonal Antibody GT-Mab 7.3-GEX|GT-Mab 7.3-GEX|Glycooptimized Trastuzumab-GEX|
PEOX-based Polymer Encapsulated Paclitaxel FID-007	FID007|Nanoencapsulated Paclitaxel FID-007|FID-007|PEOX-based Polymer Encapsulated Paclitaxel FID-007|FID 007|Paclitaxel in Polyethyloxazoline Polymer|
Paclitaxel	paclitaxel|5Beta,20-epoxy-1,2alpha,4,7beta,10beta,13alpha-hexahydroxytax-11-en-9-one, 4,10-Diacetate 2-Benzoate 13-Ester with (2R,3S)-N-Benzoyl-3-phenylisoserine|Taxol Konzentrat|Taxol|Paclitaxel|[2aR-[2a Alpha,4beta,4a beta,6beta,9alpha(alphaR*,betaS*),-11alpha,12alpha,12a alpha,12b alpha]]-beta-(benzoylamino)-alpha-hydroxybenzene-propanoic acid 6,12b-bis(acetyloxy)-12-(benzoyloxy)-1a,33,4,-41,5,6,9,10,11,12,12a,12b-dodecahydro-4,11-dihydroxy-41,8,-12,13-tetramethyl-5-oxo-7,11-methano-1H-cyclodeca[3,4]benz[1,2-b]oxet-9-yl Ester|Anzatax|Bristaxol|Praxel|Asotax|PACLITAXEL|
Paclitaxel Poliglumex	Polyglutamic Acid Paclitaxel|paclitaxel poliglumex|PG-TXL|CT-2103|Paclitaxel Poliglumex|Paclitaxel-Polyglutamate Polymer|CT2103|PACLITAXEL POLIGLUMEX|Paclitaxel Polyglutamate|Poly-L-Glutamic acid-Paclitaxel Conjugate|Xyotax|paclitaxel polyglutamate|
Pegylated Paclitaxel	Pegylated Paclitaxel|PEG Paclitaxel|
Gemcitabine Hydrochloride Emulsion	D07001-F4|Gemcitabine Hydrochloride Emulsion|
Lenvatinib	E7080|LENVATINIB|ER-203492-00|Multi-Kinase Inhibitor E7080|6-Quinolinecarboxamide, 4-[3-chloro-4-[[(cyclopropylamino)carbonyl]amino]phenoxy]- 7-methoxy-|Lenvatinib|
Paclitaxel PPE Microspheres	Paclitaxel Biopolymer Formulation|Paclimer Microspheres|Paclimer Microspheres (Polilactofate/Paclitaxel)|Paclitaxel PPE Microspheres|
Venetoclax	ABT-0199|VENETOCLAX|GDC-0199|Venclyxto|RG7601|Venclexta|4-(4-((2-(4-Chlorophenyl)-4,4-dimethylcyclohex-1-en-1-yl)methyl)piperazin-1-yl)-N-((3-nitro-4-((tetrahydro-2H-pyran-4-ylmethyl)amino)phenyl)sulfonyl)-2-(1H-pyrrolo(2,3-b)pyridin-5-yloxy)benzamide|ABT199|ABT-199|Venetoclax|
Aerosol Gemcitabine	Aerosol Gemcitabine|Aerosolized GCB|Aerosolized Gemcitabine|
Topical Gemcitabine Hydrochloride	Topical Gemcitabine Hydrochloride|
Liposomal Eribulin Mesylate	Liposomal Eribulin Mesylate|E7389 Liposomal Formulation|E7389-LF|
Navitoclax	BcI-2 Family Protein Inhibitor ABT-263|navitoclax|Navitoclax|A-855071.0|ABT-263|NAVITOCLAX|
Trastuzumab Emtansine	ADO-TRASTUZUMAB EMTANSINE|Trastuzumab Emtansine|Immunoglobulin G1, Anti-(Human p185neu Receptor) (Human-Mouse Monoclonal RhuMab HER2 Gamma1-Chain), Disulfide with Human-Mouse Monoclonal RhuMab HER2 Light Chain, Dimer, Tetraamide with N2'-(3-((1-((4-carboxycyclohexyl)methyl)-2,5-dioxo-3-pyrrolidinyl)thio)-1-oxopropyl)-N2'-deacetylMaytansine|Trastuzumab-DM1|ADO-Trastuzumab Emtansine|Kadcyla|Trastuzumab-MCC-DM1 Immunoconjugate|Ado Trastuzumab Emtansine|Trastuzumab-MCC-DM1 Antibody-Drug Conjugate|RO5304020|T-DM1|PRO132365|Trastuzumab-MCC-DM1|
Paclitaxel Liposome	LEP-ETU|LipoTaxen|Liposome-Encapsulated Paclitaxel|Paclitaxel Liposome|liposomal paclitaxel|PNU-93914|paclitaxel liposome|
Paclitaxel Trevatide	ANG1005|Paclitaxel Trevatide|ANG-1005|PACLITAXEL TREVATIDE|GRN1005|
Deuterated Enzalutamide	D3-ENT|HC 1119|HC1119|Deuterated Enzalutamide|HC-1119|N-trideuteromethyl Enzalutamide|Enzalutamide Deuterated|
Cisplatin	Cisplatyl|Cis-platinum|Cisplatina|Platosin|Plastistil|Platiblastin|Platinol|Cis-diammine-dichloroplatinum|Cis-diamminedichloro Platinum (II)|Citoplatino|Placis|Cismaplat|Platiblastin-S|Platinum, Diaminedichloro-, cis- (8CI)|Platistin|Neoplatin|Platinol-AQ VHA Plus|DDP|Peyrone's Salt|Platinum Diamminodichloride|CISPLATIN|Platinum|Lederplatin|Briplatin|Platinol- AQ|Abiplatin|cisplatin|Platamine|(SP-4-2)-Diamminedichloroplatinum|Metaplatin|Blastolem|Cysplatyna|Platinoxan|Cis-platinum II Diamine Dichloride|Cisplatin|Cisplatinum|Cis-diamminedichloridoplatinum|CDDP|Citosin|Cis-platinum II|Cis-platinous Diamine Dichloride|Platinol-AQ|Peyrone's Chloride|Cis-dichloroammine Platinum (II)|Platiran|Cis-diamminedichloroplatinum|Platinex|
Nab-paclitaxel	nanoparticle paclitaxel|paclitaxel albumin-stabilized nanoparticle formulation|Albumin-Stabilized Nanoparticle Paclitaxel|Albumin-bound Paclitaxel|Nab-paclitaxel|Nanoparticle Paclitaxel|Abraxane|Paclitaxel Albumin|ABI 007|Protein-bound Paclitaxel|protein-bound paclitaxel|ABI-007|Nanoparticle Albumin-bound Paclitaxel|
Gemcitabine Elaidate	Gemcitabine 5'-Elaidic Acid Ester|GEMCITABINE ELAIDATE|CP-4126|Gemcitabine Elaidate|
Cisplatin Liposomal	Cisplatin, Liposomal|STEALTH Liposomal Cisplatin|STEALTH Liposomal Encapsulated Cisplatin|STEALTH Cisplatin|Liposomal Cisplatin|SPI-77|SPI-077|STEALTH Liposome Cisplatin|Cisplatin Liposomal|
Trastuzumab Conjugate BI-CON-02	Trastuzumab Conjugate BI-CON-02|BI-CON-02|
Vorinostat	SAHA|N-Hydroxy-N'-phenyloctanediamide|Suberanilohydroxamic Acid|vorinostat|L-001079038|Vorinostat|suberoylanilide hydroxamic acid|MSK-390|Suberoylanilide Hydroxamic Acid|Zolinza|VORINOSTAT|
DHA-Paclitaxel	Taxoprexin|Docosahexaenoic Acid-Paclitaxel conjugate|DHA-Paclitaxel|DHA-paclitaxel|TXP|
PGLA/PEG Copolymer-Based Paclitaxel	PGLA/PEG Copolymer-Based Paclitaxel|OncoGel|
Trametinib Dimethyl Sulfoxide	Trametinib Dimethyl Sulfoxide|TRAMETINIB DIMETHYL SULFOXIDE|
Capecitabine Rapidly Disintegrating Tablet	Capecitabine RDT|Capecitabine Rapidly Disintegrating Tablet|
Lead Pb 212 TCMC-trastuzumab	Lead Pb 212 TCMC-Herceptin|[212]Pb TCMC-Herceptin|[212]Pb TCMC-trastuzumab|Lead Pb 212 TCMC-trastuzumab|
Paclitaxel Polymeric Micelle Formulation NANT-008	Genexol-PM|Nant-paclitaxel|Cynviloq|Micellar Nanoparticle-encapsulated NANT-008|NANT 008|Paclitaxel-loaded Polymeric Micelle NANT-008|Paclitaxel Polymeric Micelle Formulation NANT-008|NANT-008|NANT008|IG-001|Paclitaxel-loaded Micellar Diblock Copolymer NANT-008|
Carbon C 14 Eribulin Acetate	14C-Eribulin Acetate|Carbon C 14 Eribulin Acetate|
Neratinib Maleate	2-Butenamide, N-(4-((3-chloro-4-(2-pyridinylmethoxy)phenyl)amino)-3-cyano-7-ethoxy-6-quinolinyl)-4-(dimethylamino)-, (2E)-, (2Z)-2-butenedioate (1:1)|NERATINIB MALEATE|HKI-272 Maleate|Nerlynx|Neratinib Maleate|
Atezolizumab	MPDL 3280A|MPDL328OA|MPDL 328OA|Tecentriq|Immunoglobulin G1, Anti-(human CD Antigen cd274) (Human Monoclonal MPDL3280A Heavy Chain), Disulfide with Human Monoclonal MPDL3280A Kappa-chain, Dimer|ATEZOLIZUMAB|MPDL-3280A|RG7446|MPDL3280A|RO5541267|Atezolizumab|
