Drug	Synonyms
Gemcitabine Prodrug LY2334737	LY2334737|Gemcitabine Prodrug LY2334737|
Tandutinib	tandutinib|MLN 518|Tandutinib|MLN518|CT53518|1-Piperazinecarboxamide, 4-(6-Methoxy-7-(3-(1-piperidinyl)propoxy)-4-quinazolinyl)-N-(4-(1-methylethoxy)phenyl)-|TANDUTINIB|
Dihydrolenperone	Dihydro-lenperone|1-Butanone, 1-(4-fluorophenyl)-4-[4-[(4-fluorophenyl)hydroxymethyl]-1-piperidinyl]-|Dihydrolenperone|DIHYDROLENPERONE|RMI 11974|1-Butanone, 1-(4-fluorophenyl)-4-[4-[(4-fluorophenyl)hydroxymethyl]-1-piperidi nyl]-|
17beta-Hydroxysteroid Dehydrogenase Type 5 Inhibitor ASP9521	ASP9521|17beta-Hydroxysteroid Dehydrogenase Type 5 Inhibitor ASP9521|17bHSD5 Inhibitor ASP9521|(4-(2-Hydroxy-2-methylpropyl)piperidin-1-yl)(5-methoxy-1H-indol-2-yl)methanone|ASP 9521|
Coenzyme Q10	ubiquinone|Q10|coenzyme Q10|vitamin Q10|2-(3,7,11,15,19,23,27,31,35,39-Decamethyl-2,6,10,14,18,22,26,30,34,38-tetracontadecanyl)-5,6-dimethoxy-3-methyl-2,5-cyclohexadiene-1,4-dione|Coenzyme Q10|CoQ10|Co-Q10|UBIDECARENONE|Ubidecarenone|Ubiquinone 10|
Trioxifene	Trioxifene|TRIOXIFENE|(3,4-Dihydro-2-(4-methoxyphenyl)-1-naphthalenyl)(4-(2-(1-pyrrolidinyl)ethoxy)phenyl) Methanone|
Dacomitinib	DACOMITINIB|EGFR Inhibitor PF-00299804|(2E)-N-(4-((3-Chloro-4-Fluorophenyl)Amino)-7-Methoxyquinazolin-6-yl)-4-Piperidin-1-ylbut-2-Enamide|Dacomitinib|PF-00299804|PF-00299804-03|PF-299804|Vizimpro|
Axitinib	AG-013736|AXITINIB|AG013736|N-methyl-2-((3-((1E)-2-(pyridin-2-yl)ethenyl)-1H-indazol-6-yl)sulfanyl)benzamide|Axitinib|Inlyta|axitinib|
Pan-AKT Kinase Inhibitor GSK690693	Pan-AKT Kinase Inhibitor GSK690693|GSK690693|
Andrographolide	ANDROGRAPHOLIDE|3alpha,14,15,18-tetrahydroxy-5b,9bH,10a-labda-8(20),12-dien-16-oic acid gamma-Lactone|(3E,4S)-4-hydroxy-3-{2-[(1R,4aS,5R,6R,8aS)-6-hydroxy-5-(hydroxymethyl)-5,8a-dimethyl-2-methylidenedecahydronaphthalen-1-yl]ethylidene}dihydrofuran-2(3H)-one|Andrographis|(1R-(1-alpha(E(S)),4a-beta,5alpha,6alpha,8a-alpha))-3-(2-(decahydro-6-hydroxy-5-(hydroxymethyl)-5,8a-dimethyl-2-methylene-1-naphthalenyl)ethylidene)dihydro-4-hydroxy-2(3H)-furanone|2(3H)-Furanone, 3-(2-(decahydro-6-hydroxy-5-(hydroxymethyl)-5,8a-dimethyl-2-methylene-1-naphthalenyl)ethylidene)dihydro-4-hydroxy-, (1R-(1-alpha(E(S*)),4a-beta,5-alpha,6-alpha,8a-alpha))-|3-(2-(decahydro-6-hydroxy-5-(hydroxymethyl)-5,8a-dimethyl-2-methylenenaphthyl)ethylidene)dihydro-4-hydroxyfuran-2(3H)-one|Andrographolide|(3E,4S)-3-[2-[(1R,4aS,5R,6R,8aS)-6-hydroxy-5-(hydroxymethyl)-5,8a-dimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]ethylidene]-4-hydroxyoxolan-2-one|
Sivifene	4,4'-Dihydroxybenzophenone 2,4-dinitrophenylhydrazone|SIVIFENE|A-007|Sivifene|Aryl Hydrazone A-007 Gel|
Etirinotecan Pegol	NKTR 102|Onzeald|ETIRINOTECAN PEGOL|Etirinotecan Pegol|PEG-Irinotecan|NKTR-102|
Thalidomide	(-)-Thalidomide|(+)-Thalidomide|N-Phthaloylglutamimide|Kevadon|2, 6-Dioxo-3-phthalimidopiperidine|thalidomide|N-(2,6-Dioxo-3-piperidyl)phthalimide|N-Phthalylglutamic Acid Imide|Synovir|Contergan|3-Phthalimidoglutarimide|Thalidomide|Phthalimide, N-(2, 6-dioxo-3-piperidyl)-, (-)-|Phthalimide, N-(2, 6-dioxo-3-piperidyl)-, (+)-|Sedoval K-17|Pantosediv|2,6-Dioxo-3-phthalimidopiperidine|Softenon|Alpha-Phthalimidoglutarimide|Distaval|N-Phthalylglutamic acid imide|Sedalis|THALIDOMIDE|Thalomid|2-(2,6-Dioxo-3-piperidinyl)-1H-isoindole-1,3(2H)-dione|Neurosedyn|Talimol|.alpha.-Phthalimidoglutarimide|
Pazopanib	PAZOPANIB|GW786034|Pazopanib|Benzenesulfonamide, 5-((4-((2,3-dimethyl-2H-indazol-6-yl)methylamino)-2-pyrimidinyl)amino)-2-methyl-|
Cediranib	4-[(4-fluoro-2-methyl-1H-indol-5-yl)oxy]-6-methoxy-7-[3-(pyrrolidin-1-yl)propoxy]quinazoline|CEDIRANIB|AZD2171|Cediranib|
Panobinostat	Panobinostat|Farydak|LBH589|(2E)-N-hydroxy-3-(4-(((2-(2-methyl-1h-indol-3-yl)ethyl)amino)methyl)phenyl)prop-2-enamide|PANOBINOSTAT|Faridak|panobinostat|
Syk Inhibitor HMPL-523	Syk Inhibitor HMPL-523|HMPL-523|Spleen Tyrosine Kinase Inhibitor HMPL-523|
Lenvatinib Mesylate	E7080|Lenvatinib Mesylate|4-[3-Chloro-4-(N'-cyclopropylureido)phenoxy]7-methoxyquinoline-6-carboxamide Mesylate|Lenvima|Multi-Kinase Inhibitor E7080|6-Quinolinecarboxamide, 4-[3-chloro-4-[[(cyclopropylamino)carbonyl]amino]phenoxy]- 7-methoxy-, methanesulfonate (1:1)|LENVATINIB MESYLATE|
Selumetinib	Selumetinib|AZD6244|SELUMETINIB|ARRY-142886|MEK Inhibitor AZD6244|MEK inhibitor AZD6244|
Lenalidomide	CC5013|CDC 501|CC-5013|Lenalidomide|3-(4-Amino-1-oxo-1,3-dihydro-2H-isoindol-2-yl)piperidine-2,6-dione|LENALIDOMIDE|lenalidomide|Revlimid|
Sustained-release Lipid Inhaled Cisplatin	Sustained-release Lipid Inhalation Targeting Cisplatin|Sustained-release Lipid Inhaled Cisplatin|SLIT Cisplatin|SR Inhaled Lipid Cisplatin|
Nilotinib Hydrochloride Anhydrous	NILOTINIB HYDROCHLORIDE ANHYDROUS|Nilotinib Hydrochloride Anhydrous|
Scopoletin	Scopoletine|6-Methylesculetin|6-Methoxyumbelliferone|Escopoletin|7-Hydroxy-5-Methoxycoumarin|Scopoletin|Gelseminic Acid|7-Hydroxy-6-Methoxychromen-2-One|7-Hydroxy-6-Methoxycoumarin|2H-1-Benzopyran-2-One, 7-Hydroxy-6-Methoxy- (9CI)|Scopoletol|2H-1-Benzopyran-2-One, 7-Hydroxy-6-Methoxy-|6-O-Methylesculetin|Methylesculetin|Coumarin, 7-Hydroxy-6-Methoxy-|Chrysatropic Acid|Esculetin-6-Methyl Ether|Murrayetin|
Trametinib	Mekinist|TRAMETINIB|JTP-74057|MEK Inhibitor GSK1120212|N-(3-{3-cyclopropyl-5-[(2-fluoro-4-iodophenyl)amino]-6,8-dimethyl-2,4,7-trioxo-3,4,6,7-tetrahydropyrido[4,3-d]pyrimidin-1(2H)-yl}phenyl)acetamide|GSK1120212|Trametinib|
Nilotinib Hydrochloride Monohydrate	Nilotinib Hydrochloride Monohydrate|Tasigna|Nilotinib Monohydrochloride Monohydrate|AMN107|4-methyl-N-[3-(4-methyl-1H-imidazol-1-yl)-5-(trifluoromethyl)phenyl]-3-[[4-(3-pyridinyl)-2-pyrimidinyl]amino]-benzamide, Monohydrochloride|NILOTINIB HYDROCHLORIDE MONOHYDRATE|
Pemetrexed Disodium	N-[4-[2-(2-Amino-4,7-dihydro-4-oxo-1H-pyrrolo[2,3-d]pyrimidin-5-yl)ethyl]benzoyl]-L-glutamic Acid Disodium Salt|Alimta|Pemetrexed Disodium|Almita|pemetrexed disodium|PEMETREXED DISODIUM|LY231514|
Afatinib	BIBW 2992|Afatinib|BIBW2992|AFATINIB|(2e)-N-(4-(3-Chloro-4-Fluoroanilino)-7-(((3s)-Oxolan-3-yl)Oxy)Quinoxazolin-6-yl)-4-(Dimethylamino)But-2-Enamide|
Fedratinib	Fedratinib|SAR302503|FEDRATINIB|Benzenesulfonamide, N-(1,1-dimethylethyl)-3-((5-methyl-2-((4-(2-(1-pyrrolidinyl)ethoxy)phenyl)amino)-4-pyrimidinyl)amino)-|TG101348|
Crystalline Genistein Formulation AXP107-11	Crystalline Genistein Formulation AXP107-11|AXP107-11|
Methotrexate Sodium	Sodium Methotrexate|Methotrexate Sodium|Xatmep|Trexall|METHOTREXATE SODIUM|
Nivolumab	NIVO|Nivolumab|ONO-4538|Opdivo|BMS-936558|NIVOLUMAB|MDX-1106|
Indisulam	Indisulam|E7070|N-(3-Chloro-7-indoyl)-1,4-Benzenedisulfonamide|INDISULAM|
Copanlisib	BAY 80-6946|Copanlisib|PI3K Inhibitor BAY 80-6946|COPANLISIB|
Nanoparticle Albumin-Bound Rapamycin	Nanoparticle Albumin-Bound Rapamycin|Nab-Rapamycin|ABI-009|
Nanoparticle-based Paclitaxel Suspension	Nanoparticle-based Paclitaxel Suspension|Nanotax|
Trastuzumab-TLR 7/8 Agonist BDC-1001	BDC-1001|Trastuzumab-TLR 7/8 Agonist BDC-1001|ISAC BDC-1001|Immune Stimulating Antibody Conjugate BDC-1001|BDC1001|BDC 1001|
Midostaurin	CGP 41251|N-Benzoyl-Staurosporine|N-benzoyl-staurosporine|N-Benzoylstaurosporine|midostaurin|PKC-412|CGP41251|MIDOSTAURIN|Midostaurin|Rydapt|PKC412|
Gemcitabine-Releasing Intravesical System	TAR-200|GemRIS|Gemcitabine-Releasing Intravesical System|TAR 200|
Paclitaxel Vitamin E-Based Emulsion	Tocosol|S-8184|Paclitaxel Vitamin E-Based Emulsion|Paclitaxel Injectable Emulsion|PIE|
Enzalutamide	ASP9785|MDV3100|Xtandi|Benzamide, 4-(3-(4-cyano-3-(trifluoromethyl)phenyl)-5,5-dimethyl-4-oxo-2-thioxo-1-imidazolidinyl)-2-fluoro-N-methyl-|Enzalutamide|ENZALUTAMIDE|
Nab-paclitaxel/Rituximab-coated Nanoparticle AR160	Abraxane coated with Rituximab|AR160|Abraxane/Rituxan 160 Complex|Nab-paclitaxel/Rituximab-coated Nanoparticle AR160|Abraxane Coated with Rituximab 160nm Nanoparticle|
Paclitaxel-Loaded Polymeric Micelle	Genexol PM|Cynviloq TM|IG-001|Paclitaxel-Loaded Polymeric Micelle|paclitaxel-loaded polymeric micelle|
Cabazitaxel	Jevtana|1-hydroxy-7beta,10beta-dimethoxy-9-oxo-5beta,20-epoxytax-11-ene-2alpha,4,13alpha-triyl 4-acetate 2-benzoate 13-[(2R,3S)-3-{[(tertbutoxy)carbonyl]amino}-2-hydroxy-3-phenylpropanoate]|taxoid XRP6258|CABAZITAXEL|Taxoid XRP6258|cabazitaxel|XRP-6258|RPR-116258A|Cabazitaxel|
Olive Oil Extract/Curcumin-based Capsule	PhytoMed Medical Food Suppement|Olive Oil Extract/Curcumin-based Capsule|
Alectinib	AF802|Alectinib|5H-benzo(b)carbazole-3-carbonitrile, 9-Ethyl-6,11-dihydro-6,6-dimethyl-8-(4-(4-morpholinyl)-1-piperidinyl)-11-oxo-|ALECTINIB|AF-802|Alecensa|CH5424802|RG7853|RO5424802|
Ruxolitinib	Ruxolitinib|Oral JAK Inhibitor INCB18424|INCB18424|(3R)-3-cyclopentyl-3-(4-(7h-pyrrolo(2,3-d)pyrimidin-4-yl)pyrazol-1-yl)propanenitrile|INCB-18424|Jakafi|RUXOLITINIB|
Autologous Peripheral Blood Lymphocytes from Ibrutinib-treated Chronic Lymphocytic Leukemia Patients IOV-2001	Autologous Peripheral Blood Lymphocytes from Ibrutinib-treated Chronic Lymphocytic Leukemia Patients IOV-2001|IOV 2001|Autologous PBLs from Ibrutinib-treated CLL Patients|IOV2001|Autologous PBLs IOV-2001|IOV-2001|
Methotrexate-E Therapeutic Implant	MTX/epi gel|Methotrexate-E Therapeutic Implant|MTX-e TI|Methotrexate/epi|Methotrexate-epinephrine therapeutic implant|
Paclitaxel	paclitaxel|5Beta,20-epoxy-1,2alpha,4,7beta,10beta,13alpha-hexahydroxytax-11-en-9-one, 4,10-Diacetate 2-Benzoate 13-Ester with (2R,3S)-N-Benzoyl-3-phenylisoserine|Taxol Konzentrat|Taxol|Paclitaxel|[2aR-[2a Alpha,4beta,4a beta,6beta,9alpha(alphaR*,betaS*),-11alpha,12alpha,12a alpha,12b alpha]]-beta-(benzoylamino)-alpha-hydroxybenzene-propanoic acid 6,12b-bis(acetyloxy)-12-(benzoyloxy)-1a,33,4,-41,5,6,9,10,11,12,12a,12b-dodecahydro-4,11-dihydroxy-41,8,-12,13-tetramethyl-5-oxo-7,11-methano-1H-cyclodeca[3,4]benz[1,2-b]oxet-9-yl Ester|Anzatax|Bristaxol|Praxel|Asotax|PACLITAXEL|
hTERT/Survivin/Melanoma Tumor Cell-Derived mRNA-Transfected Dendritic Cell Vaccine	hTERT/Survivin/Melanoma Tumor Cell-Derived mRNA-Transfected Dendritic Cell Vaccine|
Tyrosine Kinase Inhibitor SU5402	SU 5402|Tyrosine Kinase Inhibitor SU5402|3-[(3-(2-carboxyethyl)-4-methylpyrrol-2-yl)methylene]-2-indolinone|
Ruxolitinib Phosphate	1H-Pyrazole-1-propanenitrile, beta-cyclopentyl-4-(7H-pyrrolo(2,3-d)pyrimidin-4-yl)-,(betaR)-, phosphate (1:1)|RUXOLITINIB PHOSPHATE|Ruxolitinib Phosphate|(3R)-3-cyclopentyl-3-(4-(7h-pyrrolo(2,3-d)pyrimidin-4-yl)pyrazol-1-yl)propanenitrile Phosphate (1:1)|INCB-18424 Phosphate|Jakafi|
Idelalisib	Zydelig|CAL-101|GS 1101|IDELALISIB|Phosphoinositide-3 Kinase Delta Inhibitor CAL-101|Idelalisib|5-Fluoro-3-phenyl-2-((S)-1-(9H-purin-6-ylamino)-propyl)-3H- quinazolin-4-one|GS-1101|
Infigratinib	3-(2,6-Dichloro-3,5-dimethoxyphenyl)-1-(6-((4-(4-ethylpiperazin-1-yl)phenyl)amino)pyrimidin-4-yl)-1-methylurea|BGJ-398|BGJ398|INFIGRATINIB|Infigratinib|
GITRL RNA-transfected Autologous Dendritic Cell Vaccine	GITRL RNA-transfected Autologous Dendritic Cell Vaccine|GITRL RNA-transfected Autologous DC|GITRL RNA DC|
MALT1 Inhibitor JNJ-67856633	JNJ-67856633|MALT1 Inhibitor JNJ-67856633|JNJ 67856633|JNJ67856633|Mucosa-associated Lymphoid Tissue Lymphoma Translocation Protein 1 Inhibitor JNJ-67856633|
Fluzoparib	Fluzoparib|4-((3-((5,6-Dihydro-2-(trifluoromethyl)(1,2,4)triazolo(1,5-a)pyrazin-7(8H)-yl)carbonyl)-4-fluorophenyl)methyl)-1(2H)-phthalazinone|FLUZOPARIB|SHR3162|SHR-3162|
Vadimezan	ASA404|dimethylxanthenone acetic acid|Vadimezan|5,6-Dimethylxanthenone-4-Acetic Acid|Dimethyloxoxanthene Acetic Acid|Dimethylxanthenone Acetic Acid|5,6-MexXAA|DMXAA|VADIMEZAN|
Navitoclax	BcI-2 Family Protein Inhibitor ABT-263|navitoclax|Navitoclax|A-855071.0|ABT-263|NAVITOCLAX|
Anastrozole	Anastrazole|Arimidex|Anastrozole|Alpha,alpha,alpha', alpha'-tetramethyl-5-(1H-1,2,4-triazol-1-ylmethyl)-1,3-benzenediacetonitrile|ZD-1033|2,2'-[5-(1H-1,2,4-Triazol-1-ylmethyl)-1,3-phenylene]di(2-methylpropionitrile)|ICI D1033|anastrozole|ICI-D1033|ANASTROZOLE|
ALK Inhibitor TAE684	NVP-TAE684|5-Chloro-n4-(2-(isopropylsulfonyl)phenyl)-n2-(2-methoxy-4-(4-(4-methylpiperazin-1-yl)piperidin-1-yl)phenyl)pyrimidine-2,4-diamine|TAE684|TAE-684|ALK Inhibitor TAE684|TAE 684|NPM-ALK Inhibitor TAE684|
Dabrafenib	DABRAFENIB|GSK-2118436|GSK-2118436A|BRAF Inhibitor GSK2118436|Dabrafenib|GSK2118436|Benzenesulfonamide, N-(3-(5-(2-amino-4-pyrimidinyl)-2-(1,1-dimethylethyl)-4-thiazolyl)-2-fluorophenyl)-2,6-difluoro-|
Quizartinib	AC-220|N-(5-tert-butyl-isoxazol-3-yl)-N'-{4-[7-(2-morpholin-4-yl-ethoxy)imidazo [2,1-b] [1,3] benzothiazol 2-yl]phenyl}urea|Quizartinib|AC010220|(2E)-N-(4-(3-Chloro-4-Fluoroanilino)-7-(((3S)-Oxolan-3-Yl)Oxy)Quinoxazolin-6-yl)-4-(Dimethylamino)but-2-Enamide|AC220|QUIZARTINIB|
NCIt Preferred Name	Synonyms|
Abemaciclib Mesylate	LY-2835219 methanesulfonate|ABEMACICLIB MESYLATE|LY-2835219 Methanesulfonate|Abemaciclib Mesylate|
Cisplatin	Cisplatyl|Cis-platinum|Cisplatina|Platosin|Plastistil|Platiblastin|Platinol|Cis-diammine-dichloroplatinum|Cis-diamminedichloro Platinum (II)|Citoplatino|Placis|Cismaplat|Platiblastin-S|Platinum, Diaminedichloro-, cis- (8CI)|Platistin|Neoplatin|Platinol-AQ VHA Plus|DDP|Peyrone's Salt|Platinum Diamminodichloride|CISPLATIN|Platinum|Lederplatin|Briplatin|Platinol- AQ|Abiplatin|cisplatin|Platamine|(SP-4-2)-Diamminedichloroplatinum|Metaplatin|Blastolem|Cysplatyna|Platinoxan|Cis-platinum II Diamine Dichloride|Cisplatin|Cisplatinum|Cis-diamminedichloridoplatinum|CDDP|Citosin|Cis-platinum II|Cis-platinous Diamine Dichloride|Platinol-AQ|Peyrone's Chloride|Cis-dichloroammine Platinum (II)|Platiran|Cis-diamminedichloroplatinum|Platinex|
Gemcitabine Elaidate	Gemcitabine 5'-Elaidic Acid Ester|GEMCITABINE ELAIDATE|CP-4126|Gemcitabine Elaidate|
Racemetyrosine/Methoxsalen/Phenytoin/Sirolimus SM-88	SM-88 Used with Methoxsalen/Phenytoin/Sirolimus|SM-88 Used with MPS|SM-88|SM-88/Methoxsalen/Phenytoin/Sirolimus|Racemetyrosine/Methoxsalen/Phenytoin/Sirolimus Combination SM88|Tyrosine Isomers/Phenytoin/Methoxsalen/Sirolimus|Racemetyrosine/Methoxsalen/Phenytoin/Sirolimus SM-88|
Autologous CCR4-CD30CAR-CD28-CD3zeta-expressing T-Lymphocytes	Anti-CD30-CAR/CD28z-CCR4 Retroviral Vector-transduced Autologous T-Cells|SFG.CCR4-CAR.CD30 Autologous T-lymphocytes|Autologous CCR4-CD30CAR-CD28-CD3zeta-expressing T-Lymphocytes|ATLs Co-expressing CD30-CARCD28zeta and CCR4|ATLCAR.CD30.CCR4 Cells|Autologous CCR4-CAR-CD19-CD28-zeta-transduced T-lymphocytes|CCR4-CAR-CD30-28zeta-specific Autologous T-cells|ATLCAR.CD30-CD28zeta-CCR4 Cells|
Irinotecan Sucrosofate	MM-398|Irinotecan Sucrosofate|Nanoliposomal Irinotecan|Nanoparticle Liposome Formulation of Irinotecan|nal-IRI|PEP02|Irinotecan Liposome|Onivyde|IRINOTECAN SUCROSOFATE|
Entospletinib	ENTO|ENTOSPLETINIB|Entospletinib|6-(1H-Indazol-6-yl)-N-(4-(morpholin-4-yl)phenyl)imidazo(1,2-a)pyrazin-8-amine|GS 9973|Imidazo(1,2-a)pyrazin-8-amine, 6-(1H-indazol-6-yl)-N-(4-(4-morpholinyl)phenyl)-|GS-9973|
Canertinib Dihydrochloride	CI-1033|canertinib|N-[-4-[(3-Chloro-4-fluorophenyl)amino]-7-[3-(4-morpholinyl)propoxy]-6-quinazolinyl]-2-propenamide Dihydrochloride|PD183805|Canertinib Dihydrochloride|CANERTINIB DIHYDROCHLORIDE|PD-0183805-002B|canertinib dihydrochloride|
Vandetanib-eluting Radiopaque Bead BTG-002814	BTG-002814|VERB|Vandetanib-eluting Radiopaque Bead BTG-002814|VTB-loaded Beads|Vandetanib-eluting Radiopaque Embolic Beads|VERB BTG-002814|
Entrectinib	ENTRECTINIB|RXDX-101|N-(5-(3,5-Difluorobenzyl)-1H-indazol-3-yl)-4-(4-methylpiperazin-1yl)-2-(tetrahydro-2H-pyran-4-ylamino)benzamide|RXDX101|Entrectinib|RXDX 101|Rozlytrek|
Dovitinib Lactate	4-Amino-5-fluoro-3-(6-(4-methylpiperazin-1-yl)-1H-benzimidazol-2-yl)quinolin-2(1H)-one mono 2-hydroxypropanoate Hydrate|DOVITINIB LACTATE|RTK Inhibitor TKI258|Dovitinib Lactate|TKI258|CHIR-258|
Paclitaxel Polymeric Micelle Formulation NANT-008	Genexol-PM|Nant-paclitaxel|Cynviloq|Micellar Nanoparticle-encapsulated NANT-008|NANT 008|Paclitaxel-loaded Polymeric Micelle NANT-008|Paclitaxel Polymeric Micelle Formulation NANT-008|NANT-008|NANT008|IG-001|Paclitaxel-loaded Micellar Diblock Copolymer NANT-008|
Bicalutamide	ICI 176334|(+/-)-N-[4-Cyano-3-(trifluoromethyl)phenyl]-3-[(4-fluorophenyl)sulfonyl]-2-hydroxy-2-methylpropanamide|ICI 176,334|Bicalutamide|4'-Cyano-alpha,alpha,alpha-trifuloro-3-[(p-fluorophenyl)sulfonyl]-2-methyl-m-lactotoluidide|4-Cyano-3-trifluoromethyl-N-(3-p-fluorophenylsulfonyl-2-hydroxy-2-methylpropionyl)aniline|Casodex|N-[4-Cyano-3-(trifluoromethyl)phenyl]3-3[(4-fluorophenyl)sulfonyl]-2-hydroxy-2-methyl-propanamide|BICALUTAMIDE|Cosudex|bicalutamide|
Carbon C 14 Eribulin Acetate	14C-Eribulin Acetate|Carbon C 14 Eribulin Acetate|
Pelitinib	PELITINIB|EKB-569|(2E)-N-(4-((3-Chloro-4-fluorophenyl)amino)-3-cyano-7-ethoxyquinolin-6-yl)-4-(dimethylamino)but-2-enamide|Pelitinib|EKB 569|WAY-EKB 569|
Radgocitabine	RADGOCITABINE|Deoxycytidine Analogue TAS-109|4-Amino-L-(2-cyano-2-deoxy-beta-D-arabinofuranosyl)- 2(1H)-pyrimidinone|Radgocitabine|TAS-109|CNDAC|
Gilteritinib Fumarate	GILTERITINIB FUMARATE|Gilteritinib Fumarate|ASP-2215 Hemifumarate|Gilteritinib Hemifumarate|2-Pyrazinecarboxamide, 6-ethyl-3-((3-methoxy-4-(4-(4-methyl-1-piperazinyl)-1-piperidinyl)phenyl)amino)-5-((tetrahydro-2H-pyran-4-yl)amino)-, (2E)-2-Butenedioate (2:1)|ASP2215 Hemifumarate|Xospata|
Darolutamide	Darolutamide|DAROLUTAMIDE|BAY1841788|ODM-201|Antiandrogen ODM-201|ODM 201|BAY 1841788|BAY-1841788|
Durvalumab	Imfinzi|MEDI-4736|Durvalumab|MEDI4736|DURVALUMAB|Immunoglobulin G1, Anti-(Human Protein B7-H1) (Human Monoclonal MEDI4736 Heavy Chain), Disulfide with Human Monoclonal MEDI4736 Kappa-chain, Dimer|
Temsirolimus	CCI-779 Rapamycin Analog|temsirolimus|42-(3-Hydroxy-2-(hydroxymethyl)-2-methylpropanoate)rapamycin|CCI-779|TEMSIROLIMUS|Torisel|Rapamycin Analog CCI-779|Rapamycin Analog|Temsirolimus|Cell Cycle Inhibitor 779|
Olaparib	OLAPARIB|AZD-2281|olaparib|AZD2281|Olaparib|KU-0059436|PARP Inhibitor AZD2281|AZD 2281|Lynparza|PARP inhibitor AZD2281|
Eribulin Mesylate	Halichondrin B Analog|B1939 Mesylate|E7389|Halaven|eribulin mesylate|ER-086526|2-(3-Amino-2-hydroxypropyl)hexacosahydro-3-methoxy-26-methyl-20,27-bis(methylene)11,15-18,21-24,28-triepoxy-7,9-ethano-12,15-methano-9H,15H-furo(3,2-i)furo(2',3'-5,6)pyrano(4,3-b)(1,4)dioxacyclopentacosin-5-(4H)-one|ERIBULIN MESYLATE|Eribulin Mesylate|
