7-oxo K252a	
JNJ-28312141	4-cyano-N-[2-(cyclohex-1-en-1-yl)-4-{1-[2-(dimethylamino)acetyl]piperidin-4-yl}phenyl]-1H-imidazole-2-carboxamide
JQ1	1268524-70-4
JQ1	(+)-JQ-1
JQ1	(+)-JQ1
JQ1	JQ1 compound
JQ1	JQ-1
JQ1	JQ1
JQ1	"(S)-tert-butyl 2-(4-(4-chlorophenyl)-2,3,9-triMethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetate"
JQ1	UNII-1MRH0IMX0W
JQ1	(S)-JQ1
JQ1	"Bromodomain Inhibitor, (+)-JQ1"
JQ1	1MRH0IMX0W
JQ1	C23H25ClN4O2S
JQ1	CHEMBL1957266
JQ1	"(S)-(+)-tert-Butyl 2-(4-(4-chlorophenyl)-2,3,9-trimethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetate"
JQ1	"(S)-(+)-tert-Butyl 2-(4-(4-chlorophenyl)-2,3,9-trimethyl-6H-thieno(3,2-f)(1,2,4)triazolo(4,3-a)(1,4)diazepin-6-yl)acetate"
JQ1	"tert-butyl (S)-2-(4-(4-chlorophenyl)-2,3,9-trimethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetate"
JQ1	"6H-Thieno(3,2-f)(1,2,4)triazolo(4,3-a)(1,4)diazepine-6-acetic acid, 4-(4-chlorophenyl)-2,3,9-trimethyl-, 1,1-dimethylethyl ester, (6S)-"
JQ1	"6H-Thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepine-6-acetic acid, 4-(4-chlorophenyl)-2,3,9-trimethyl-, 1,1-dimethylethyl ester, (6S)-"
JQ1	"tert-Butyl 2-((6S)-4-(4-chlorophenyl)-2,3,9-trimethyl-6H-thieno(3,2-f)(1,2,4)triazolo(4,3-a)(1,4)diazepin-6-yl)acetate"
JQ1	3mxf
JQ1	4flp
JQ1	4qzs
JQ1	"tert-butyl 2-((6S)-4-(4-chlorophenyl)-2,3,9-trimethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetate"
JQ1	MLS006011158
JQ1	SCHEMBL881227
JQ1	GTPL7511
JQ1	JQ 1
JQ1	CHEBI:95080
JQ1	DTXSID20155309
JQ1	EX-A457
JQ1	SYN3004
JQ1	TEN-010
JQ1	CHEBI:137113
JQ1	"(6S)-4-(4-Chlorophenyl)-2,3,9-trimethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepine-6-acetic acid 1,1-dimethylethyl ester"
JQ1	BDBM50365262
JQ1	s7110
JQ1	ZINC57318556
JQ1	AKOS016344680
JQ1	ACN-038216
JQ1	CCG-269306
JQ1	CS-0581
JQ1	JQ1 (+)
JQ1	SB17021
JQ1	KS-0000064H
JQ1	NCGC00250412-01
JQ1	"(S)-tert-butyl 2-(4-(4-chlorophenyl)-2,3,9-triMethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diaz"
JQ1	AS-16352
JQ1	HY-13030
JQ1	SC-83046
JQ1	SMR004702930
JQ1	AB0047492
JQ1	BB 0262647
JQ1	"(+)-JQ1, >=98% (HPLC)"
JQ1	W-5982
JQ1	Q3156953
JQ1	"(6S)-4-(4-Chlorophenyl)-2,3,9-trimethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]di azepine-6-acetic acid 1,1-dimethylethyl ester tert-butyl [(6S)-4-(4-chlorophenyl)-2,3,9-trimethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl]acetate"
JQ1	"(S)-tert-butyl 2-(4-(4-chlorophenyl)-2,3,9-triMethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetate"
MLN120B	ML120B
NVP-ADW742	NVPADW742
NVP-ADW742	"5-[3-(phenylmethoxy)phenyl]-7-[trans-3-(1-pyrrolidinylmethyl)cyclobutyl]-7H-pyrrolo[2,3-d]pyrimidin-4-amine"
NVP-ADW742	ADW742
NVP-ADW742	GSK552602A
PF-533228	
PF-562271	PF-00562271 Besylate
PF-562271	"N-(3-(((2-((2,3-Dihydro-2-oxo-1H-indol-5-yl)amino)-5- (trifluoromethyl)-4-pyrimidinyl)amino)methyl)-2-pyridinyl)-N-methyl-methanesulfonamide benzenesulfonate"
PF-562271	PF 562271
PF-562271	PF-00562271
PF-562271	"PF-562,271"
PI-103	PI-103
PI-103	371935-74-9
PI-103	"3-(4-morpholinopyrido[3',2':4,5]furo[3,2-d]pyrimidin-2-yl)phenol"
PI-103	PI103
PI-103	UNII-YQX02F616F
PI-103	PI 103
PI-103	"Phenol, 3-[4-(4-morpholinyl)pyrido[3',2':4,5]furo[3,2-d]pyrimidin-2-yl]-"
PI-103	PIK-103
PI-103	YQX02F616F
PI-103	CHEBI:90524
PI-103	"3-[4-(4-Morpholinyl)pyrido[3',2':4,5]furo[3,2-d]pyrimidin-2-yl]phenol"
PI-103	371935-74-9 (free base)
PI-103	PI-103 hydrobromide
PI-103	"3-(4-morpholin-4-ylpyrido[2,3]furo[2,4-b]pyrimidin-2-yl)phenol"
PI-103	"3-(4-(4-Morpholinyl)pyrido[3',2':4,5]furo[3,2-d]pyrimidin-2-yl)phenol"
PI-103	"3-(4-Morpholin-4-Ylpyrido[3',2':4,5]furo[3,2-D]pyrimidin-2-Yl)phenol"
PI-103	"Phenol, 3-(4-(4-morpholinyl)pyrido(3',2':4,5)furo(3,2-d)pyrimidin-2-yl)-"
PI-103	X6K
PI-103	PI 103 hydrobromide
PI-103	Kinome_3597
PI-103	2x6k
PI-103	cc-5
PI-103	"mTOR Inhibitor, PI103"
PI-103	MLS006010988
PI-103	SCHEMBL258242
PI-103	CHEMBL573339
PI-103	GTPL5701
PI-103	BDBM25045
PI-103	cid_9884685
PI-103	CTK8F1083
PI-103	KS-00000HCH
PI-103	DTXSID40190676
PI-103	EX-A039
PI-103	PIK 103
PI-103	QCR-256
PI-103	SYN1065
PI-103	4l23
PI-103	"pyridofuropyrimidine derivative, 2"
PI-103	BCPP000107
PI-103	HMS3229C15
PI-103	HMS3244E11
PI-103	HMS3244E12
PI-103	HMS3244F11
PI-103	HMS3295E19
PI-103	HMS3650M10
PI-103	HMS3654E09
PI-103	BCP01923
PI-103	BCP19373
PI-103	ZINC3963016
PI-103	MFCD11983145
PI-103	s1038
PI-103	AKOS024462563
PI-103	CCG-101301
PI-103	compound 2 [PMID: 17601739]
PI-103	CS-0127
PI-103	"3-(4-(4-Morpholinyl)pyrido[3&prime;,2&prime;:4,5]furo[3,2-d]pyrimidin-2-yl)phenol"
PI-103	NCGC00187906-01
PI-103	NCGC00187906-02
PI-103	NCGC00187906-03
PI-103	NCGC00187906-15
PI-103	"3-(6-morpholin-4-yl-8-oxa-3,5,10-triazatricyclo[7.4.0.02,7]trideca-1(9),2(7),3,5,10,12-hexaen-4-yl)phenol"
PI-103	"3-[6-(morpholin-4-yl)-8-oxa-3,5,10-triazatricyclo[7.4.0.0^{2,7}]trideca-1(13),2,4,6,9,11-hexaen-4-yl]phenol"
PI-103	AK163162
PI-103	AS-16221
PI-103	HY-10115
PI-103	SMR002530603
PI-103	AB0033724
PI-103	FT-0712341
PI-103	SW218117-2
PI-103	X7432
PI-103	EC-000.2123
PI-103	W-5518
PI-103	935P749
PI-103	SR-01000946304
PI-103	SR-01000946304-1
PI-103	BRD-K67868012-003-01-5
PI-103	Q27088379
PI-103	"3-(4-morpholinopyrido[2,3]furo[2,4-b]pyrimidin-2-yl)phenol"
PI-103	"3-[4-(4-morpholinyl)-2-pyrido[2,3]furo[2,4-b]pyrimidinyl]phenol"
PI-103	"3-(4-(4-morpholinyl)pyrido[3?,2?:4,5]furo[3,2-d]pyrimidin-2- yl)phenol"
PI-103	"3-(4-morpholin-4-ylpyrido[3 ,2 :4,5]furo[3,2-d]pyrimidin-2-yl)phenol"
PI-103	"3-[4-(4-morpholinyl)pyrido[3',2':4,5]furo[3,2-d]pyrimidin-2-yl]"
PI-103	"3-[4-(morpholin-4-yl)pyrido[3',2':4,5]furo[3,2-d]pyrimidin-2-yl]phenol"
PI-103	"3-[6-(morpholin-4-yl)-8-oxa-3,5,10-triazatricyclo[7.4.0.0^{2,7}]trideca-1(9),2(7),3,5,10,12-hexaen-4-yl]phenol"
PI-103	"3-[6-(morpholin-4-yl)-8-oxa-3,5,10-triazatricyclo[7.4.0.0^{2,7}]trideca-1(9),2,4,6,10,12-hexaen-4-yl]phenol"
PI-103	PI 103
QNZ	
SCH-772984	SCH772984
SCH-772984	942183-80-4
SCH-772984	SCH-772984
SCH-772984	(R)-1-(2-oxo-2-(4-(4-(pyrimidin-2-yl)phenyl)piperazin-1-yl)ethyl)-N-(3-(pyridin-4-yl)-1H-indazol-5-yl)pyrrolidine-3-carboxamide
SCH-772984	CHEMBL3590107
SCH-772984	(3~{R})-1-[2-oxidanylidene-2-[4-(4-pyrimidin-2-ylphenyl)piperazin-1-yl]ethyl]-~{N}-(3-pyridin-4-yl-1~{H}-indazol-5-yl)pyrrolidine-3-carboxamide
SCH-772984	(3r)-1-(2-Oxo-2-{4-[4-(Pyrimidin-2-Yl)phenyl]piperazin-1-Yl}ethyl)-N-[3-(Pyridin-4-Yl)-2h-Indazol-5-Yl]pyrrolidine-3-Carboxamide
SCH-772984	(3R)-1-[2-oxo-2-[4-(4-pyrimidin-2-ylphenyl)piperazin-1-yl]ethyl]-N-(3-pyridin-4-yl-1H-indazol-5-yl)pyrrolidine-3-carboxamide
SCH-772984	38Z
SCH-772984	GTPL8056
SCH-772984	SCHEMBL12151489
SCH-772984	KS-00001DUJ
SCH-772984	AOB6425
SCH-772984	EX-A296
SCH-772984	C33H33N9O2
SCH-772984	2711AH
SCH-772984	BDBM50094464
SCH-772984	MFCD11878503
SCH-772984	s7101
SCH-772984	ZINC96174209
SCH-772984	AKOS025402018
SCH-772984	ACN-034807
SCH-772984	CS-1421
SCH-772984	SB19428
SCH-772984	"SCH772984, SCH 984"
SCH-772984	NCGC00350780-11
SCH-772984	(R)-1-(2-oxo-2-(4-(4-(pyrimidin-2-yl)phenyl)piperazin-1-yl)ethyl)-N-(3-(pyridin-4-yl)-1H-indazol-5-y
SCH-772984	AC-28198
SCH-772984	HY-50846
SCH-772984	QC-11359
SCH-772984	W-5497
SCH-772984	Q27088760
SCH-772984	(R)-1-(2-oxo-2-(4-(4-(pyrimidin-2-yl)phenyl)piperazin-1-yl)ethyl)-N-(3-(pyridin-4-yl)-1H-indazol-5-
SCH-772984	"3-Pyrrolidinecarboxamide, 1-[2-oxo-2-[4-[4-(2-pyrimidinyl)phenyl]-1-piperazinyl]ethyl]-N-[3-(4-pyridinyl)-1H-indazol-5-yl]-, (3R)-"
SCH-772984	F3Z
Sirolimus	rapamycin
Sirolimus	RAPAMUNE
Sirolimus	"9,10,12,13,14,21,22,23,24,25,26,27,32,33,34,34a-Hexadecahydro-9,27-dihydroxy-3-((1R)-2-((1S,3R,4R)-4-hydroxy-3-methoxycyclohexyl)-1-methylethyl)-10,21-dimethoxy-6,8,12,14,20,26-hexamethyl-23,27-epoxy-3H-pyrido(2,1-c)(1,4)oxaazacyclohentriacontine-1,5,11,2"
Sirolimus	RAPA
Sirolimus	SLM
Sirolimus	AY 22989
Sirolimus	SILA 9268A
Sirolimus	WY-090217
Stauprimide	STAUPRIMIDE
Stauprimide	154589-96-5
Stauprimide	C35H28N4O5
Stauprimide	"N-[(2S,3R,4R,6R)-3-Methoxy-2-methyl-16,18-dioxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide"
Stauprimide	HY-N6747
Stauprimide	4068AH
Stauprimide	AKOS024457783
Stauprimide	ZINC100002122
Stauprimide	CS-3530
Stauprimide	Stauprimide - CAS 154589-96-5
Stauprimide	HY-15126
Stauprimide	J-009120
Stauprimide	Q7604751
Stauprimide	"[9S-(9?,10?,11?,13?)]-N-(2,3,10,11,12,13-Hexahydro-10-methoxy-9-methyl-1,3-dioxo-9,13-epoxy-1H,9H-diindolo[1,2,3-gh:3',2',1'-lm]pyrrolo[3,4-j][1,7]benzodiazonin-11-yl)-N-methylbenzamide"
Stauprimide	"[9S-(9alpha,10beta,11beta,13alpha)]-N-(2,3,10,11,12,13-Hexahydro-10-methoxy-9-methyl-1,3-dioxo-9,13-epoxy-1H,9H-diindolo[1,2,3-gh"
Stauprimide	"N-[(2S,3R,4R,6R)-3-Methoxy-2-methyl-16,18-dioxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide"
STO609	"7-Oxo-7H-benzimidazo[2,1-a]benz[de]isoquinoline-3-carboxylic acid - acetic acid"
STO609	STO609-acetic-acid
Tamatinib	"
6-({5-fluoro-2-[(3,4,5-trimethoxyphenyl)amino]pyrimidin-4-yl}amino)-2,2-dimethyl-2H-pyrido[3,2-b][1,4]oxazin-3(4H)-one"
Torkinib	PP242
Torkinib	1092351-67-1
Torkinib	TORKinib
Torkinib	PP-242
Torkinib	PP 242
Torkinib	Torkinib (PP242)
Torkinib	"2-(4-amino-1-isopropyl-1H-pyrazolo[3,4-d]pyrimidin-3-yl)-1H-indol-5-ol"
Torkinib	UNII-H5669VNZ7V
Torkinib	"2-[4-Amino-1-(1-methylethyl)-1H-pyrazolo[3,4-d]pyrimidin-3-yl]-1H-indol-5-ol"
Torkinib	H5669VNZ7V
