Parent_Drug	DrugPanel_Name	Synonym
	PI-103	AB0033724
	PI-103	FT-0712341
	PI-103	SW218117-2
	PI-103	X7432
	PI-103	EC-000.2123
	PI-103	W-5518
	PI-103	935P749
	PI-103	SR-01000946304
	PI-103	SR-01000946304-1
	PI-103	BRD-K67868012-003-01-5
	PI-103	Q27088379
	PI-103	"3-(4-morpholinopyrido[2,3]furo[2,4-b]pyrimidin-2-yl)phenol"
	PI-103	"3-[4-(4-morpholinyl)-2-pyrido[2,3]furo[2,4-b]pyrimidinyl]phenol"
	PI-103	"3-(4-(4-morpholinyl)pyrido[3?,2?:4,5]furo[3,2-d]pyrimidin-2- yl)phenol"
	PI-103	"3-(4-morpholin-4-ylpyrido[3 ,2 :4,5]furo[3,2-d]pyrimidin-2-yl)phenol"
	PI-103	"3-[4-(4-morpholinyl)pyrido[3',2':4,5]furo[3,2-d]pyrimidin-2-yl]"
	PI-103	"3-[4-(morpholin-4-yl)pyrido[3',2':4,5]furo[3,2-d]pyrimidin-2-yl]phenol"
	PI-103	"3-[6-(morpholin-4-yl)-8-oxa-3,5,10-triazatricyclo[7.4.0.0^{2,7}]trideca-1(9),2(7),3,5,10,12-hexaen-4-yl]phenol"
	PI-103	"3-[6-(morpholin-4-yl)-8-oxa-3,5,10-triazatricyclo[7.4.0.0^{2,7}]trideca-1(9),2,4,6,10,12-hexaen-4-yl]phenol"
	PLX-4720	PLX-4720
	PLX-4720	918505-84-7
	PLX-4720	PLX4720
	PLX-4720	PLX 4720
	PLX-4720	"N-(3-(5-chloro-1H-pyrrolo[2,3-b]pyridine-3-carbonyl)-2,4-difluorophenyl)propane-1-sulfonamide"
	PLX-4720	UNII-EQY31RO8HA
	PLX-4720	"N-[3-[(5-Chloro-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl]-2,4-difluorophenyl]-1-propanesulfonamide"
	PLX-4720	EQY31RO8HA
	PLX-4720	"N-[3-(5-chloro-1H-pyrrolo[2,3-b]pyridine-3-carbonyl)-2,4-difluorophenyl]propane-1-sulfonamide"
	PLX-4720	"N-{3-[(5-chloro-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl]-2,4-difluorophenyl}propane-1-sulfonamide"
	PLX-4720	CHEBI:90295
	PLX-4720	"N-[3-(5-chloro-1H-pyrrolo[2,3-b]pyridine-3-carbonyl)-2,4-difluoro-phenyl]propane-1-sulfonamide"
	PLX-4720	C17H14ClF2N3O3S
	PLX-4720	"N-[3-({5-chloro-1H-pyrrolo[2,3-b]pyridin-3-yl}carbonyl)-2,4-difluorophenyl]propane-1-sulfonamide"
	PLX-4720	"Propane-1-sulfonic acid[3-(5-chloro-1H-pyrrolo[2,3-b]pyridine-3-carbonyl)-2,4-difluorophenyl]-amide"
	PLX-4720	"a,a-dimethoxytoluene"
	PLX-4720	PubChem19346
	PLX-4720	3c4c
	PLX-4720	MLS006010065
	PLX-4720	SCHEMBL133733
	PLX-4720	GTPL5703
	PLX-4720	CHEMBL1230020
	PLX-4720	BDBM25617
	PLX-4720	CTK5H0564
	PLX-4720	DTXSID10238711
	PLX-4720	EX-A186
	PLX-4720	SYN1069
	PLX-4720	HMS3244C03
	PLX-4720	HMS3244C04
	PLX-4720	HMS3244D03
	PLX-4720	HMS3265I09
	PLX-4720	HMS3265I10
	PLX-4720	HMS3265J09
	PLX-4720	HMS3265J10
	PLX-4720	HMS3654M10
	PLX-4720	HMS3750K11
	PLX-4720	HMS3884C05
	PLX-4720	ACT06829
	PLX-4720	AOB87700
	PLX-4720	BCP01754
	PLX-4720	KS-000004WP
	PLX-4720	"PLX-4720,PLX4720"
	PLX-4720	PLX-4720/PLX4720
	PLX-4720	ABP000428
	PLX-4720	BBL102256
	PLX-4720	MFCD14635203
	PLX-4720	s1152
	PLX-4720	STL556055
	PLX-4720	ZINC39059267
	PLX-4720	AKOS015919071
	PLX-4720	CCG-268810
	PLX-4720	CS-0094
	PLX-4720	DB06999
	PLX-4720	NCGC00187911-01
	PLX-4720	NCGC00187911-02
	PLX-4720	NCGC00187911-06
	PLX-4720	"1-Propanesulfonamide, N-[3-[(5-chloro-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl]-2,4-difluorophenyl]-"
	PLX-4720	AC-23171
	PLX-4720	AK162149
	PLX-4720	AS-19376
	PLX-4720	HY-51424
	PLX-4720	SC-65663
	PLX-4720	SMR004701225
	PLX-4720	AB0008154
	PLX-4720	DB-003736
	PLX-4720	FT-0673969
	PLX-4720	SW218119-2
	PLX-4720	X7406
	PLX-4720	A19411
	PLX-4720	Q-4563
	PLX-4720	Raf Kinase Inhibitor V - CAS 918505-84-7
	PLX-4720	505P847
	PLX-4720	J-522979
	PLX-4720	BRD-K16478699-001-01-9
	PLX-4720	Q27088418
	PLX-4720	"N-[3-[(5-Chloro-1H-pyrrolo[2,3-b]pyridin-3-yl)carb"
	PLX-4720	"N-[3-(5-chloro-1H-pyrrolo[2,3-b]pyridine-3-carbonyl)-2,4-difluoro-phenyl]pr opane-1-sulfonamide"
	PLX-4720	"propane-1-sulfonic acid [3-(5-chloro-1h-pyrrolo[2,3-b]pyridine-3-carbonyl)-2,4-difluoro-phenyl]-amide"
	PLX-4720	"N-(3-(5-Chloro-1H-pyrrolo[2,3-b]pyridine-3-carbonyl)-2,4-difluorophenyl)propane-1-sulfonamide"
	PRT062607	BIIB057
	PRT062607	P505-15
	PRT062607	P50515
	R406	"N_-(2,2-Dimethyl-3-oxo-4H-pyrid[1,4]oxazin-6-yl)-5-fluoro-N_-(3,4,5-trimethoxyphenyl)-2,4-pyrimidinediamine"
	R406	"6-(5-Fluoro-2-(3,4,5-trimethoxyphenylamino)pyrimidin-4-ylamino)-2,2-dimethyl-2H-pyrido[3,2-b][1,4]oxazin-3(4H)-one"
	R406	Syk Inhibitor VI
	Ralimetinib	Ralimetinib Mesylate
	Ralimetinib	LY2228820
	Ralimetinib	862507-23-1
	Ralimetinib	Ralimetinib dimesylate
	Ralimetinib	UNII-QUW7B71FO9
	Ralimetinib	862507-23-1 (mesylate)
	Ralimetinib	QUW7B71FO9
	Ralimetinib	Ralimetinib mesylate [USAN]
	Ralimetinib	LY-2228820
	Ralimetinib	LY 2228820
	Ralimetinib	"5-(2-(tert-butyl)-4-(4-fluorophenyl)-1H-imidazol-5-yl)-3-neopentyl-3H-imidazo[4,5-b]pyridin-2-amine dimethanesulfonate"
	Ralimetinib	Ralimetinib mesylate (USAN)
	Ralimetinib	LY2228820 diMesylate
	Ralimetinib	LY2228820 2MsOH
	Ralimetinib	"5-(2-tert-butyl-4-(4-fluorophenyl)-1H-imidazol-5-yl)-3-neopentyl-3H-imidazo[4,5-b]pyridin-2-amine dimethanesulfonate"
	Ralimetinib	LY-2228820 dimesylate
	Ralimetinib	cc-430
	Ralimetinib	SCHEMBL3992244
	Ralimetinib	CHEMBL2364627
	Ralimetinib	SCHEMBL16347433
	Ralimetinib	DTXSID60235457
	Ralimetinib	BCPP000179
	Ralimetinib	HMS3654J16
	Ralimetinib	BCP02295
	Ralimetinib	EX-A2289
	Ralimetinib	Ralimetinib 2MsOH(LY2228820)
	Ralimetinib	MFCD17169991
	Ralimetinib	LY2228820; Ralimetinib dimesylate
	Ralimetinib	BCP9000872
	Ralimetinib	CCG-270240
	Ralimetinib	CS-0208
	Ralimetinib	KS-00000T78
	Ralimetinib	LSN-2322600
	Ralimetinib	"3H-Imidazo(4,5-b)pyridin-2-amine, 5-(2-(1,1-dimethylethyl)-4-(4-fluorophenyl)-1H-imidazol-5-yl)-3-(2,2-dimethylpropyl)-, methanesulfonate (1:2)"
	Ralimetinib	AK176011
	Ralimetinib	AS-56110
	Ralimetinib	HY-13241
	Ralimetinib	FT-0670881
	Ralimetinib	SW220068-1
	Ralimetinib	D10659
	Ralimetinib	W-5947
	Ralimetinib	J-516068
	Ralimetinib	Q27287506
	Ralimetinib	"5-(2-(tert-butyl)-4-(4-fluorophenyl)-1h-imidazol-5-yl)-3-(2,2-dimethylpropyl)-3h-imidazo(4,5-b)pyridin-2-amine methanesulfonate"
	Ralimetinib	"5-[2-tert-butyl-4-(4-fluorophenyl)-1H-imidazol-5-yl]-3-(2,2-dimethylpropyl)imidazo[4,5-b]pyridin-2-amine;methanesulfonic acid"
	Ralimetinib	"5-[2-tert-Butyl-5-(4-fluoro-phenyl)-1H-imidazol-4-yl]-3-(2,2-dimethyl-propyl)-3H-imidazo[4,5-b]pyridin-2-ylamine dimethanesulfonate"
	Rapamycin	Sirolimus
	Rapamycin	RAPAMUNE
	Rapamycin	"9,10,12,13,14,21,22,23,24,25,26,27,32,33,34,34a-Hexadecahydro-9,27-dihydroxy-3-((1R)-2-((1S,3R,4R)-4-hydroxy-3-methoxycyclohexyl)-1-methylethyl)-10,21-dimethoxy-6,8,12,14,20,26-hexamethyl-23,27-epoxy-3H-pyrido(2,1-c)(1,4)oxaazacyclohentriacontine-1,5,11,2"
	Rapamycin	RAPA
	Rapamycin	SLM
	Rapamycin	AY 22989
	Rapamycin	SILA 9268A
	Rapamycin	WY-090217
	Roscovitine	Seliciclib
	Roscovitine	CYC202
	S31-201	NSC 74859
	SB-431542	SB431542
	SB-431542	CHEMBL44008
	SB-431542	3tzm
	SB-431542	GTPL8216
	SB-431542	FHYUGAJXYORMHI-UHFFFAOYSA-N
	SB-431542	"4-[4-(1,3-benzodioxol-5-yl)-5-pyridin-2-yl-1H-imidazol-2-yl]benzamide"
	SR9011	SR-9011
	SR9011	"
1-Pyrrolidinecarboxamide, 3-((((4-chlorophenyl)methyl)((5-nitro-2-thienyl)methyl)amino)methyl)-n-pentyl-"
	STO609	"7-Oxo-7H-benzimidazo[2,1-a]benz[de]isoquinoline-3-carboxylic acid - acetic acid"
	STO609	STO609-acetic-acid
	SU11274	PKI-SU1127
	SU14813	SU 014813
	SYK Inhibitor	
	TG100-115	"
3-(2,4-Diamino-6-(3-hydroxyphenyl)pteridin-7-yl)phenol"
	TG100-115	"6,7-Bis(3-hydroxyphenyl)pteridine-2,4-diamine"
	Tofacitinib	Tofacitinib
	Tofacitinib	Tasocitinib
	Tofacitinib	477600-75-2
	Tofacitinib	"3-((3R,4R)-4-methyl-3-(methyl(7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino)piperidin-1-yl)-3-oxopropanenitrile"
	Tofacitinib	CP-690550
	Tofacitinib	CP 690550
	Tofacitinib	racemic-tofacitinib
	Tofacitinib	1259404-17-5
	Tofacitinib	rac-Tofacitinib
	Tofacitinib	"CP-690,550"
	Tofacitinib	"Tofacitinib (CP-690550,Tasocitinib)"
	Tofacitinib	UNII-87LA6FU830
	Tofacitinib	"3-{(3R,4R)-4-methyl-3-[methyl(7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino]piperidin-1-yl}-3-oxopropanenitrile"
	Tofacitinib	CHEMBL221959
	Tofacitinib	"3-((3R,4R)-rel-4-Methyl-3-(methyl(7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino)piperidin-1-yl)-3-oxopropanenitrile"
	Tofacitinib	CHEBI:71200
	Tofacitinib	87LA6FU830
	Tofacitinib	477600-75-2 (free base)
	Tofacitinib	MFCD11035919
	Tofacitinib	"1-Piperidinepropanenitrile, 4-methyl-3-(methyl-7H-pyrrolo[2,3-d]pyrimidin-4-ylamino)-beta-oxo-, (3R,4R)-"
	Tofacitinib	CP690550
	Tofacitinib	"3-((3R,4R)-4-Methyl-3-(methyl(7H-pyrrolo(2,3-d)pyrimidin-4-yl)amino)piperidin-1-yl)-3-oxopropanenitrile"
	Tofacitinib	"3-[(3R*,4R*)-4-Methyl-3-[methyl(7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino]piperidin-1-yl]-3-oxopropanenitrile"
	Tofacitinib	"3-[(3R,4R)-4-methyl-3-[methyl({7H-pyrrolo[2,3-d]pyrimidin-4-yl})amino]piperidin-1-yl]-3-oxopropanenitrile"
	Tofacitinib	"3-[(3R,4R)-4-methyl-3-[methyl(7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino]piperidin-1-yl]-3-oxopropanenitrile"
	Tofacitinib	"3-{(3R,4R)-4-Methyl-3-[methyl-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)-amino]-piperidin-1-yl}-3-oxo-propionitrile"
	Tofacitinib	Tofacitinib [USAN:INN]
	Tofacitinib	C16H20N6O
	Tofacitinib	tofacitinibum
	Tofacitinib	3eyg
	Tofacitinib	3fup
	Tofacitinib	3lxk
	Tofacitinib	4oti
	Tofacitinib	MI1
	Tofacitinib	Tofacitinib (USAN)
	Tofacitinib	PubChem16767
	Tofacitinib	cc-396
	Tofacitinib	SCHEMBL322753
	Tofacitinib	GTPL5677
	Tofacitinib	QCR-53
	Tofacitinib	CTK3J8304
	Tofacitinib	HSDB 8311
	Tofacitinib	DTXSID90197271
	Tofacitinib	EX-A205
	Tofacitinib	BCPP000274
	Tofacitinib	CP-690550 FREE BASE
	Tofacitinib	AOB87470
	Tofacitinib	KS-000001IG
	Tofacitinib	KS-000006RA
	Tofacitinib	ZINC3818808
	Tofacitinib	"CP-690,550 FREE BASE"
	Tofacitinib	ABP000824
	Tofacitinib	ANW-51607
	Tofacitinib	BDBM50193995
	Tofacitinib	CP-690
	Tofacitinib	s2789
	Tofacitinib	AKOS005145814
	Tofacitinib	AKOS005258733
	Tofacitinib	AC-8193
	Tofacitinib	BCP9000550
	Tofacitinib	CA10005
	Tofacitinib	CCG-264998
	Tofacitinib	CS-0050
	Tofacitinib	DB08895
	Tofacitinib	GS-6106
	Tofacitinib	PB20522
	Tofacitinib	SB20004
	Tofacitinib	SB20005
	Tofacitinib	NCGC00229511-02
	Tofacitinib	NCGC00229511-04
	Tofacitinib	NCGC00229511-10
	Tofacitinib	NCGC00244463-01
	Tofacitinib	"Tofacitinib (CP-690550, Tasocitinib)"
	Tofacitinib	CP690550(Tasocitinib)/CP-690550
	Tofacitinib	HY-40354
	Tofacitinib	SC-21829
	Tofacitinib	AB0007916
	Tofacitinib	"CP690,550"
	Tofacitinib	CP-690-550
	Tofacitinib	W6440
	Tofacitinib	CP- 690 550
	Tofacitinib	D09970
	Tofacitinib	Q-9324
	Tofacitinib	AB01565786_02
	Tofacitinib	600M752
	Tofacitinib	AR-270/43507983
	Tofacitinib	J-524314
	Tofacitinib	Q3530324
	Tofacitinib	BRD-K31283835-001-01-9
	Tofacitinib	BRD-K31283835-048-04-4
	Tofacitinib	"3-((3R,4R)-4-methyl-3-(methyl(7H-pyrrolo[2,3-d]pyr"
	Tofacitinib	"3-((3R,4R)-4-Methyl(7H-Pyrrolo[2,3-D]Pyrimidin-4-Yi)Amino)Piperidin-1-Yl-3-Oxopropaneni"
	Tofacitinib	"(3R,4R)-3-{4-Methyl-3-[methyl-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)-amino]-piperidin-1-yl}-3-oxo-propionitrile"
	Tofacitinib	"(3R,4R)-4-methyl-3-(methyl-7H-pyrrolo[2,3-d]pyrimidin-4-ylamino)-beta-oxo-1-piperidine propanenitrile"
	Tofacitinib	"3-[(3R,4R)-4-methyl-3-[methyl(7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino]-1-piperidyl]-3-oxo-propanenitrile"
	Tofacitinib	"3-{(3R,4R)-4-methyl-3-[methyl-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)-amino]piperidin-1-yl}-3-oxo-propionitrile"
	Tofacitinib	"3-{(3R,4R)-4-Methyl-3-[methyl-(7H-pyrrolo[2,3-d]pyrimidin4-yl)-amino]-piperidin-1-yl}-3-oxo-propionitrile"
	Tofacitinib	"3-{4-methyl-3-[methyl(7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino]-1-piperidinyl}-3-oxopropanenitrile"
	Tofacitinib	"3-Piperidinamine, 1-(cyanoacetyl)-4-methyl-N-methyl-N-1H-pyrrolo(2,3-d)pyrimidin-4-yl-, (3R,4R)-"
	Tofacitinib	Xeljanz
	Tofacitinib	Jaquinus
	Tofacitinib	Tofacinix
	Tozasertib	VX-680
	Tozasertib	MK-0457
	Vargetef	nintedanib
	VX-745	Neflamapimod
	XAV-939	NVP-XAV939
	XMD 8-87	XMD8-87
	XMD 8-87	1234480-46-6
	XMD 8-87	ACK1-B19
	XMD 8-87	CHEMBL1672987
	XMD 8-87	LUN80466
	XMD 8-87	XMD 8-87
	XMD 8-87	1234480-46-6 (free base)
	XMD 8-87	"2-((2-methoxy-4-(4-methylpiperazin-1-yl)phenyl)amino)-11-methyl-5,11-dihydro-6H-benzo[e]pyrimido[5,4-b][1,4]diazepin-6-one"
	XMD 8-87	"2-((2-methoxy-4-(4-methylpiperazin-1-yl)phenyl)amino)-11-methyl-5Hbenzo[e]pyrimido[5,4-b][1,4]diazepin-6(11H)-one"
	XMD 8-87	"2-(2-methoxy-4-(4-methylpiperazin-1-yl)phenylamino)-11-methyl-5H-benzo[e]pyrimido[5,4-b][1,4]diazepin-6(11H)-one"
	XMD 8-87	"2-[2-methoxy-4-(4-methylpiperazin-1-yl)anilino]-11-methyl-5H-pyrimido[4,5-b][1,4]benzodiazepin-6-one"
	XMD 8-87	"Scaffold, B19"
	XMD 8-87	SCHEMBL619088
	XMD 8-87	XMD887
	XMD 8-87	BCP19603
	XMD 8-87	BCP19604
	XMD 8-87	EX-A1296
	XMD 8-87	BDBM50337126
	XMD 8-87	s8272
	XMD 8-87	ZINC66066132
	XMD 8-87	AKOS030632024
	XMD 8-87	CCG-269185
	XMD 8-87	CS-6438
