Ligand id,Name,Species,Type,Approved,Withdrawn,Labelled,Radioactive,PubChem SID,PubChem CID,UniProt id,IUPAC name,INN,Synonyms,SMILES,InChIKey,InChI
1946,"13,14-dihydro-PGE<sub>1</sub>",,Metabolite,,,,,135651374,161273,,"7-[(1R,2R,3R)-3-hydroxy-2-[(3S)-3-hydroxyoctyl]-5-oxocyclopentyl]heptanoic acid",,"13,14-dihydro-prostaglandin E1",CCCCC[C@@H](CC[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O)O,DPOINJQWXDTOSF-DODZYUBVSA-N,"InChI=1S/C20H36O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h15-17,19,21,23H,2-14H2,1H3,(H,24,25)/t15-,16+,17+,19+/m0/s1"
8343,135PAM1,,Synthetic organic,,,,,252166555,56953333,,"3-[3,5-bis(trifluoromethyl)phenyl]-1-[(3,4-dichlorophenyl)methyl]-1-[2-(5-methoxy-1H-indol-3-yl)ethyl]urea",,,COc1ccc2c(c1)c(CCN(C(=O)Nc1cc(cc(c1)C(F)(F)F)C(F)(F)F)Cc1ccc(c(c1)Cl)Cl)c[nH]2,FAXDMTURZKFXIY-UHFFFAOYSA-N,"InChI=1S/C27H21Cl2F6N3O2/c1-40-20-3-5-24-21(12-20)16(13-36-24)6-7-38(14-15-2-4-22(28)23(29)8-15)25(39)37-19-10-17(26(30,31)32)9-18(11-19)27(33,34)35/h2-5,8-13,36H,6-7,14H2,1H3,(H,37,39)"
6684,"1,3-ditolylguanidine",,Synthetic organic,,,,,178103296,7333,,"1,2-bis(2-methylphenyl)guanidine",,"1,3-Di-o-tolylguanidine|Di-o-tolylguanidine|DOTG",NC(=Nc1ccccc1C)Nc1ccccc1C,OPNUROKCUBTKLF-UHFFFAOYSA-N,"InChI=1S/C15H17N3/c1-11-7-3-5-9-13(11)17-15(16)18-14-10-6-4-8-12(14)2/h3-10H,1-2H3,(H3,16,17,18)"
5426,13-HODE,,Synthetic organic,,,,,178102079,5282947,,"(9Z,11E)-13-hydroxyoctadeca-9,11-dienoic acid",,&alpha;-artemisolic acid|13-hydroxylinoleic acid|coriolic acid,CCCCCC(/C=C/C=C\CCCCCCCC(=O)O)O,HNICUWMFWZBIFP-BSZOFBHHSA-N,"InChI=1S/C18H32O3/c1-2-3-11-14-17(19)15-12-9-7-5-4-6-8-10-13-16-18(20)21/h7,9,12,15,17,19H,2-6,8,10-11,13-14,16H2,1H3,(H,20,21)/b9-7-,15-12+"
6671,13-<i>cis</i>-retinal,,Metabolite,,,,,178103283,6436079,,"(2Z,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethyl-1-cyclohexenyl)nona-2,4,6,8-tetraenal",,13-cis-retinal|13-cis-retinaldehyde,O=C/C=C(\C=C\C=C(\C=C\C1=C(C)CCCC1(C)C)/C)/C,NCYCYZXNIZJOKI-HWCYFHEPSA-N,"InChI=1S/C20H28O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,15H,7,10,14H2,1-5H3/b9-6+,12-11+,16-8+,17-13-"
6672,13-<i>cis</i>-retinol,,Metabolite,,,,,178103284,9904001,,"(2Z,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethyl-1-cyclohexenyl)nona-2,4,6,8-tetraen-1-ol",,13-cis-retinol|neovitamin A,OC/C=C(\C=C\C=C(\C=C\C1=C(C)CCCC1(C)C)/C)/C,FPIPGXGPPPQFEQ-HWCYFHEPSA-N,"InChI=1S/C20H30O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,21H,7,10,14-15H2,1-5H3/b9-6+,12-11+,16-8+,17-13-"
5102,1400W,,Synthetic organic,,,,,178101795,1433,,(E)-N'-{[3-(aminomethyl)phenyl]methyl}ethenimidamide,,W 1400,NCc1cccc(c1)C/N=C(/N)\C,RODUKNYOEVZQPR-UHFFFAOYSA-N,"InChI=1S/C10H15N3/c1-8(12)13-7-10-4-2-3-9(5-10)6-11/h2-5H,6-7,11H2,1H3,(H2,12,13)"
5098,"1,4,-IP<sub>2</sub>",,Metabolite,,,,,178101791,25203530,,"[(2R,3S,5R,6R)-2,3,5,6-tetrahydroxy-4-phosphonatooxycyclohexyl] phosphate",,"1D-myo-inositol 1,4-bisphosphate|inositol 1,4-bis(phosphate)",O[C@@H]1C(OP(=O)([O-])[O-])[C@H](O)[C@H](C([C@@H]1O)OP(=O)([O-])[O-])O,PELZSPZCXGTUMR-MBEOBJKWSA-J,"InChI=1S/C6H14O12P2/c7-1-2(8)6(18-20(14,15)16)4(10)3(9)5(1)17-19(11,12)13/h1-10H,(H2,11,12,13)(H2,14,15,16)/p-4/t1-,2-,3-,4+,5?,6?/m1/s1"
2692,"15-deoxy-&Delta;-12,14-prostaglandin J2",,Metabolite,,,,,135651375,5311211,,"(Z)-7-[(1S,5E)-5-[(E)-oct-2-enylidene]-4-oxo-1-cyclopent-2-enyl]hept-5-enoic acid",,,CCCCC/C=C/C=C/1\[C@@H](C/C=C\CCCC(=O)O)C=CC1=O,VHRUMKCAEVRUBK-GODQJPCRSA-N,"InChI=1S/C20H28O3/c1-2-3-4-5-6-10-13-18-17(15-16-19(18)21)12-9-7-8-11-14-20(22)23/h6-7,9-10,13,15-17H,2-5,8,11-12,14H2,1H3,(H,22,23)/b9-7-,10-6+,18-13+/t17-/m0/s1"
1904,"15-deoxy-&Delta;<sup>12,14</sup>-PGD<sub>2</sub>",,Metabolite,,,,,135651376,5283052,,"(Z)-7-[(1R,2E,5S)-5-hydroxy-2-[(E)-oct-2-enylidene]-3-oxocyclopentyl]hept-5-enoic acid",,"15-deoxy-&Delta;<sup>12,14</sup>-prostaglandin D<sub>2</sub>|15d-&Delta;<sup>12,14</sup>-PGD<sub>2</sub>",CCCCC/C=C/C=C\1/C(=O)C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)O,QUGBPWLPAUHDTI-PLGLXCLHSA-N,"InChI=1S/C20H30O4/c1-2-3-4-5-6-9-12-16-17(19(22)15-18(16)21)13-10-7-8-11-14-20(23)24/h6-7,9-10,12,17,19,22H,2-5,8,11,13-15H2,1H3,(H,23,24)/b9-6+,10-7-,16-12+/t17-,19+/m1/s1"
1877,"15-deoxy-&Delta;<sup>12,14</sup>-PGJ<sub>2</sub>",,Synthetic organic,,,,,53801020,5283035,,"(Z)-7-[(1S,5E)-5-[(Z)-oct-2-enylidene]-4-oxo-1-cyclopent-2-enyl]hept-5-enoic acid",,"15d-&Delta;<sup>12,14</sup>-PGJ<sub>2</sub>|15deoxy-delta-12,14-PGJ2|LS-125843",CCCCC/C=C\C=C\1/[C@@H](C/C=C\CCCC(=O)O)C=CC1=O,VHRUMKCAEVRUBK-WKELIDJCSA-N,"InChI=1S/C20H28O3/c1-2-3-4-5-6-10-13-18-17(15-16-19(18)21)12-9-7-8-11-14-20(22)23/h6-7,9-10,13,15-17H,2-5,8,11-12,14H2,1H3,(H,22,23)/b9-7-,10-6-,18-13+/t17-/m0/s1"
3402,15-deoxy-LXA4,,Metabolite,,,,,135651377,9880904,,"(5S,6R,7E,9E,11E,13E)-5,6-dihydroxyicosa-7,9,11,13-tetraenoic acid",,,CCCCCC/C=C/C=C/C=C/C=C/[C@H]([C@H](CCCC(=O)O)O)O,SJIRTDBAYKOBAL-COJKCNNISA-N,"InChI=1S/C20H32O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-15-18(21)19(22)16-14-17-20(23)24/h7-13,15,18-19,21-22H,2-6,14,16-17H2,1H3,(H,23,24)/b8-7+,10-9+,12-11+,15-13+/t18-,19+/m1/s1"
5865,15-deoxy-TIC,,Synthetic organic,,,,,178102489,9842229,,"5-[(3aS,5R,6R,6aS)-5-hydroxy-6-[(E)-4-(3-methylphenyl)but-1-enyl]-1,3a,4,5,6,6a-hexahydropentalen-2-yl]pentanoic acid",,,OC(=O)CCCCC1=C[C@@H]2[C@H](C1)[C@H]([C@@H](C2)O)/C=C/CCc1cccc(c1)C,UZEWMXSWYKBMJG-ROHPBGETSA-N,"InChI=1S/C24H32O3/c1-17-7-6-10-18(13-17)8-2-4-11-21-22-15-19(9-3-5-12-24(26)27)14-20(22)16-23(21)25/h4,6-7,10-11,13-14,20-23,25H,2-3,5,8-9,12,15-16H2,1H3,(H,26,27)/b11-4+/t20-,21+,22-,23+/m0/s1"
5099,"1,5,-IP<sub>2</sub>",,Metabolite,,,,,178101792,128419,,"[(1R,2S,4R,5S)-2,3,4,6-tetrahydroxy-5-phosphonooxycyclohexyl] dihydrogen phosphate",,,OC1[C@H](OP(=O)(O)O)[C@@H](O)C([C@H]([C@@H]1OP(=O)(O)O)O)O,PUVHMWJJTITUGO-WJPCITMWSA-N,"InChI=1S/C6H14O12P2/c7-1-2(8)5(17-19(11,12)13)4(10)6(3(1)9)18-20(14,15)16/h1-10H,(H2,11,12,13)(H2,14,15,16)/t1?,2-,3+,4?,5+,6-"
1902,15(<i>R</i>)-15-methyl-PGD<sub>2</sub>,,Synthetic organic,,,,,135649652,5283097,,"(Z)-7-[(1R,2R,5S)-5-hydroxy-2-[(E,3R)-3-hydroxy-3-methyloct-1-enyl]-3-oxocyclopentyl]hept-5-enoic acid",,15R-15-methyl PGD2,CCCCC[C@](/C=C/[C@H]1C(=O)C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)O)(O)C,CTXLUMAOXBULOZ-BKVRKCTKSA-N,"InChI=1S/C21H34O5/c1-3-4-9-13-21(2,26)14-12-17-16(18(22)15-19(17)23)10-7-5-6-8-11-20(24)25/h5,7,12,14,16-18,22,26H,3-4,6,8-11,13,15H2,1-2H3,(H,24,25)/b7-5-,14-12+/t16-,17-,18+,21-/m1/s1"
1903,15(<i>S</i>)-15-methyl-PGD<sub>2</sub>,,Synthetic organic,,,,,135649653,5283051,,"(Z)-7-[(1R,2R,5S)-5-hydroxy-2-[(E,3S)-3-hydroxy-3-methyloct-1-enyl]-3-oxocyclopentyl]hept-5-enoic acid",,BRN 5989341,CCCCC[C@@](/C=C/[C@H]1C(=O)C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)O)(O)C,CTXLUMAOXBULOZ-QEQARHSSSA-N,"InChI=1S/C21H34O5/c1-3-4-9-13-21(2,26)14-12-17-16(18(22)15-19(17)23)10-7-5-6-8-11-20(24)25/h5,7,12,14,16-18,22,26H,3-4,6,8-11,13,15H2,1-2H3,(H,24,25)/b7-5-,14-12+/t16-,17-,18+,21+/m1/s1"
